date,EURJPY,NZDCAD,empty,sum
2019.07.01,0.0,-134.99999999999625,,-134.99999999999625
2019.07.01,275.0000000000057,24.000000000001798,,299.0000000000075
2019.07.01,283.00000000000125,-17.999999999995797,,265.00000000000546
2019.07.01,502.00000000000955,12.000000000000899,,514.0000000000105
2019.07.01,516.0000000000053,54.999999999993946,,570.9999999999993
2019.07.01,439.00000000000716,75.00000000000284,,514.00000000001
2019.07.01,262.00000000000045,36.0000000000027,,298.0000000000032
2019.07.01,152.00000000000102,-29.999999999996696,,122.00000000000432
2019.07.01,212.0000000000033,-134.99999999999625,,77.00000000000705
2019.07.01,4.0000000000048885,-158.0000000000026,,-153.9999999999977
2019.07.01,88.00000000000807,-138.00000000000477,,-49.9999999999967
2019.07.01,140.00000000000057,-75.00000000000284,,64.99999999999773
2019.07.01,168.99999999999693,-75.00000000000284,,93.99999999999409
2019.07.01,179.00000000000205,-99.00000000000463,,79.99999999999741
2019.07.01,209.00000000000318,-70.0000000000034,,138.99999999999977
2019.07.01,162.9999999999967,-53.00000000000304,,109.99999999999366
2019.07.01,-39.00000000000148,-139.99999999999568,,-178.99999999999716
2019.07.01,-31.999999999996476,-143.9999999999997,,-175.99999999999616
2019.07.01,48.00000000000182,-175.00000000000293,,-127.00000000000111
2019.07.01,142.00000000001012,-190.00000000000128,,-47.99999999999116
2019.07.01,33.00000000000125,-204.99999999999963,,-171.99999999999838
2019.07.01,-57.00000000000216,-207.99999999999707,,-264.9999999999992
2019.07.01,-60.99999999999284,-197.99999999999818,,-258.999999999991
2019.07.01,-39.00000000000148,-121.00000000000443,,-160.0000000000059
2019.07.01,-105.99999999999454,-89.00000000000574,,-195.00000000000028
2019.07.01,-104.99999999998977,-111.00000000000554,,-215.9999999999953
2019.07.01,-49.99999999999716,-136.00000000000279,,-185.99999999999994
2019.07.01,-6.000000000000227,-156.99999999999602,,-162.99999999999625
2019.07.01,25.99999999999625,-199.00000000000472,,-173.00000000000847
2019.07.01,186.00000000000705,-197.00000000000273,,-10.99999999999568
2019.07.01,207.00000000000784,-192.99999999999872,,14.000000000009123
2019.07.01,222.0000000000084,-231.99999999999886,,-9.99999999999045
2019.07.01,147.00000000000557,-217.99999999999596,,-70.9999999999904
2019.07.01,37.00000000000614,-202.9999999999976,,-165.99999999999147
2019.07.01,-12.000000000000455,-263.0000000000021,,-275.00000000000256
2019.07.01,-30.9999999999917,-414.00000000000324,,-444.99999999999494
2019.07.01,-135.99999999999568,-419.9999999999982,,-555.9999999999939
2019.07.01,-132.99999999999557,-329.00000000000153,,-461.9999999999971
2019.07.01,-164.00000000000148,-329.00000000000153,,-493.000000000003
2019.07.01,-186.9999999999976,-304.00000000000426,,-491.0000000000019
2019.07.01,-257.99999999999557,-309.99999999999915,,-567.9999999999948
2019.07.01,-313.0000000000024,-324.9999999999975,,-637.9999999999999
2019.07.01,-307.9999999999927,-316.0000000000052,,-623.999999999998
2019.07.01,-301.9999999999925,-317.0000000000006,,-618.9999999999932
2019.07.01,-299.99999999999716,-300.99999999999574,,-600.999999999993
2019.07.01,-295.0000000000017,-280.00000000000244,,-575.0000000000041
