date,GBPUSD,GBPCHF,EURGBP,GBPJPY,empty,sum
2016.11.21,-107.99999999999699,-72.0000000000054,-66.99999999999484,-1310.0000000000023,,-1556.9999999999995
2016.11.21,-43.999999999999595,11.999999999989797,-66.99999999999484,-1183.9999999999975,,-1283.000000000002
2016.11.21,-234.00000000000088,-110.99999999999443,-185.00000000000182,-1338.9999999999986,,-1868.999999999996
2016.11.21,-234.99999999998522,-87.99999999999919,-178.99999999999582,-1465.0000000000034,,-1966.9999999999836
2016.11.21,-228.99999999999034,-116.00000000000499,-190.00000000000128,-1597.0000000000084,,-2132.000000000005
2016.11.21,34.000000000000696,-12.999999999996348,-185.00000000000182,-1393.0000000000007,,-1556.9999999999982
2016.11.21,15.00000000000945,-12.999999999996348,-158.0000000000026,-1349.9999999999943,,-1505.9999999999839
2016.11.21,-8.999999999992347,-68.00000000000139,-215.99999999999397,-1480.9999999999945,,-1773.9999999999823
2016.11.21,-23.999999999979593,-129.00000000000134,-256.0000000000007,-1391.0000000000196,,-1800.0000000000011
2016.11.21,-32.999999999994145,-137.00000000000932,-258.9999999999981,-1414.999999999992,,-1843.9999999999936
2016.11.21,-105.99999999998388,-100.99999999999554,-241.00000000000233,-1274.000000000001,,-1721.9999999999827
2016.11.21,-141.99999999999767,-72.0000000000054,-209.9999999999991,-1206.0000000000173,,-1630.0000000000196
2016.11.21,-83.9999999999952,-36.999999999998145,-191.99999999999218,-1151.0000000000105,,-1463.999999999996
2016.11.21,-109.99999999998789,-82.00000000000429,-192.99999999999872,-1198.0000000000075,,-1582.9999999999984
2016.11.21,-60.99999999999994,-43.999999999999595,-178.99999999999582,-1155.0000000000011,,-1438.9999999999964
2016.11.21,-58.99999999998684,-60.99999999999994,-214.99999999999852,-1182.9999999999927,,-1517.9999999999782
2016.11.21,-106.99999999999044,-103.00000000000864,-241.00000000000233,-1224.000000000018,,-1675.0000000000193
2016.11.21,-95.00000000000064,-154.99999999999403,-304.9999999999997,-1289.0000000000157,,-1844.00000000001
2016.11.21,-84.99999999997954,-130.0000000000079,-307.99999999999716,-1181.0000000000116,,-1703.9999999999961
2016.11.21,35.00000000000725,-86.99999999999264,-378.00000000000057,-1213.9999999999986,,-1643.9999999999845
2016.11.21,-61.99999999998429,-239.99999999999577,-473.0000000000012,-1377.0000000000095,,-2151.999999999991
2016.11.21,-197.99999999998707,-302.0000000000023,-578.9999999999961,-1621.0000000000093,,-2699.9999999999945
2016.11.21,-244.9999999999841,-344.00000000001097,-678.0000000000008,-1877.0000000000095,,-3144.0000000000055
2016.11.21,-300.99999999999574,-364.00000000000875,-675.9999999999989,-1862.9999999999995,,-3204.0000000000027
2016.11.21,-173.99999999998528,-154.0000000000097,-529.0000000000017,-1591.0000000000082,,-2448.000000000005
2016.11.21,-123.99999999999079,-225.99999999999287,-529.9999999999972,-1618.9999999999998,,-2498.9999999999804
2016.11.21,-110.99999999999443,-168.99999999999693,-493.99999999999443,-1602.0000000000039,,-2375.9999999999895
2016.11.21,21.00000000000435,14.000000000002899,-347.9999999999928,-1590.0000000000034,,-1902.999999999989
2016.11.21,355.0000000000164,320.9999999999935,-180.99999999999784,-1341.0000000000082,,-845.999999999996
2016.11.21,419.0000000000138,370.999999999988,-143.9999999999997,-1188.999999999993,,-542.9999999999908
2016.11.21,524.0000000000133,381.99999999999346,-81.9999999999932,-1125.0,,-300.99999999998636
2016.11.21,1072.0000000000064,889.9999999999908,268.0000000000016,-269.00000000000546,,1960.9999999999936
2016.11.21,1107.0000000000136,1073.9999999999973,422.00000000000017,-51.9999999999925,,2551.000000000018
2016.11.21,1202.000000000014,1073.9999999999973,460.00000000000483,13.00000000000523,,2749.000000000022
2016.11.21,1314.9999999999995,1251.000000000002,538.0000000000051,127.9999999999859,,3231.9999999999927
2016.11.21,1275.0000000000039,1173.0000000000018,512.0000000000014,63.99999999999295,,3024.0
2016.11.21,1175.9999999999993,1202.9999999999984,509.9999999999993,104.99999999998977,,2993.9999999999873
2016.11.21,1103.0000000000095,1235.0000000000084,524.0000000000023,122.99999999999045,,2985.000000000011
2016.11.21,1296.0000000000082,1429.999999999998,690.0000000000017,313.99999999999295,,3730.000000000001
2016.11.21,1238.0000000000057,1368.999999999998,641.0000000000027,320.99999999999795,,3569.0000000000045
2016.11.21,1184.0000000000073,1380.0000000000034,697.0000000000032,413.99999999998727,,3675.0000000000014
2016.11.21,1177.000000000006,1306.000000000007,624.9999999999977,385.9999999999957,,3494.0000000000064
2016.11.21,1188.0000000000114,1323.9999999999918,631.0000000000038,411.00000000000136,,3554.000000000008
2016.11.21,1192.9999999999995,1299.99999999999,643.0000000000047,406.99999999998226,,3542.9999999999764
2016.11.21,1405.0000000000118,1445.0000000000073,687.9999999999998,489.0000000000043,,4027.0000000000236
2016.11.21,1462.0000000000077,1397.0000000000039,663.0000000000025,555.0000000000068,,4077.0000000000214
2016.11.21,1453.9999999999998,1288.0000000000002,582.0000000000048,-110.00000000001364,,3213.999999999991
2016.11.21,1385.000000000014,1263.9999999999984,575.9999999999987,13.999999999981583,,3238.9999999999927
2016.11.22,1426.0000000000161,1262.9999999999918,611.000000000006,-68.00000000001205,,3232.000000000002
2016.11.22,1432.0000000000111,1205.999999999996,597.0000000000031,-105.99999999999454,,3129.000000000016
