date,GBPUSD,empty,sum
2017.03.13,-64.0000000000196,,-64.0000000000196
2017.03.13,-78.00000000000028,,-78.00000000000028
2017.03.13,-109.00000000000354,,-109.00000000000354
2017.03.13,-95.00000000000064,,-95.00000000000064
2017.03.13,-46.0000000000127,,-46.0000000000127
2017.03.13,-60.000000000015596,,-60.000000000015596
2017.03.13,-131.00000000001444,,-131.00000000001444
2017.03.13,-46.0000000000127,,-46.0000000000127
2017.03.13,-43.999999999999595,,-43.999999999999595
2017.03.13,-12.000000000012001,,-12.000000000012001
2017.03.13,44.99999999998394,,44.99999999998394
2017.03.13,54.99999999998284,,54.99999999998284
2017.03.13,68.99999999998573,,68.99999999998573
2017.03.13,79.99999999999119,,79.99999999999119
2017.03.13,100.99999999999554,,100.99999999999554
2017.03.13,127.99999999999478,,127.99999999999478
2017.03.13,124.99999999999733,,124.99999999999733
2017.03.13,186.99999999998164,,186.99999999998164
2017.03.13,405.9999999999952,,405.9999999999952
2017.03.13,471.9999999999835,,471.9999999999835
2017.03.13,390.9999999999858,,390.9999999999858
2017.03.13,387.99999999998835,,387.99999999998835
2017.03.13,417.0000000000007,,417.0000000000007
2017.03.13,284.9999999999797,,284.9999999999797
2017.03.13,266.999999999995,,266.999999999995
2017.03.13,315.99999999998295,,315.99999999998295
2017.03.13,367.99999999999056,,367.99999999999056
2017.03.13,281.99999999998226,,281.99999999998226
2017.03.13,520.9999999999936,,520.9999999999936
2017.03.13,444.9999999999843,,444.9999999999843
2017.03.13,451.99999999998573,,451.99999999998573
2017.03.13,495.000000000001,,495.000000000001
2017.03.13,562.9999999999802,,562.9999999999802
2017.03.13,536.9999999999875,,536.9999999999875
2017.03.13,533.99999999999,,533.99999999999
2017.03.13,619.9999999999983,,619.9999999999983
2017.03.13,566.9999999999842,,566.9999999999842
2017.03.13,547.999999999993,,547.999999999993
2017.03.13,540.9999999999915,,540.9999999999915
2017.03.13,619.9999999999983,,619.9999999999983
2017.03.13,608.9999999999928,,608.9999999999928
2017.03.13,600.9999999999849,,600.9999999999849
2017.03.13,519.9999999999872,,519.9999999999872
2017.03.13,519.9999999999872,,519.9999999999872
2017.03.13,535.9999999999809,,535.9999999999809
2017.03.13,457.9999999999807,,457.9999999999807
2017.03.13,428.9999999999905,,428.9999999999905
2017.03.13,472.9999999999901,,472.9999999999901
2017.03.14,423.99999999997993,,423.99999999997993
2017.03.14,422.9999999999956,,422.9999999999956
2017.03.14,318.9999999999804,,318.9999999999804
2017.03.14,290.9999999999968,,290.9999999999968
2017.03.14,352.9999999999811,,352.9999999999811
2017.03.14,318.9999999999804,,318.9999999999804
2017.03.14,330.9999999999924,,330.9999999999924
2017.03.14,363.9999999999866,,363.9999999999866
2017.03.14,351.99999999999676,,351.99999999999676
2017.03.14,291.9999999999812,,291.9999999999812
2017.03.14,280.9999999999979,,280.9999999999979
