date,GBPUSD,USDCAD,AUDUSD,NZDUSD,CADCHF,AUDCHF,NZDCHF,GBPJPY,GBPCAD,EURJPY,EURAUD,CADJPY,AUDJPY,NZDJPY,NZDCAD,empty,sum
2017.04.10,-25.999999999992696,-41.000000000002146,-2.999999999997449,-31.000000000003247,-129.9999999999968,-70.0000000000034,-80.99999999999774,-99.99999999999432,-55.000000000005045,-33.999999999991815,-38.0000000000047,-61.00000000000705,-90.99999999999397,-52.99999999999727,-49.99999999999449,,-863.9999999999822
2017.04.10,-46.999999999997044,-102.00000000000209,7.9999999999968985,-86.0000000000083,-171.99999999999437,-40.00000000000669,-52.99999999999194,-56.000000000011596,-79.99999999999119,-18.000000000000682,-140.0000000000068,-76.99999999999818,-125.0,-87.99999999999386,-113.99999999999189,,-1189.9999999999977
2017.04.10,-63.99999999999739,-123.00000000000644,58.000000000002494,-91.00000000000774,-185.99999999999727,134.99999999999625,108.00000000000809,-52.99999999999727,-66.00000000001049,-186.9999999999976,-212.99999999999653,-219.0000000000083,-273.9999999999867,-203.99999999999352,-135.99999999999167,,-1514.9999999999839
2017.04.10,-75.00000000000284,-129.00000000000134,75.9999999999983,-92.00000000000318,-197.99999999999818,175.99999999999838,108.00000000000809,164.99999999999204,-90.00000000001229,-221.9999999999942,-246.00000000001288,-250.0,-319.9999999999932,-250.0,-156.00000000000057,,-1503.0000000000218
2017.04.10,-121.99999999999989,-171.00000000001003,85.99999999999719,-101.00000000000664,-185.00000000000182,195.9999999999962,136.00000000000279,138.00000000000523,-90.00000000001229,-210.99999999999852,-307.99999999999716,-257.000000000005,-356.9999999999993,-271.0000000000008,-186.99999999999272,,-1704.0000000000227
2017.04.10,-90.99999999999665,-173.00000000000094,110.99999999999443,-126.99999999999933,-149.99999999999457,208.99999999999253,137.00000000000932,116.00000000001387,31.000000000003247,-167.99999999999216,-341.99999999999784,-174.0000000000066,-368.9999999999998,-260.9999999999957,-229.00000000000142,,-1479.9999999999714
2017.04.10,-102.99999999998644,-174.99999999999181,56.99999999999594,-111.00000000000554,-178.99999999999582,181.9999999999933,130.0000000000079,146.000000000015,-15.00000000000945,-338.99999999999864,-304.00000000001535,-298.0000000000018,-447.9999999999933,-322.9999999999933,-173.00000000000094,,-1952.99999999998
2017.04.10,-82.00000000000429,-211.99999999998997,98.99999999999353,-69.00000000000794,-173.00000000000094,215.99999999999397,87.00000000000374,326.9999999999982,38.0000000000047,-373.00000000000466,-322.00000000000006,-320.99999999999795,-484.99999999999943,-325.00000000000284,-148.99999999999915,,-1744.0000000000132
2017.04.10,-46.999999999997044,-234.00000000000088,93.99999999999409,-23.00000000000635,-165.9999999999995,233.99999999998977,51.000000000001044,399.0000000000009,147.99999999999258,-445.99999999999795,-326.0000000000041,-367.00000000000443,-536.9999999999919,-343.9999999999941,-119.99999999999788,,-1684.0000000000157
2017.04.10,22.0000000000109,-238.99999999998923,17.999999999995797,-19.00000000000235,-146.00000000000168,118.99999999999133,34.000000000000696,477.00000000000387,221.99999999998886,-399.0000000000009,-292.00000000000335,-308.00000000000693,-471.9999999999942,-271.0000000000008,-98.99999999999353,,-1353.0000000000018
2017.04.10,-38.0000000000047,-289.9999999999903,-99.00000000000463,15.999999999993797,-161.00000000000003,42.999999999993044,17.000000000000348,484.00000000000887,201.00000000000674,-390.00000000000057,-97.9999999999981,-323.99999999999807,-373.9999999999952,-269.999999999996,-106.99999999999044,,-1389.9999999999754
2017.04.10,-24.999999999986144,-310.9999999999946,-131.00000000000333,23.999999999990695,-114.00000000000298,0.0,9.00000000000345,435.0000000000023,242.99999999999324,-355.99999999999454,51.99999999998539,-248.00000000000466,-250.0,-229.99999999998977,-109.99999999999899,,-1012.0
2017.04.10,-22.999999999995246,-279.99999999999136,-95.99999999999609,-15.00000000000945,-107.99999999999699,24.999999999997247,54.00000000000959,456.99999999999363,246.99999999999721,-350.9999999999991,65.00000000000395,-259.00000000000034,-262.999999999991,-271.99999999999136,-151.9999999999966,,-970.9999999999658
2017.04.10,-4.999999999988347,-266.0000000000107,-102.00000000000209,-30.000000000007798,-102.99999999999754,0.999999999995449,63.00000000000195,461.00000000001273,252.99999999999213,-370.00000000000455,81.9999999999821,-249.00000000000944,-245.9999999999951,-280.9999999999917,-162.99999999999093,,-955.0000000000139
