,Unnamed: 0,names,week,needed_features,accuracy,next_week_prediction_score,next_week_prediction
0,0,USDCHF,10,"['EURJPY', 'CHFJPY', 'USDCHF', 'EURUSD']",100.0,0.8656,B
1,1,GBPUSD,15,['EURCHF'],80.0,1.0,B
2,2,EURUSD,10,"['EURJPY', 'CHFJPY', 'USDCHF', 'EURUSD']",100.0,-0.8646,S
3,3,USDJPY,10,"['EURJPY', 'CHFJPY', 'USDCHF', 'EURUSD']",100.0,0.8655,B
4,4,USDCAD,10,['EURGBP'],80.0,-0.6634545238095271,S
5,5,AUDUSD,15,['EURGBP'],80.0,1.0,B
6,6,NZDUSD,10,"['GBPUSD', 'GBPCHF', 'GBPCAD']",100.0,1.0,B
7,7,GBPCHF,30,"['USDCHF', 'EURUSD', 'USDCAD']",80.0,0.5960379535904307,B
8,8,EURCHF,20,"['USDJPY', 'GBPCHF', 'AUDUSD', 'AUDJPY', 'USDCAD']",80.0,-0.8446807178932155,S
9,9,CADCHF,50,"['EURJPY', 'EURCAD', 'USDCHF', 'EURUSD', 'GBPJPY', 'NZDUSD', 'CHFJPY', 'AUDCAD']",100.0,0.30939365079365083,B
10,10,NZDCHF,15,['GBPAUD'],80.0,0.13870375346875574,B
11,11,EURGBP,10,"['EURCHF', 'EURCAD']",80.0,-0.8193,S
12,12,GBPJPY,20,"['NZDCHF', 'NZDCAD', 'AUDCAD', 'AUDCHF', 'GBPCHF', 'EURNZD']",100.0,1.0,B
13,13,GBPCAD,30,"['USDCHF', 'EURUSD', 'USDCAD']",80.0,0.5969323409115185,B
14,14,GBPAUD,10,['EURGBP'],80.0,-0.6687244444444502,S
15,15,EURJPY,15,['EURAUD'],80.0,0.6357054143079492,B
16,16,EURCAD,20,"['EURJPY', 'NZDJPY', 'CHFJPY', 'GBPJPY', 'NZDUSD']",80.0,-0.6649824821201878,S
17,17,EURNZD,10,"['EURCAD', 'USDCHF', 'EURUSD']",100.0,0.9891,B
18,18,CADJPY,10,"['EURGBP', 'GBPCAD', 'GBPCHF', 'GBPUSD']",80.0,1.0,B
19,19,NZDJPY,10,"['GBPUSD', 'GBPCAD', 'GBPCHF', 'GBPJPY']",100.0,1.0,B
20,20,AUDCAD,20,"['EURGBP', 'EURJPY']",100.0,0.597686706349221,B
21,21,NZDCAD,15,['GBPAUD'],80.0,0.13870660977911115,B
