date,USDCHF,GBPUSD,EURUSD,USDJPY,USDCAD,AUDUSD,NZDUSD,EURCHF,CHFJPY,CADCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURCAD,EURAUD,EURNZD,AUDJPY,NZDJPY,empty,sum
2021.09.20,-39.999999999995595,0.0,-28.000000000005798,-55.999999999997385,-114.0000000000141,-17.000000000000348,-21.00000000000435,-27.999999999983594,-24.999999999991473,-74.00000000000739,-165.00000000000404,-298.0000000000018,-395.000000000012,-313.00000000000773,-45.000000000006146,-19.999999999997797,-58.99999999998684,-28.999999999996362,-66.0000000000025,,-1793.0000000000152
2021.09.20,-50.99999999998994,11.00000000000545,-14.000000000002899,-75.00000000000284,-87.00000000001484,-50.0000000000056,-128.00000000000588,72.0000000000054,37.00000000000614,0.0,-161.00000000000003,-324.99999999998863,-418.9999999999916,-326.0000000000041,-48.000000000003595,-5.999999999994898,-219.99999999999798,-36.000000000001364,-156.0000000000059,,-1981.9999999999934
2021.09.20,-109.99999999999899,-18.0000000000069,-45.000000000006146,-111.0000000000042,-205.00000000001074,-56.0000000000005,-58.000000000002494,112.000000000001,37.9999999999967,8.999999999992347,-175.00000000000293,-218.9999999999941,-266.999999999995,-107.99999999999699,44.99999999998394,-46.999999999997044,-59.99999999999339,31.999999999996476,-106.99999999999932,,-1350.0000000000384
2021.09.20,-106.99999999999044,-19.999999999997797,-45.000000000006146,-103.9999999999992,-239.00000000001143,-40.00000000000669,-29.000000000001247,202.00000000001327,64.00000000000716,-16.0000000000049,-197.00000000000273,-145.00000000001023,-306.00000000000625,-114.0000000000141,117.99999999999588,-53.00000000001415,74.0000000000185,28.999999999996362,-82.99999999999841,,-1011.0000000000324
2021.09.20,-92.99999999999864,-11.00000000000545,-11.999999999989797,-94.0000000000083,-165.9999999999995,-42.0000000000087,-32.0000000000098,202.00000000001327,102.00000000000387,45.99999999999049,-200.00000000000017,-155.00000000000114,-215.99999999999397,-137.00000000000932,104.99999999999955,-103.00000000000864,82.00000000000429,34.99999999999659,-91.00000000000819,,-780.0000000000335
2021.09.20,-75.9999999999983,2.0000000000131024,-9.999999999998899,-106.99999999999932,-148.99999999999915,-33.000000000005244,-29.000000000001247,200.00000000000017,128.0000000000001,41.9999999999976,-192.00000000000327,-194.99999999999318,-225.99999999999287,-103.00000000000864,134.99999999999625,-56.000000000011596,91.00000000001884,63.99999999999295,-94.0000000000083,,-608.0000000000009
2021.09.20,-97.9999999999981,-34.000000000000696,-19.999999999997797,-150.00000000000568,-131.00000000001444,-72.0000000000054,-115.00000000000954,215.00000000000963,137.00000000000045,61.999999999995396,-201.00000000000674,-228.00000000000864,-188.00000000001037,-86.0000000000083,63.99999999999739,-60.99999999999994,-103.99999999999298,82.99999999999841,-206.00000000000307,,-1133.0000000000605
2021.09.20,-102.99999999999754,-18.999999999991246,-45.000000000006146,-148.00000000001035,-134.00000000001188,-65.00000000000395,-104.99999999999955,195.00000000001182,140.00000000000057,65.99999999999939,-180.0000000000024,-225.9999999999991,-151.9999999999966,-131.00000000001444,51.000000000001044,-73.99999999999629,-96.99999999999153,63.99999999999295,-203.00000000000296,,-1166.0000000000182
2021.09.20,-97.9999999999981,-90.99999999999665,-72.0000000000054,-129.0000000000049,-267.0000000000172,12.000000000000899,-41.000000000002146,171.00000000001003,117.999999999995,-3.0000000000085514,-201.00000000000674,-183.9999999999975,-253.99999999999866,-269.9999999999925,89.99999999999008,-215.00000000000963,19.999999999997797,-40.99999999999682,-124.00000000000944,,-1579.0000000000505
2021.09.20,-95.00000000000064,-136.00000000000279,-89.00000000000574,-112.99999999999955,-300.99999999999574,80.00000000000229,-32.0000000000098,157.00000000000713,58.000000000006935,-23.00000000000635,-216.0000000000051,-93.99999999999409,-282.0000000000045,-439.0000000000116,188.9999999999947,-368.00000000001273,-9.999999999998899,-177.99999999999727,-57.00000000000216,,-1949.000000000036
