date,GBPCHF,EURCHF,empty,sum
2019.07.15,0.0,-121.99999999999989,,-121.99999999999989
2019.07.15,245.0000000000063,53.00000000001415,,298.00000000002046
2019.07.15,358.9999999999982,120.00000000000898,,479.00000000000716
2019.07.15,378.999999999996,130.0000000000079,,509.0000000000039
2019.07.15,381.99999999999346,135.00000000001845,,517.0000000000119
2019.07.15,346.9999999999862,118.00000000001809,,465.00000000000426
2019.07.15,310.9999999999946,106.00000000000608,,417.0000000000007
2019.07.15,296.9999999999917,106.00000000000608,,402.9999999999978
2019.07.15,285.00000000000193,101.00000000001774,,386.00000000001967
2019.07.15,287.9999999999994,105.00000000002174,,393.00000000002115
2019.07.15,290.9999999999968,104.00000000001519,,395.000000000012
2019.07.15,350.00000000000585,158.0000000000137,,508.00000000001955
2019.07.15,360.9999999999891,149.00000000002134,,510.00000000001046
2019.07.15,336.9999999999873,141.00000000001333,,478.0000000000007
2019.07.15,329.99999999998585,139.00000000000023,,468.9999999999861
2019.07.15,306.9999999999906,133.00000000000534,,439.99999999999596
2019.07.15,316.99999999998954,136.00000000000279,,452.9999999999923
2019.07.15,326.0000000000041,145.00000000001734,,471.00000000002143
2019.07.15,350.00000000000585,147.00000000000824,,497.0000000000141
2019.07.15,177.99999999998929,23.00000000001745,,201.00000000000674
2019.07.15,151.9999999999966,29.00000000001235,,181.00000000000892
2019.07.15,79.00000000000685,60.99999999999994,,140.0000000000068
2019.07.15,79.00000000000685,24.000000000001798,,103.00000000000864
2019.07.15,-9.999999999998899,-25.999999999992696,,-35.999999999991594
2019.07.15,-39.00000000001125,-56.99999999999594,,-96.00000000000719
2019.07.15,-32.0000000000098,-57.99999999998029,,-89.99999999999008
2019.07.15,-49.00000000001015,-35.999999999991594,,-85.00000000000173
2019.07.15,-141.99999999999767,-34.99999999998504,,-176.99999999998272
2019.07.15,-195.9999999999962,-107.99999999999699,,-303.9999999999932
2019.07.15,-246.00000000001288,-168.99999999999693,,-415.0000000000098
2019.07.15,-292.00000000000335,-160.99999999998892,,-452.99999999999227
2019.07.15,-317.0000000000117,-122.99999999998423,,-439.9999999999959
2019.07.15,-253.00000000001432,-101.99999999997988,,-354.9999999999942
2019.07.15,-164.99999999999292,-38.99999999998904,,-203.99999999998198
2019.07.15,-140.0000000000068,-25.999999999992696,,-165.9999999999995
2019.07.15,-198.99999999999363,-14.999999999987246,,-213.99999999998087
2019.07.15,-212.99999999999653,2.0000000000131024,,-210.99999999998343
2019.07.15,-134.00000000001188,29.00000000001235,,-104.99999999999953
2019.07.15,-143.00000000000423,23.00000000001745,,-119.99999999998678
2019.07.15,-182.99999999999983,36.0000000000138,,-146.99999999998602
