date,USDCHF,GBPUSD,EURUSD,USDJPY,USDCAD,EURCHF,AUDCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,EURJPY,EURAUD,CADJPY,empty,sum
2018.11.12,48.99999999998794,127.99999999999478,-70.0000000000145,52.00000000000671,9.999999999998899,133.99999999998968,77.00000000000485,97.9999999999981,24.999999999997247,206.00000000001728,191.00000000000784,-145.99999999998658,-106.99999999999044,-55.999999999997385,,591.0000000000144
2018.11.12,65.99999999998829,113.00000000000753,21.999999999988695,75.00000000000284,26.999999999999247,76.99999999999375,41.000000000002146,46.999999999997044,68.00000000000139,188.99999999999295,163.00000000000205,-72.00000000000273,-105.99999999998388,-66.0000000000025,,643.9999999999869
2018.11.12,99.99999999998899,144.0000000000108,-22.999999999995246,49.000000000006594,-51.99999999998539,144.99999999999514,133.00000000000534,134.0000000000008,65.99999999999939,204.00000000000773,123.00000000000644,-90.00000000000341,-14.999999999987246,-97.00000000000841,,821.0000000000416
2018.11.12,93.99999999999409,226.99999999999943,-51.000000000001044,46.00000000000648,-109.00000000000354,166.99999999998383,169.00000000000804,114.99999999999844,99.00000000000463,292.0000000000016,161.99999999999548,-116.99999999999022,28.000000000005798,-135.00000000000512,,986.9999999999981
2018.11.12,87.99999999999919,265.0000000000041,-52.000000000007596,100.99999999999909,-107.99999999999699,161.99999999999548,131.00000000000333,125.99999999999278,121.00000000000443,408.9999999999918,214.00000000000307,-181.99999999998795,-48.000000000003595,-177.0000000000067,,1049.9999999999905
2018.11.12,59.99999999999339,296.0000000000074,-70.0000000000145,106.99999999999932,-139.9999999999846,148.99999999999915,148.99999999999915,198.99999999999363,129.00000000000134,450.9999999999934,208.99999999999253,-209.00000000000318,6.000000000017103,-203.00000000000296,,1132.9999999999911
2018.11.12,95.00000000000064,225.00000000000853,-56.000000000011596,168.00000000000637,-123.99999999999079,173.99999999998528,213.00000000000762,251.00000000000122,94.00000000000519,450.9999999999934,143.00000000000423,-263.00000000000523,107.99999999999699,-239.00000000000432,,1239.9999999999977
2018.11.12,104.99999999999955,236.99999999999832,-59.99999999999339,167.0000000000016,-124.99999999999733,187.00000000000384,204.99999999999963,258.9999999999981,97.9999999999981,460.00000000000796,150.99999999999002,-265.99999999999113,66.00000000001049,-237.99999999999955,,1246.0000000000261
2018.11.12,112.99999999998533,236.99999999999832,-76.99999999999375,197.00000000000273,-204.00000000000418,212.99999999999653,285.00000000000193,329.00000000000153,85.99999999999719,500.0,49.00000000001015,-318.9999999999884,209.9999999999991,-311.9999999999976,,1307.000000000009
2018.11.12,75.99999999998718,249.00000000001032,-107.99999999999699,182.00000000000216,-201.99999999999108,204.00000000000418,233.00000000000543,290.00000000000136,68.99999999999685,491.00000000001387,69.00000000000794,-335.9999999999843,109.00000000000354,-299.0000000000066,,1027.000000000054
2018.11.12,92.00000000000318,276.00000000000955,-106.00000000000608,177.99999999999727,-182.99999999999983,222.99999999999542,229.00000000000142,288.9999999999948,89.00000000000574,519.0000000000055,131.99999999999878,-330.99999999998886,79.00000000000685,-285.0000000000108,,1201.0000000000127
2018.11.12,125.99999999998168,231.0000000000034,-69.00000000000794,200.00000000000284,-182.99999999999983,222.99999999999542,245.0000000000063,309.99999999999915,87.00000000000374,500.0,72.0000000000054,-313.99999999999295,107.00000000001265,-304.00000000000205,,1231.0000000000077
2018.11.12,125.99999999998168,157.99999999999147,-41.000000000002146,215.0000000000034,-193.99999999998306,194.99999999998963,213.00000000000762,298.9999999999937,58.99999999999794,433.9999999999975,-42.999999999993044,-299.0000000000066,82.00000000000429,-320.99999999999795,,882.9999999999845
2018.11.12,164.99999999999292,147.99999999999258,-42.0000000000087,198.99999999999807,-176.99999999998272,238.99999999998923,221.00000000000452,305.99999999999517,53.00000000000304,402.9999999999916,-32.0000000000098,-281.99999999998226,39.00000000001125,-296.0000000000065,,943.9999999999883
2018.11.12,191.99999999999218,-100.99999999999554,76.99999999999375,213.99999999999864,-114.99999999999844,150.99999999999002,142.00000000000878,229.99999999999687,-26.999999999999247,139.00000000001,-279.99999999999136,-163.99999999998727,-8.999999999992347,-267.0000000000101,,182.00000000001586
2018.11.12,190.99999999998562,-192.99999999999872,89.99999999999008,249.00000000000944,-107.99999999999699,134.99999999999625,104.99999999999955,193.99999999999417,-78.99999999999574,75.00000000001705,-394.00000000000546,-186.9999999999834,-63.99999999999739,-291.000000000011,,-276.9999999999966
2018.11.12,207.00000000000162,-187.00000000000384,78.99999999998464,271.0000000000008,-156.00000000000057,164.99999999999292,114.99999999999844,204.99999999999963,-80.99999999999774,112.99999999999955,-445.99999999999085,-225.9999999999991,-92.00000000000318,-335.9999999999985,,-369.0000000000162
2018.11.12,424.00000000000216,-404.9999999999887,463.9999999999977,385.0000000000051,-2.999999999997449,24.999999999986144,143.00000000000423,253.99999999999866,63.99999999999739,9.000000000014552,-541.9999999999981,81.99999999999363,171.00000000001003,-326.0000000000076,,745.0000000000181
2018.11.12,425.99999999999307,-421.99999999998903,472.9999999999901,383.0000000000098,14.000000000002899,19.999999999997797,123.00000000000644,229.99999999999687,63.00000000000195,-12.000000000000455,-540.9999999999915,98.00000000001319,138.0000000000159,-310.0000000000023,,683.0000000000449
2018.11.12,424.99999999998647,-587.0000000000042,588.9999999999951,365.0000000000091,-28.999999999990145,-96.00000000000719,96.00000000000719,202.0000000000022,41.000000000002146,-225.9999999999991,-811.9999999999905,254.0000000000191,242.00000000000887,-323.99999999999807,,140.00000000004104
