date,AUDUSD,EURCHF,CADCHF,AUDCHF,EURAUD,AUDCAD,NZDCAD,empty,sum
2020.04.06,-253.99999999999866,-56.000000000011596,-168.99999999999693,-281.00000000000904,-595.9999999999966,-267.00000000000614,-326.0000000000041,,-1949.000000000023
2020.04.06,-180.99999999999784,-56.99999999999594,-416.00000000000523,-275.000000000003,-710.999999999995,-196.00000000000728,-214.99999999999852,,-2051.0000000000027
2020.04.06,-131.00000000000333,-53.999999999998494,-85.99999999999719,-152.00000000000767,-585.9999999999976,-129.00000000000134,-156.00000000000057,,-1294.0000000000064
2020.04.06,-104.99999999999955,59.99999999999339,-41.9999999999976,-72.0000000000054,-575.0000000000144,-74.00000000000739,-92.00000000000318,,-900.0000000000342
2020.04.06,-175.99999999999838,62.000000000006494,-36.999999999998145,-114.00000000000298,-746.0000000000023,-95.00000000000064,-121.00000000000443,,-1227.0000000000005
2020.04.06,-183.99999999999528,66.99999999999484,-51.99999999999649,-159.00000000000912,-731.9999999999993,-197.99999999999818,-114.00000000000298,,-1372.0000000000066
2020.04.06,-190.00000000000128,58.99999999998684,-12.000000000000899,-161.00000000000003,-621.0000000000049,-177.00000000000495,-199.00000000000472,,-1301.00000000003
2020.04.06,5.999999999994898,146.00000000000168,164.99999999999292,110.99999999999443,-144.0000000000108,-26.000000000003798,-112.99999999999643,,144.99999999997294
2020.04.06,177.00000000000495,157.99999999999147,212.99999999999653,279.99999999999136,235.99999999999176,44.99999999999504,-70.0000000000034,,1038.9999999999677
2020.04.06,73.99999999999629,89.99999999999008,193.99999999999417,119.99999999999788,-68.00000000000139,-28.000000000005798,-107.99999999999699,,273.99999999997425
2020.04.06,44.99999999999504,117.99999999999588,226.99999999999943,121.99999999999989,-99.00000000000463,-112.000000000001,-141.00000000000225,,159.9999999999823
2020.04.06,39.999999999995595,87.99999999999919,188.9999999999947,121.99999999999989,-116.00000000000499,-55.000000000005045,-177.00000000000495,,90.99999999997436
2020.04.06,0.999999999995449,136.00000000000279,256.0000000000007,100.00000000000009,-280.9999999999979,-226.99999999999943,-260.00000000000466,,-275.000000000003
2020.04.06,21.999999999999797,140.0000000000068,317.9999999999961,100.00000000000009,-224.000000000002,-224.000000000002,-251.99999999999667,,-119.99999999999793
2020.04.06,73.99999999999629,148.99999999999915,353.99999999999875,156.99999999999602,-107.99999999999699,-194.0000000000053,-211.00000000000563,,220.99999999998226
2020.04.06,-39.00000000000014,167.00000000000603,351.99999999999676,37.99999999999359,-384.00000000000654,-321.0000000000046,-297.9999999999983,,-485.0000000000132
2020.04.06,14.999999999998348,182.99999999999983,342.9999999999933,93.99999999999409,-338.0000000000161,-239.0000000000003,-246.99999999999721,,-189.00000000002805
2020.04.06,70.99999999999883,204.00000000000418,368.00000000000165,115.99999999999389,-260.0000000000158,-250.00000000000577,-261.0000000000001,,-12.000000000023164
2020.04.06,202.0000000000022,136.99999999998712,507.9999999999973,287.9999999999994,207.00000000000162,-282.99999999999994,-268.0000000000016,,790.9999999999859
2020.04.06,175.99999999999838,126.0000000000039,548.9999999999995,256.99999999999613,282.0000000000045,-243.00000000000432,-228.00000000000597,,918.9999999999923
2020.04.06,151.9999999999966,121.99999999999989,548.9999999999995,276.9999999999939,286.99999999999284,-370.9999999999991,-302.0000000000023,,713.9999999999814
2020.04.06,353.99999999999875,116.99999999998934,680.9999999999983,413.99999999999216,753.0000000000036,-228.00000000000597,-258.0000000000027,,1832.9999999999736
2020.04.06,327.99999999999494,68.00000000000139,597.0000000000031,442.9999999999934,829.9999999999974,-147.00000000000824,-204.00000000000418,,1914.9999999999777
2020.04.06,287.9999999999994,-9.999999999998899,602.0000000000025,406.9999999999907,990.9999999999864,-100.00000000000009,-121.00000000000443,,2056.9999999999754
2020.04.06,446.9999999999974,21.00000000000435,656.000000000001,580.9999999999982,1326.000000000005,31.999999999998696,19.00000000000235,,3082.000000000007
2020.04.06,558.9999999999984,14.999999999987246,722.0000000000005,662.9999999999914,1533.999999999991,61.999999999995396,92.00000000000318,,3646.999999999967
2020.04.06,490.00000000000153,110.99999999999443,619.9999999999983,588.9999999999951,1242.999999999994,90.0000000000012,119.99999999999788,,3262.9999999999823
2020.04.06,505.99999999999534,95.00000000000064,658.9999999999985,647.9999999999931,1343.9999999999895,148.99999999999915,190.00000000000128,,3590.9999999999777
2020.04.06,566.9999999999953,63.99999999999739,646.0000000000022,672.9999999999902,1585.9999999999986,161.99999999999548,241.99999999999778,,3939.999999999977
2020.04.06,599.0000000000051,14.000000000002899,612.9999999999969,728.9999999999908,1764.9999999999943,290.9999999999968,336.00000000000296,,4346.99999999999
2020.04.06,526.9999999999997,21.00000000000435,517.9999999999962,650.9999999999905,1673.9999999999977,330.9999999999924,380.00000000000256,,4101.999999999983
2020.04.06,560.0000000000049,-1.0000000000065512,602.0000000000025,744.9999999999957,1865.0000000000055,341.99999999999784,398.9999999999938,,4511.999999999994
