date,USDCHF,GBPUSD,EURUSD,AUDUSD,NZDUSD,EURCHF,CHFJPY,AUDCHF,GBPJPY,EURJPY,EURAUD,EURNZD,NZDJPY,AUDCAD,NZDCAD,AUDNZD,empty,sum
2020.06.01,-146.99999999999713,0.0,-7.0000000000014495,-95.99999999999609,-24.999999999997247,-133.00000000000534,-102.00000000000387,-132.99999999999423,-371.9999999999857,-54.000000000002046,-216.00000000001617,-413.00000000001893,-107.00000000001353,-82.99999999999974,-80.99999999999774,-69.00000000000794,,-2038.0000000000373
2020.06.01,-141.99999999999767,130.99999999999224,-28.999999999990145,-105.99999999999498,30.999999999992145,-130.0000000000079,-96.00000000000364,-168.00000000000148,-370.9999999999809,-36.000000000001364,-251.00000000000122,-369.0000000000193,22.999999999996135,-104.99999999999955,-55.000000000005045,-60.99999999999994,,-1734.0000000000225
2020.06.01,-121.99999999999989,35.999999999991594,-124.99999999999733,-44.99999999999504,-60.99999999999994,-114.99999999999844,-251.00000000000477,-98.99999999999353,-475.9999999999991,-21.99999999999136,-209.9999999999991,-327.00000000001063,-70.00000000000739,-104.00000000000409,-131.99999999999878,-28.999999999990145,,-2151.9999999999977
2020.06.01,-85.99999999999719,208.00000000000819,-75.99999999998718,-42.999999999993044,36.999999999998145,-60.99999999999994,-265.00000000000057,-80.99999999999774,-467.9999999999893,-36.000000000001364,-130.0000000000079,-238.0000000000049,47.99999999998761,-117.00000000000044,-153.99999999999858,-26.999999999999247,,-1488.9999999999834
2020.06.01,-71.99999999999429,187.99999999998818,-34.000000000000696,-9.999999999998899,8.999999999992347,-100.99999999999554,-204.00000000000773,-46.00000000000159,-320.99999999999795,-1.9999999999953388,-30.0000000000189,-120.00000000000898,-34.000000000006025,-73.00000000000084,-97.00000000000264,-7.0000000000014495,,-954.0000000000502
2020.06.01,-65.00000000000395,180.0000000000024,-0.9999999999843467,-39.00000000000014,20.999999999993246,-114.99999999999844,-201.99999999999818,-63.99999999999739,-312.9999999999882,-27.000000000001023,5.999999999994898,-103.00000000000864,-10.000000000005116,-94.00000000000519,-121.00000000000443,-29.999999999996696,,-977.0000000000013
2020.06.01,-87.99999999999919,201.00000000000674,-24.000000000001798,-422.9999999999956,47.9999999999925,-136.00000000000279,-375.0,-407.0000000000018,-936.000000000007,-231.99999999999932,-860.0000000000163,-940.0000000000075,33.999999999991815,-339.0000000000004,-263.0000000000021,-42.0000000000087,,-4782.000000000051
2020.06.01,-75.00000000000284,496.00000000000756,2.0000000000131024,-371.99999999999454,291.99999999999227,-143.00000000000423,-319.0000000000026,-387.99999999999943,-825.9999999999934,-189.99999999999773,-777.0000000000055,-869.0000000000086,363.9999999999901,-255.00000000000523,-226.99999999999943,28.000000000005798,,-3259.0000000000045
2020.06.01,-78.99999999999574,504.9999999999999,14.000000000002899,-592.9999999999991,290.00000000000136,-215.99999999999397,-272.99999999999613,-566.9999999999953,-927.9999999999973,-216.99999999999875,-1119.0000000000034,-963.0000000000027,306.99999999998795,-472.00000000000574,-258.0000000000027,25.00000000000835,,-4543.99999999999
2020.06.01,-41.000000000002146,744.9999999999957,168.0000000000126,-796.9999999999922,434.9999999999965,-248.00000000000378,-259.00000000000034,-766.0,-978.999999999985,-232.99999999998988,-1600.0000000000014,-1102.000000000003,425.9999999999877,-731.0000000000039,-341.99999999999784,255.00000000000523,,-5068.999999999982
2020.06.01,-46.999999999997044,812.999999999997,148.99999999999915,-687.9999999999998,454.9999999999943,-242.00000000000887,-213.99999999999864,-658.9999999999985,-972.9999999999848,-197.9999999999933,-1345.0000000000184,-1053.000000000015,475.9999999999991,-563.0000000000024,-310.9999999999946,276.9999999999939,,-4123.000000000028
2020.06.01,-31.000000000003247,804.9999999999891,188.00000000001037,-835.9999999999923,468.9999999999972,-269.00000000000813,-246.00000000000932,-790.0000000000018,-974.9999999999943,-212.99999999999386,-1660.000000000017,-1196.0000000000193,468.9999999999941,-665.0000000000044,-304.9999999999997,313.99999999999204,,-4941.000000000062
