date,USDCHF,GBPUSD,GBPCHF,EURCHF,CHFJPY,AUDCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURNZD,AUDCAD,AUDNZD,empty,sum
2016.02.01,0.0,-100.99999999999554,-378.00000000001165,-60.000000000015596,0.0,-36.999999999998145,-0.999999999995449,-7.0000000000014495,-18.000000000000682,-242.99999999999324,-248.99999999998812,0.0,-351.99999999999676,-126.0000000000039,-198.00000000000927,,-1770.00000000001
2016.02.01,192.99999999999872,-83.00000000001084,-377.0000000000051,213.99999999998087,34.99999999999659,-7.0000000000014495,-114.99999999999844,36.0000000000027,-39.99999999999204,-275.000000000003,-593.0000000000213,-64.00000000002137,-836.9999999999989,-177.00000000000495,-280.0000000000136,,-2370.000000000092
2016.02.01,278.00000000000045,22.999999999995246,-476.0000000000098,225.99999999999287,64.99999999999773,21.999999999999797,-24.000000000001798,-2.999999999997449,-145.00000000001023,-226.99999999999943,-587.9999999999885,-79.00000000000773,-760.0000000000051,-180.99999999999784,-269.00000000000813,,-2138.00000000004
2016.02.01,342.9999999999822,-52.99999999999194,-533.0000000000057,259.9999999999936,176.00000000000193,85.99999999999719,34.99999999999615,-2.000000000002,-117.999999999995,-194.0000000000053,-658.0000000000031,4.9999999999954525,-643.0000000000158,-213.00000000000762,-263.00000000001324,,-1772.0000000000732
2016.02.01,185.99999999999727,-153.00000000000313,-581.0000000000093,247.99999999998158,70.99999999999795,-136.99999999999824,-121.00000000000443,-5.999999999994898,-252.00000000000955,-324.9999999999975,-943.000000000005,-47.000000000025466,-931.9999999999995,-295.0000000000008,-185.99999999999727,,-3473.0000000000687
2016.02.01,133.99999999998968,-89.00000000000574,-312.00000000000114,225.99999999999287,39.99999999999204,-292.00000000000335,-271.9999999999945,75.00000000000284,-9.999999999990905,-557.0000000000075,-1200.0000000000011,-18.000000000000682,-1276.0000000000105,-341.99999999999784,-225.00000000000853,,-4118.000000000044
2016.02.01,78.99999999998464,-242.00000000000887,-363.0000000000022,208.99999999999253,-79.00000000000773,-190.00000000000128,-190.00000000000128,31.000000000003247,-256.0000000000002,-743.0000000000048,-1129.0000000000243,-155.00000000000114,-1117.9999999999968,-204.99999999999963,-198.99999999999363,,-4550.000000000061
2016.02.01,72.99999999998974,-228.00000000000597,-384.00000000000654,184.99999999999073,-70.00000000000739,-278.00000000000045,-158.0000000000026,4.999999999999449,-304.00000000000205,-743.0000000000048,-1278.9999999999857,-134.00000000001455,-1026.0000000000157,-229.99999999999687,-165.9999999999995,,-4737.000000000062
2016.02.01,44.99999999998394,-245.99999999999068,-364.00000000000875,201.99999999999108,-9.000000000000341,-177.00000000000495,-165.9999999999995,23.00000000000635,-163.99999999998727,-866.9999999999956,-1041.9999999999873,-127.00000000000955,-1011.0000000000064,-107.00000000000153,-188.00000000001037,,-4198.00000000002
2016.02.01,69.9999999999923,-256.99999999999613,-409.99999999999926,258.99999999998704,-63.00000000000239,-117.00000000000044,-48.99999999999905,39.00000000000014,-280.00000000000114,-832.9999999999949,-931.0000000000151,-190.00000000002615,-771.0000000000106,-56.0000000000005,-86.0000000000083,,-3675.0000000000746
