date,USDCHF,GBPUSD,EURUSD,USDCAD,AUDUSD,NZDUSD,EURCHF,CHFJPY,CADCHF,AUDCHF,NZDCHF,GBPJPY,EURCAD,EURAUD,EURNZD,CADJPY,AUDJPY,NZDJPY,AUDCAD,NZDCAD,AUDNZD,empty,sum
2021.01.11,-49.99999999999449,-11.00000000000545,-2.999999999997449,-65.99999999998829,-56.0000000000005,-70.99999999999883,-19.00000000001345,0.0,0.0,-43.00000000000415,-92.00000000000318,0.0,-226.99999999999943,-381.99999999999346,-540.9999999999915,-6.000000000000227,-11.00000000000989,-43.99999999999693,-53.999999999998494,-161.00000000000003,-24.999999999986144,,-1861.9999999999814
2021.01.11,-29.000000000001247,52.99999999999194,17.000000000000348,-36.999999999998145,-36.999999999998145,-97.00000000000264,4.999999999988347,210.99999999999852,5.999999999994898,-42.0000000000087,-92.99999999999864,128.99999999999068,-163.00000000000205,-317.9999999999961,-590.0000000000016,54.000000000002046,21.99999999999136,-93.00000000000352,-60.99999999999994,-195.9999999999962,134.00000000001188,,-1125.0000000000368
2021.01.11,-134.0000000000008,-87.99999999999919,-147.99999999999258,-173.00000000000094,-111.00000000000554,-130.0000000000079,-55.000000000005045,231.99999999999932,63.99999999999739,31.999999999998696,-22.999999999995246,57.999999999992724,-167.9999999999904,-304.9999999999997,-478.999999999985,87.0000000000033,12.000000000000455,-37.9999999999967,-65.00000000000395,-151.9999999999966,220.00000000002018,,-1363.9999999999675
2021.01.11,-234.00000000000088,-303.0000000000088,-295.0000000000008,-350.9999999999902,-392.00000000000347,-329.00000000000153,-60.99999999999994,245.9999999999951,114.99999999999844,-126.0000000000039,-92.00000000000318,-34.99999999999659,-144.99999999999514,-659.999999999994,-696.999999999992,88.00000000000807,-204.9999999999983,-168.00000000000637,-200.00000000000017,-173.00000000000094,145.00000000001734,,-3871.9999999999773
2021.01.11,-222.99999999999542,-235.00000000000742,-293.99999999999426,-309.99999999998806,-333.0000000000055,-291.0000000000079,-65.00000000000395,222.99999999999898,126.99999999999933,-89.00000000000574,-77.00000000000485,18.000000000000682,-109.00000000000354,-570.9999999999882,-669.9999999999928,97.00000000000841,-154.00000000001057,-143.00000000000068,-165.9999999999995,-195.00000000000074,179.00000000001802,,-3280.999999999983
2021.01.11,-234.00000000000088,-243.99999999999977,-303.0000000000088,-341.99999999999784,-357.00000000000733,-324.00000000000205,-65.00000000000395,236.0000000000042,102.99999999999754,-109.99999999999899,-102.99999999999754,25.999999999982037,-148.99999999999915,-614.9999999999877,-714.999999999999,67.99999999999784,-171.99999999999704,-171.00000000000648,-161.00000000000003,-179.99999999999127,160.00000000000458,,-3652.0000000000114
2021.01.11,-300.99999999999574,-296.9999999999917,-381.0000000000091,-394.00000000000546,-413.0000000000078,-353.0000000000033,-55.000000000005045,224.99999999999432,121.99999999999989,-119.00000000000244,-102.00000000000209,69.99999999999318,-137.9999999999937,-671.9999999999837,-746.9999999999866,82.00000000000784,-183.00000000000693,-171.99999999999704,-204.00000000000418,-188.9999999999947,161.00000000001114,,-4059.9999999999836
2021.01.11,-334.00000000000097,-348.9999999999993,-404.0000000000044,-490.999999999997,-463.9999999999977,-399.0000000000049,-42.0000000000087,225.9999999999991,105.99999999999498,-138.00000000000477,-88.99999999999464,50.99999999998772,-208.00000000000819,-753.9999999999881,-757.999999999992,67.99999999999784,-204.00000000000773,-171.99999999999704,-192.00000000000327,-185.99999999999727,129.00000000000134,,-4604.000000000026
2021.01.11,-348.9999999999993,-438.9999999999894,-446.9999999999974,-570.0000000000039,-574.0000000000078,-460.00000000000483,-55.000000000005045,198.99999999999807,85.00000000000173,-203.00000000000873,-129.9999999999968,-25.000000000005684,-218.00000000000708,-856.9999999999967,-831.000000000004,19.000000000005457,-316.0000000000025,-231.00000000000875,-267.00000000000614,-195.00000000000074,71.00000000002105,,-5793.00000000002
2021.01.11,-325.99999999999295,-367.99999999999056,-401.99999999999125,-510.99999999999477,-506.0000000000064,-402.00000000000233,-43.00000000001525,192.00000000000728,97.9999999999981,-165.9999999999995,-99.00000000000463,-13.00000000000523,-204.99999999998852,-777.9999999999898,-763.9999999999869,36.000000000001364,-264.00000000001,-192.99999999999784,-223.00000000000654,-169.99999999999238,85.00000000000173,,-5021.999999999967
