date,GBPUSD,USDCAD,AUDUSD,CADCHF,AUDCHF,GBPCAD,EURJPY,EURCAD,EURAUD,EURNZD,CADJPY,AUDJPY,NZDJPY,AUDCAD,NZDCAD,empty,sum
2017.04.03,-116.99999999998934,-102.99999999998644,-12.000000000000899,-93.99999999999409,-24.999999999997247,-90.99999999999665,-65.00000000001194,-165.9999999999995,-117.00000000001154,-130.0000000000079,-5.000000000009663,-9.999999999990905,-10.99999999999568,-8.000000000008,-2.000000000002,,-956.0000000000019
2017.04.03,-130.0000000000079,-166.99999999998383,15.999999999993797,-19.999999999997797,3.0000000000085514,-159.99999999998238,-44.00000000001114,-204.00000000000418,-147.00000000000824,-161.00000000001114,15.000000000000568,15.000000000000568,70.99999999999795,15.00000000000945,58.000000000002494,,-839.9999999999933
2017.04.03,-83.9999999999952,-140.99999999999113,41.000000000002146,31.999999999998696,82.00000000000429,-110.99999999999443,-160.0000000000108,-231.0000000000034,-188.00000000001037,-133.00000000000534,97.99999999999898,96.00000000000364,127.00000000000955,65.00000000000395,168.99999999999693,,-337.9999999999925
2017.04.03,56.000000000011596,-207.99999999998596,87.99999999999919,-24.000000000001798,92.99999999999864,236.99999999999832,-106.99999999999932,-373.00000000000114,-173.00000000000094,-292.00000000000335,-13.00000000000523,73.0000000000075,96.00000000000364,167.00000000000603,266.999999999995,,-112.99999999997783
2017.04.03,-9.999999999998899,-251.00000000000122,90.0000000000012,-51.000000000001044,96.00000000000719,243.99999999999977,-99.00000000000375,-432.0000000000102,-221.00000000000452,-331.999999999999,-46.00000000000648,66.0000000000025,63.00000000000239,252.0000000000078,251.99999999999667,,-379.0000000000076
2017.04.03,-42.0000000000087,-261.9999999999845,46.999999999997044,-44.99999999999504,74.00000000000739,223.00000000001762,-77.00000000001239,-421.0000000000047,-283.000000000011,-319.0000000000026,-93.00000000000352,-24.00000000000091,37.00000000000614,219.99999999999798,295.0000000000008,,-669.9999999999965
2017.04.03,-49.99999999999449,-273.9999999999965,46.00000000000159,-44.99999999999504,29.000000000001247,119.00000000000244,-59.00000000001171,-426.00000000001523,-334.9999999999964,-351.0000000000124,-120.00000000000455,-85.99999999999852,-25.99999999999625,177.00000000000495,261.99999999999557,,-1139.0000000000155
2017.04.03,-76.99999999999375,-183.99999999998417,70.99999999999883,-34.99999999999615,50.0000000000056,96.00000000000719,-79.9999999999983,-395.000000000012,-297.9999999999983,-310.0000000000103,-85.00000000000796,-48.99999999999238,20.000000000010232,184.00000000000637,278.00000000000045,,-813.9999999999648
2017.04.03,-56.99999999999594,-161.99999999999548,85.99999999999719,-29.000000000001247,57.00000000000705,110.00000000001009,-127.00000000000955,-394.00000000000546,-287.9999999999994,-208.00000000000819,-3.0000000000001137,55.00000000000682,141.00000000000534,195.00000000001182,326.0000000000041,,-297.99999999997294
2017.04.03,-96.00000000000719,-225.99999999999287,-70.99999999999883,-60.99999999999994,-101.99999999999099,111.00000000001664,-171.00000000000648,-484.00000000001774,-595.0000000000122,-313.00000000000773,-37.00000000000614,-122.99999999999045,102.00000000000387,26.999999999999247,290.00000000000136,,-1749.0000000000093
2017.04.03,-106.00000000000608,-237.99999999998266,-131.00000000000333,-73.99999999999629,-175.99999999999838,46.999999999997044,-194.00000000000261,-500.00000000001154,-728.0000000000175,-335.00000000001864,-9.000000000000341,-158.99999999999181,144.00000000000546,-62.000000000006494,334.00000000000097,,-2187.0000000000323
2017.04.03,-96.00000000000719,-180.99999999998673,-111.00000000000554,-58.99999999999794,-161.99999999999548,72.0000000000054,-183.00000000000693,-477.0000000000163,-701.0000000000183,-270.00000000001467,12.000000000000455,-140.99999999999113,169.00000000001114,-79.99999999999119,354.9999999999942,,-1853.000000000021
2017.04.03,-14.999999999987246,-156.99999999998494,-128.00000000000588,-53.999999999998494,-185.99999999999727,143.00000000000423,-207.00000000000784,-434.000000000001,-727.0000000000109,-275.000000000003,9.000000000000341,-188.0000000000024,145.00000000001023,-106.00000000000608,319.0000000000026,,-1860.9999999999877
2017.04.03,-15.999999999993797,-146.99999999998602,-128.00000000000588,-56.99999999999594,-198.99999999999363,127.00000000001043,-131.00000000000023,-419.0000000000138,-724.9999999999978,-292.00000000000335,-19.99999999999602,-226.99999999998965,111.0000000000042,-109.00000000000354,304.9999999999997,,-1926.9999999999657
2017.04.03,-68.00000000000139,-238.99999999998923,-184.00000000000637,-110.99999999999443,-253.99999999999866,120.00000000000898,-201.00000000000762,-494.00000000001666,-812.0000000000127,-391.000000000008,-6.000000000000227,-217.9999999999893,97.99999999999898,-137.9999999999937,268.0000000000016,,-2630.000000000008
2017.04.03,-59.99999999999339,-242.99999999999324,-224.9999999999974,-114.99999999999844,-295.99999999999625,156.00000000000057,-212.0000000000033,-527.0000000000108,-909.0000000000042,-441.0000000000025,-15.000000000000568,-256.0000000000002,84.00000000000318,-160.99999999998892,275.99999999999847,,-2943.9999999999873
2017.04.03,-4.999999999988347,-248.00000000000378,-241.00000000000233,-119.99999999999788,-314.99999999999864,277.00000000001614,-281.0000000000059,-541.9999999999981,-953.0000000000039,-514.0000000000144,-15.000000000000568,-263.9999999999958,88.99999999999864,-175.99999999999838,234.99999999999633,,-3072.999999999997
2017.04.03,31.000000000003247,-258.99999999998704,-228.00000000000597,-122.99999999999534,-302.9999999999977,347.0000000000084,-294.00000000001114,-527.0000000000108,-911.0000000000174,-669.0000000000085,-7.000000000005002,-250.0,-16.999999999995907,-153.9999999999875,156.99999999999602,,-3207.000000000015
