date,GBPUSD,USDCAD,GBPCHF,CHFJPY,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURNZD,CADJPY,AUDJPY,NZDJPY,empty,sum
2021.07.12,-73.99999999999629,0.0,-303.9999999999932,-204.00000000000773,-16.0000000000049,-234.99999999998522,-408.00000000000836,-336.00000000000296,-137.00000000000045,0.0,-225.9999999999991,-269.999999999996,-311.9999999999976,,-2521.999999999992
2021.07.12,-69.9999999999923,52.99999999999194,-238.99999999998923,-240.99999999999966,-2.000000000002,-179.9999999999784,-436.9999999999985,-297.9999999999983,-110.00000000001364,197.99999999998707,-168.99999999999693,-266.9999999999959,-287.9999999999967,,-2049.9999999999827
2021.07.12,-110.99999999999443,41.99999999998649,-244.9999999999841,-342.00000000001296,-1.0000000000065512,-329.9999999999841,-489.0000000000061,-287.000000000015,-187.00000000001182,173.00000000000094,-283.00000000000125,-348.99999999998954,-421.0000000000065,,-2830.000000000025
2021.07.12,-110.99999999999443,61.99999999998429,-265.0000000000041,-345.0000000000131,7.9999999999968985,-387.9999999999768,-466.00000000001086,-316.0000000000052,-227.00000000000387,222.99999999999542,-305.9999999999974,-365.99999999999966,-450.00000000000284,,-2947.0000000000314
2021.07.12,-127.99999999999478,70.99999999999883,-265.0000000000041,-332.00000000000784,-4.999999999999449,-344.99999999999886,-476.9999999999941,-367.0000000000062,-189.99999999999773,220.99999999998232,-256.0000000000002,-307.9999999999927,-414.0000000000015,,-2795.0000000000164
2021.07.12,-124.99999999999733,52.99999999999194,-241.99999999998667,-379.0000000000049,-7.0000000000014495,-408.9999999999918,-462.9999999999912,-345.0000000000175,-206.99999999999363,222.99999999999542,-314.9999999999977,-357.9999999999899,-441.0000000000025,,-3014.9999999999873
2021.07.12,-127.99999999999478,70.99999999999883,-244.9999999999841,-389.00000000001,-4.999999999999449,-427.99999999999727,-565.9999999999999,-564.000000000009,-222.0000000000084,278.00000000000045,-301.9999999999925,-334.0000000000032,-418.99999999999693,,-3252.9999999999964
2021.07.12,-134.99999999999625,141.99999999999767,-238.99999999998923,-315.00000000001194,7.0000000000014495,-294.9999999999875,-557.0000000000075,-608.0000000000085,-159.9999999999966,564.9999999999933,-197.9999999999933,-201.99999999999818,-263.00000000000523,,-2258.000000000002
2021.07.12,-214.99999999998744,95.999999999985,-273.9999999999965,-268.0000000000007,-19.999999999997797,-309.99999999997385,-662.000000000007,-711.0000000000172,-117.999999999995,465.99999999998863,-194.99999999999318,-203.99999999999352,-283.00000000000125,,-2697.99999999999
2021.07.12,-197.00000000000273,151.9999999999966,-312.9999999999855,-255.00000000000966,-29.000000000001247,-271.99999999999136,-659.999999999994,-819.9999999999985,-57.00000000001637,586.999999999982,-132.99999999999557,-81.00000000000307,-189.00000000000716,,-2267.000000000027
2021.07.12,-175.99999999999838,197.99999999998707,-326.0000000000041,-253.0000000000001,-58.99999999999794,-329.9999999999841,-695.0000000000011,-757.0000000000076,-114.00000000000432,634.0000000000013,-159.9999999999966,-131.00000000000023,-192.99999999999784,,-2362.000000000004
2021.07.12,-119.00000000000244,207.00000000000162,-261.0000000000001,-286.00000000000136,4.999999999999449,-298.0000000000018,-625.0000000000089,-623.000000000018,-144.00000000000546,683.9999999999957,-161.00000000000136,-171.99999999999704,-198.99999999999807,,-1992.0000000000382
2021.07.12,-76.99999999999375,221.99999999998886,-251.99999999998556,-291.000000000011,10.999999999994348,-287.9999999999825,-601.9999999999915,-636.0000000000143,-146.99999999999136,688.9999999999841,-164.00000000000148,-189.99999999999773,-201.99999999999818,,-1926.9999999999995
2021.07.12,-21.999999999988695,280.9999999999979,-204.00000000000418,-257.000000000005,32.999999999994145,-190.99999999997408,-612.9999999999969,-619.9999999999983,-91.00000000000819,786.9999999999822,-100.99999999999909,-108.99999999999466,-124.00000000000944,,-1231.000000000004
2021.07.12,16.000000000016,297.9999999999983,-205.99999999999508,-231.99999999999932,34.000000000000696,-140.99999999999113,-608.0000000000085,-634.0000000000013,-70.99999999999795,801.9999999999916,-75.9999999999934,-81.99999999999363,-99.00000000000375,,-998.9999999999776
2021.07.12,-31.999999999987594,234.99999999998522,-222.99999999999542,-272.00000000000557,15.999999999993797,-236.99999999999477,-580.0000000000027,-608.0000000000085,-110.99999999999,741.9999999999982,-143.00000000000068,-140.99999999999113,-152.00000000000102,,-1506.0
2021.07.12,-43.999999999999595,219.99999999999798,-222.99999999999542,-282.0000000000107,12.999999999996348,-235.99999999999,-597.0000000000031,-614.0000000000034,-118.99999999999977,692.9999999999881,-149.99999999999147,-155.00000000000114,-174.99999999999716,,-1669.000000000009
2021.07.12,-9.999999999998899,243.99999999999977,-190.99999999998562,-271.0000000000008,29.000000000001247,-195.99999999999795,-591.9999999999925,-611.000000000006,-99.99999999999432,751.9999999999972,-131.00000000000023,-128.0000000000001,-141.9999999999959,,-1346.999999999974
2021.07.12,-31.999999999987594,218.99999999999142,-251.99999999998556,-260.0000000000051,4.999999999999449,-245.9999999999809,-548.9999999999995,-638.0000000000052,-106.99999999999932,722.0000000000005,-167.0000000000016,-137.99999999999102,-162.00000000000614,,-1604.9999999999707
2021.07.12,-44.99999999998394,221.99999999998886,-299.00000000000483,-214.00000000001285,-21.999999999999797,-221.99999999998,-675.0000000000034,-746.0000000000023,-57.00000000001637,732.9999999999836,-137.00000000000045,-116.99999999999022,-125.0,,-1704.0000000000216
