date,USDCHF,AUDUSD,GBPCHF,EURCHF,CHFJPY,CADCHF,AUDCHF,EURGBP,GBPCAD,GBPAUD,EURNZD,CADJPY,AUDJPY,AUDCAD,empty,sum
2021.10.04,-170.99999999999892,-141.00000000000225,-265.0000000000041,0.0,-262.00000000000045,-24.999999999997247,-150.00000000000568,-127.99999999999478,-103.99999999999298,-286.99999999999284,-160.99999999998892,-121.00000000000932,-85.00000000000796,-89.99999999999008,,-1989.9999999999852
2021.10.04,-94.00000000000519,-143.00000000000423,8.999999999992347,15.00000000000945,-171.99999999999704,-43.00000000000415,-175.99999999999838,-23.999999999990695,-123.00000000000644,-124.99999999999733,-261.0000000000001,-109.99999999999943,-10.000000000005116,-79.99999999999119,,-1336.9999999999975
2021.10.04,-107.00000000000153,-319.99999999999807,-120.99999999999334,-42.999999999993044,-88.99999999999864,-151.00000000000114,-177.00000000000495,-12.999999999996348,-134.99999999999625,-139.00000000000023,-268.0000000000016,-71.00000000001216,-14.000000000010004,-153.99999999999858,,-1802.000000000006
2021.10.04,-102.99999999999754,-311.00000000000574,-181.9999999999933,-59.99999999999339,25.99999999999625,-152.00000000000767,-161.00000000000003,-31.999999999998696,-109.99999999998789,-137.9999999999937,-192.99999999999872,132.99999999999557,205.99999999998886,-117.99999999999588,,-1194.9999999999916
2021.10.04,-82.00000000000429,-288.9999999999948,-191.00000000000784,-69.9999999999923,4.0000000000048885,-151.00000000000114,-170.99999999999892,-28.999999999990145,4.000000000004,-188.9999999999947,-209.9999999999991,93.99999999999409,185.99999999999284,-132.99999999999423,,-1226.9999999999816
2021.10.04,-109.99999999999899,-307.0000000000017,-191.99999999999218,-66.99999999999484,6.000000000000227,-141.99999999999767,-177.00000000000495,-32.999999999994145,36.999999999998145,-211.99999999998997,-275.000000000003,27.999999999991587,153.99999999999636,-148.99999999999915,,-1438.9999999999902
2021.10.04,-136.00000000000279,-321.0000000000046,-190.00000000000128,-72.0000000000054,-10.000000000005116,-119.00000000000244,-170.99999999999892,-30.999999999992145,56.000000000011596,-218.99999999999142,-353.99999999998766,12.999999999991019,123.99999999999523,-148.99999999999915,,-1578.999999999993
2021.10.04,-85.99999999999719,-253.99999999999866,-182.99999999999983,-69.9999999999923,-82.99999999999841,-102.00000000000209,-141.00000000000225,-23.999999999990695,124.99999999999733,-348.9999999999993,-451.0000000000014,-84.00000000000318,30.9999999999917,-152.99999999999204,,-1823.9999999999884
2021.10.04,-51.000000000001044,-178.00000000000037,-104.99999999999955,-63.99999999999739,-55.999999999997385,-92.00000000000318,-97.9999999999981,20.0000000000089,-36.999999999998145,-344.00000000001097,-429.99999999999704,-85.00000000000796,-4.0000000000048885,-111.99999999998988,,-1635.9999999999973
2021.10.04,-36.999999999998145,-180.0000000000024,-78.00000000000028,-83.9999999999952,-82.99999999999841,-106.00000000000608,-114.99999999999844,62.000000000006494,-42.0000000000087,-310.0000000000103,-434.000000000001,-93.00000000000352,-63.00000000000239,-87.99999999999919,,-1651.0000000000173
2021.10.04,-21.00000000000435,-100.99999999999554,11.00000000000545,-51.000000000001044,-63.99999999999295,-102.99999999999754,-53.00000000000304,86.0000000000083,-191.99999999999218,-313.00000000000773,-402.9999999999978,-69.00000000000261,-58.000000000006935,-37.99999999999359,,-1368.9999999999814
2021.10.04,-9.999999999998899,-146.99999999999713,-21.999999999988695,-66.99999999999484,-4.0000000000048885,-158.99999999999804,-97.9999999999981,86.0000000000083,-229.99999999999687,-174.99999999999181,-258.0000000000027,63.99999999999295,58.9999999999975,-19.999999999997797,,-980.999999999971
