date,NZDUSD,EURCHF,CADCHF,NZDCHF,EURGBP,CADJPY,NZDJPY,NZDCAD,empty,sum
2015.10.12,21.999999999999797,35.00000000000725,-2.999999999997449,19.999999999997797,-4.999999999999449,-69.00000000000261,36.000000000001364,12.999999999996348,,49.00000000000304
2015.10.12,52.99999999999194,15.999999999993797,-13.999999999991797,14.999999999998348,-11.999999999989797,-112.00000000000898,84.99999999999375,0.999999999995449,,31.999999999982702
2015.10.12,48.99999999999905,153.00000000000313,111.00000000000554,65.00000000000395,8.000000000008,-201.99999999999818,100.99999999999909,-47.00000000000814,,238.0000000000125
2015.10.12,5.999999999994898,165.9999999999995,116.00000000000499,57.00000000000705,2.000000000002,-147.00000000000557,24.999999999991473,-72.0000000000054,,152.99999999998892
2015.10.12,8.999999999992347,161.99999999999548,118.00000000000699,58.000000000002494,9.00000000000345,-126.00000000000477,18.999999999991246,-53.00000000000304,,195.99999999998423
2015.10.12,-1.0000000000065512,181.9999999999933,76.0000000000094,34.000000000000696,30.000000000007798,-100.00000000000853,3.0000000000001137,-51.000000000001044,,172.99999999999514
2015.10.12,37.99999999999359,180.0000000000024,74.00000000000739,31.000000000003247,50.0000000000056,-103.00000000000864,0.0,-53.999999999998494,,216.00000000000503
2015.10.12,46.999999999997044,175.00000000001404,110.00000000001009,31.999999999998696,44.0000000000107,-156.0000000000059,7.999999999995566,-94.00000000000519,,166.000000000015
2015.10.12,71.99999999999429,195.9999999999962,185.00000000000182,121.00000000000443,13.00000000000745,-164.00000000000148,46.999999999997044,-60.99999999999994,,408.99999999999983
2015.10.12,123.99999999999079,204.00000000000418,220.00000000000907,153.99999999999858,6.0000000000060005,-234.00000000000887,125.0,-45.000000000006146,,553.9999999999937
2015.10.12,201.99999999999108,154.0000000000097,219.00000000000253,186.00000000000838,15.00000000000945,-329.9999999999983,232.99999999998988,-13.00000000000745,,666.0000000000052
2015.10.12,157.99999999999147,165.9999999999995,191.00000000000784,139.00000000000023,19.00000000000235,-302.0000000000067,183.9999999999975,-41.9999999999976,,512.9999999999947
2015.10.12,214.99999999999852,165.9999999999995,231.0000000000034,196.00000000000728,-11.999999999989797,-350.0000000000085,253.99999999999068,-16.0000000000049,,683.9999999999961
2015.10.12,196.99999999999162,184.00000000000637,228.00000000000597,180.0000000000024,16.0000000000049,-323.0000000000075,209.99999999999375,-28.000000000005798,,663.9999999999916
2015.10.12,229.00000000000142,182.99999999999983,232.00000000000998,214.99999999999852,17.000000000000348,-334.0000000000032,262.999999999991,15.999999999993797,,820.9999999999917
2015.10.12,239.99999999999577,208.99999999999253,258.0000000000027,250.00000000000577,8.000000000008,-314.9999999999977,263.9999999999958,32.999999999994145,,946.9999999999968
2015.10.12,231.99999999999886,236.99999999999832,280.00000000000244,258.0000000000027,16.0000000000049,-338.0000000000081,265.99999999999113,7.9999999999968985,,958.9999999999872
2015.10.12,237.99999999999378,249.99999999999466,314.0000000000032,290.00000000000136,-9.999999999998899,-331.00000000000307,268.99999999999125,24.999999999997247,,1044.9999999999795
2015.10.12,345.99999999999073,270.99999999999903,351.0000000000013,414.00000000000324,-77.99999999998919,-344.99999999999886,390.99999999999113,139.00000000000023,,1488.9999999999977
2015.10.12,353.99999999999875,214.00000000000307,308.00000000000824,394.00000000000546,-82.99999999999974,-346.00000000000364,411.9999999999919,163.00000000000205,,1416.0000000000061
2015.10.12,471.99999999999466,197.00000000000273,288.00000000001046,475.99999999999864,-77.99999999998919,-355.000000000004,539.0000000000015,290.00000000000136,,1829.0000000000161
2015.10.12,517.0000000000008,339.0000000000004,326.0000000000041,541.9999999999981,-81.9999999999932,-396.0000000000008,622.9999999999905,347.9999999999928,,2216.9999999999923
2015.10.12,530.9999999999926,300.99999999999574,336.00000000000296,556.0000000000009,-71.99999999999429,-405.00000000000114,634.0000000000003,346.0000000000019,,2226.999999999999
2015.10.12,441.99999999999795,303.0000000000088,242.00000000000887,450.00000000000597,-14.999999999998348,-293.99999999999693,513.9999999999958,322.00000000000006,,1964.0000000000223
2015.10.12,412.00000000000125,292.00000000000335,139.00000000000023,341.99999999999784,47.00000000000814,-278.0000000000058,470.9999999999894,290.9999999999968,,1715.9999999999914
2015.10.12,373.00000000000114,272.00000000000557,159.00000000000912,353.99999999999875,-34.99999999999615,-197.00000000000273,385.9999999999957,278.9999999999959,,1591.0000000000073
2015.10.12,325.99999999999295,259.0000000000092,128.00000000000588,325.00000000000864,-54.999999999993946,-150.99999999999625,343.9999999999941,276.9999999999939,,1453.0000000000146
2015.10.12,356.9999999999962,214.00000000000307,163.00000000000205,382.00000000000455,-78.99999999999574,-152.00000000000102,381.0000000000002,317.0000000000006,,1583.0000000000102
2015.10.12,432.9999999999945,229.00000000001253,148.0000000000037,447.0000000000085,-98.99999999999353,-132.99999999999557,465.999999999994,426.9999999999996,,1918.0000000000236
2015.10.12,458.9999999999983,177.00000000000495,152.00000000000767,411.0000000000058,-122.99999999999534,-236.0000000000042,507.99999999999557,368.9999999999971,,1717.0000000000098
2015.10.12,483.0000000000001,181.00000000000892,149.00000000001023,473.0000000000012,-144.99999999999514,-180.99999999999739,536.0000000000014,451.9999999999969,,1948.000000000026
2015.10.12,483.99999999999557,161.00000000001114,113.00000000000753,477.0000000000052,-173.9999999999964,-127.00000000000955,542.0000000000016,507.0000000000019,,1983.0000000000168
2015.10.12,554.9999999999944,178.99999999999582,196.00000000000728,541.9999999999981,-143.9999999999997,-252.00000000000955,635.9999999999957,496.99999999999187,,2208.9999999999736
