date,EURUSD,USDCAD,EURCHF,CADCHF,AUDCHF,EURJPY,EURNZD,NZDJPY,AUDCAD,NZDCAD,empty,sum
2020.02.10,-24.999999999986144,-14.000000000002899,-8.000000000008,-29.000000000001247,-64.0000000000085,-33.999999999991815,-102.99999999998644,-76.99999999999818,-96.00000000000719,-67.00000000000594,,-516.9999999999964
2020.02.10,-19.999999999997797,-2.0000000000131024,-8.000000000008,-74.00000000000739,-109.99999999999899,-60.000000000002274,-106.00000000000608,-102.99999999999443,-129.00000000000134,-67.00000000000594,,-679.0000000000354
2020.02.10,-32.999999999994145,21.00000000000435,-59.000000000009045,-103.00000000000864,-197.99999999999818,-90.99999999999397,-109.00000000000354,-128.0000000000001,-213.00000000000762,-117.99999999999588,,-1031.0000000000068
2020.02.10,-81.9999999999821,39.999999999995595,-31.000000000003247,-78.00000000000028,-143.9999999999997,-43.99999999999693,22.999999999995246,-66.99999999999307,-186.00000000000838,-85.00000000000173,,-653.9999999999945
2020.02.10,-87.99999999999919,28.000000000005798,-15.00000000000945,-43.00000000000415,-124.00000000000189,-64.99999999999773,178.00000000001148,-21.000000000000796,-185.00000000000182,-33.000000000005244,,-368.00000000000296
2020.02.10,-104.99999999999955,2.999999999997449,-21.00000000000435,-64.0000000000085,-151.00000000000114,-102.00000000000387,46.0000000000127,-66.0000000000025,-253.99999999999866,-111.00000000000554,,-825.000000000014
2020.02.10,-107.99999999999699,15.999999999993797,-26.0000000000149,-50.0000000000056,-173.00000000000094,-108.99999999999466,66.99999999999484,-69.00000000000261,-246.00000000000176,-94.00000000000519,,-792.0000000000341
2020.02.10,-99.99999999998899,8.000000000008,-86.0000000000083,-116.00000000000499,-302.0000000000023,-194.99999999999318,-8.999999999992347,-170.0000000000017,-343.00000000000443,-117.99999999999588,,-1430.999999999984
2020.02.10,-105.99999999998388,-73.00000000001194,-137.9999999999937,-181.00000000000892,-431.99999999999903,-266.9999999999959,-207.99999999998596,-283.9999999999918,-486.00000000000864,-190.00000000000128,,-2364.9999999999814
2020.02.10,-115.99999999998278,-106.00000000000608,-175.99999999999838,-227.00000000001052,-486.00000000000864,-281.9999999999965,-158.99999999999804,-277.000000000001,-472.00000000000574,-122.99999999999534,,-2424.000000000003
2020.02.10,-115.99999999998278,-120.99999999999334,-148.00000000001478,-203.00000000000873,-470.00000000000375,-277.9999999999916,-134.99999999999625,-271.0000000000008,-464.00000000000887,-121.00000000000443,,-2327.0000000000055
2020.02.10,-104.99999999999955,-80.99999999999774,-100.0000000000112,-159.00000000000912,-412.00000000000125,-218.00000000000352,18.0000000000069,-168.99999999999693,-441.0000000000025,-41.9999999999976,,-1709.0000000000123
2020.02.10,-108.99999999998133,-79.00000000000685,-75.00000000000284,-137.00000000000932,-380.00000000000256,-188.0000000000024,22.0000000000109,-146.99999999999136,-422.00000000000017,-48.000000000003595,,-1562.9999999999898
