,names,week,needed_features,accuracy
0,GBPUSD,10,"['EURGBP', 'USDJPY', 'GBPCHF']",80.0
1,USDJPY,50,['AUDCAD'],100.0
2,USDCAD,50,"['CHFJPY', 'EURGBP', 'EURCAD', 'EURCHF']",80.0
3,GBPCHF,50,"['CHFJPY', 'GBPJPY', 'NZDCHF']",80.0
4,CHFJPY,50,"['GBPCAD', 'AUDNZD', 'CHFJPY', 'GBPJPY', 'EURJPY', 'USDCHF']",100.0
5,AUDCHF,10,['USDJPY'],80.0
6,GBPJPY,10,['EURAUD'],80.0
7,EURJPY,10,['AUDCAD'],80.0
8,EURCAD,20,['USDCHF'],80.0
9,EURAUD,15,['AUDCAD'],80.0
10,CADJPY,50,"['EURCAD', 'AUDCAD', 'EURCHF', 'EURJPY', 'EURUSD', 'CHFJPY']",80.0
11,AUDJPY,50,['NZDCAD'],80.0
12,NZDCAD,50,"['AUDCHF', 'EURAUD', 'GBPCAD', 'EURCAD', 'CADCHF', 'USDJPY', 'NZDCAD']",80.0
13,AUDNZD,15,['NZDCHF'],80.0
