date,USDCHF,GBPUSD,EURUSD,USDCAD,AUDUSD,NZDUSD,EURCHF,CHFJPY,CADCHF,NZDCHF,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURCAD,EURAUD,EURNZD,AUDJPY,NZDJPY,AUDCAD,NZDCAD,AUDNZD,empty,sum
2020.05.25,-0.999999999995449,-60.99999999999994,-34.99999999998504,0.0,-66.99999999999484,-84.0000000000063,-178.99999999999582,-140.00000000000057,-52.99999999999194,-77.00000000000485,-177.00000000002092,-149.9999999999835,-102.00000000000209,-137.99999999999102,-150.99999999999002,-102.00000000000209,-82.99999999998863,-79.00000000000773,-67.99999999999784,-95.00000000000064,-134.0000000000008,-15.00000000000945,,-1990.9999999999695
2020.05.25,33.000000000005244,-87.99999999999919,-33.99999999997849,12.000000000012001,-29.999999999996696,-70.0000000000034,-68.00000000000139,-125.0,-27.999999999994696,-70.0000000000034,-183.00000000002115,-124.99999999999733,-28.000000000005798,-161.00000000000136,-149.9999999999835,58.000000000002494,-92.00000000000318,-40.00000000000625,-50.99999999998772,-58.99999999999794,-43.999999999999595,38.0000000000047,,-1304.9999999999563
2020.05.25,50.0000000000056,-41.000000000002146,-58.99999999998684,29.999999999996696,-57.99999999999139,-65.99999999999939,-114.99999999999844,-197.9999999999933,-64.99999999999284,-102.99999999999754,-189.00000000002137,-63.99999999999739,21.00000000000435,-260.9999999999957,-200.99999999998454,46.0000000000127,-55.99999999998939,-128.0000000000001,-102.99999999999443,-90.99999999999665,-75.00000000000284,31.000000000003247,,-1694.9999999999218
2020.05.25,72.0000000000054,8.000000000008,-98.99999999998244,-76.99999999999375,-126.99999999999933,-129.9999999999968,-136.00000000000279,-225.9999999999991,-110.99999999999443,-146.00000000000168,-340.0000000000034,9.000000000014552,-45.99999999999049,-320.99999999999795,-195.9999999999962,-51.000000000001044,-39.999999999995595,-209.00000000000318,-173.99999999999238,-121.99999999999989,-87.99999999999919,97.9999999999981,,-2451.9999999999236
2020.05.25,48.000000000003595,87.99999999999919,-117.99999999999588,-63.99999999999739,-134.99999999999625,-102.99999999999754,-134.99999999999625,-277.000000000001,-90.99999999999665,-121.99999999999989,-376.0000000000048,64.0000000000196,2.999999999997449,-378.0000000000001,-168.99999999999693,-65.99999999998829,22.999999999995246,-240.0000000000091,-143.00000000000068,-143.00000000000423,-68.00000000000139,114.99999999999844,,-2286.9999999999723
2020.05.25,36.0000000000027,87.99999999999919,-127.99999999999478,-75.00000000000284,-185.99999999999727,-167.00000000000603,-146.00000000000168,-335.9999999999985,-84.99999999999064,-161.00000000000003,-413.0000000000109,49.00000000001015,-147.99999999999258,-435.0000000000023,-188.9999999999947,-148.99999999999915,-75.99999999998718,-315.00000000001194,-243.99999999999977,-190.99999999999673,-139.00000000000023,127.99999999999478,,-3281.9999999999804
2020.05.25,40.00000000000669,55.000000000005045,-132.99999999998312,-78.00000000000028,-187.9999999999993,-170.00000000000347,-147.00000000000824,-320.99999999999795,-109.99999999999899,-185.00000000000182,-435.0000000000023,29.00000000001235,-139.00000000000023,-423.0000000000018,-190.99999999998562,-202.9999999999976,-120.99999999999334,-329.9999999999983,-259.9999999999909,-193.99999999999417,-151.9999999999966,126.0000000000039,,-3529.999999999926
2020.05.25,39.00000000000014,120.99999999999334,-125.99999999998168,-110.99999999999443,-201.99999999999108,-187.9999999999993,-131.00000000001444,-314.9999999999977,-103.99999999999298,-185.00000000000182,-438.0000000000166,56.000000000011596,-104.99999999999955,-400.99999999999625,-149.9999999999835,-197.99999999998707,-150.99999999999002,-315.00000000001194,-256.9999999999908,-200.00000000000017,-151.9999999999966,127.99999999999478,,-3384.999999999946
2020.05.25,53.00000000000304,73.99999999999629,-69.9999999999923,-34.000000000000696,-106.99999999999044,-85.99999999999719,-96.00000000000719,-236.99999999999477,-65.99999999999939,-92.00000000000318,-326.0000000000218,137.00000000000932,104.99999999999955,-277.000000000001,-234.00000000000088,-34.99999999998504,59.99999999999339,-184.0000000000117,-122.99999999999045,-117.00000000000044,-68.00000000000139,70.99999999999883,,-1651.9999999999975
2020.05.25,87.00000000000374,32.999999999994145,-33.99999999997849,12.000000000012001,-74.99999999999174,-92.00000000000318,-99.00000000000463,-168.99999999999693,-84.99999999999064,-131.00000000000333,-252.00000000000955,121.99999999999989,110.99999999999443,-218.9999999999941,-217.99999999998488,-85.99999999998609,-102.00000000000209,-130.00000000000966,-106.99999999999932,-107.99999999999699,-85.99999999999719,76.99999999999375,,-1550.999999999951
