,names,week,needed_features,accuracy
0,GBPUSD,10,"['USDJPY', 'CHFJPY']",100.0
1,USDCAD,50,"['EURGBP', 'EURCAD', 'EURAUD', 'EURCHF']",100.0
2,NZDUSD,15,"['AUDNZD', 'GBPCAD', 'EURGBP']",80.0
3,GBPCHF,10,"['CHFJPY', 'USDJPY']",80.0
4,CHFJPY,20,"['AUDNZD', 'GBPCAD', 'GBPAUD']",80.0
5,AUDCHF,10,['CADJPY'],80.0
6,EURGBP,15,"['GBPJPY', 'NZDUSD', 'EURUSD', 'CHFJPY']",80.0
7,GBPCAD,10,['AUDCHF'],100.0
8,GBPAUD,15,"['AUDJPY', 'USDJPY']",100.0
9,EURAUD,10,['EURGBP'],80.0
10,CADJPY,10,['EURCAD'],100.0
11,NZDCAD,10,"['USDJPY', 'CHFJPY', 'AUDCHF', 'GBPAUD']",80.0
12,AUDNZD,10,"['USDJPY', 'CHFJPY']",80.0
