date,USDCHF,EURUSD,USDJPY,USDCAD,AUDUSD,GBPCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURNZD,AUDJPY,NZDJPY,AUDCAD,NZDCAD,empty,sum
2016.04.11,-15.00000000000945,-48.000000000003595,-75.9999999999934,-99.00000000000463,49.99999999999449,-203.99999999998198,-53.00000000000304,-169.9999999999875,-190.99999999998562,-154.99999999999403,12.000000000012001,98.99999999998954,-108.99999999999466,45.000000000006146,-131.99999999999878,,-1045.9999999999545
2016.04.11,-87.99999999999919,-80.99999999999774,-114.99999999999488,-116.00000000000499,60.00000000000449,-320.9999999999935,-90.99999999999665,-251.99999999998113,-236.99999999999832,-181.00000000000892,-37.99999999998249,128.99999999999068,-109.99999999999943,85.00000000000173,-146.99999999999713,,-1502.9999999999575
2016.04.11,-133.00000000000534,-82.00000000000429,-179.00000000000205,-43.999999999999595,149.99999999999457,-406.9999999999796,-109.99999999999899,-385.9999999999957,-204.99999999998852,-83.9999999999952,-175.99999999999838,270.9999999999866,-225.00000000000853,131.00000000000333,-201.00000000000674,,-1679.9999999999984
2016.04.11,-121.99999999999989,-93.00000000000975,-289.99999999999204,-18.999999999991246,219.00000000000253,-380.9999999999869,-117.00000000000044,-543.9999999999827,-162.99999999997982,96.99999999999153,-200.99999999998454,423.9999999999924,-313.0000000000024,204.00000000000418,-199.00000000000472,,-1497.9999999999438
2016.04.11,-114.99999999999844,-87.00000000001484,-307.00000000000216,-34.000000000000696,270.99999999999903,-388.9999999999949,-114.99999999999844,-590.9999999999798,-211.99999999998997,184.99999999999073,-211.99999999998997,493.9999999999998,-338.99999999999864,282.0000000000045,-229.00000000000142,,-1397.9999999999752
2016.04.11,-114.99999999999844,-90.00000000001229,-325.9999999999934,12.999999999996348,231.99999999999886,-403.99999999998215,-137.9999999999937,-637.9999999999768,-174.99999999999181,65.99999999998829,-224.000000000002,468.9999999999941,-343.0000000000035,194.0000000000053,-180.0000000000024,,-1658.9999999999736
2016.04.11,-104.99999999999955,-104.00000000001519,-45.000000000001705,-45.000000000006146,143.00000000000423,-358.9999999999982,-124.99999999999733,-203.00000000000296,-205.99999999999508,-110.00000000001009,-71.99999999998319,160.99999999998715,-85.00000000000796,121.99999999999989,-146.00000000000168,,-1179.0000000000275
2016.04.11,-138.00000000000477,-182.99999999999983,-51.00000000000193,-211.00000000000563,14.999999999998348,-322.9999999999844,-131.99999999999878,-120.9999999999809,-335.9999999999808,-316.0000000000052,-17.999999999984695,26.999999999986812,-15.000000000000568,79.00000000000685,-163.00000000000205,,-1885.9999999999575
2016.04.11,-34.000000000000696,-73.00000000001194,164.00000000000148,-272.00000000000557,-43.00000000000415,-86.99999999999264,0.0,286.00000000000136,-298.9999999999826,-304.9999999999997,309.0000000000037,-193.00000000001205,210.99999999999852,51.000000000001044,-87.99999999999919,,-373.0000000000026
2016.04.11,-37.00000000000925,-25.00000000000835,182.00000000000216,-194.0000000000053,68.99999999999685,-188.9999999999947,-20.999999999993246,199.00000000001228,-319.999999999987,-185.99999999999727,207.00000000000162,-89.00000000001285,146.99999999999136,141.00000000000225,-156.00000000000057,,-272.00000000000205
