date,GBPUSD,EURUSD,USDJPY,AUDUSD,NZDUSD,AUDCHF,NZDCHF,GBPJPY,GBPAUD,EURJPY,EURAUD,CADJPY,AUDCAD,NZDCAD,empty,sum
2018.12.17,-554.9999999999944,-38.0000000000047,-45.99999999999227,0.0,-0.999999999995449,0.0,0.0,-9.000000000014552,-35.999999999991594,-91.00000000000819,-131.00000000001444,-43.00000000000637,-97.00000000000264,-48.000000000003595,,-1095.0000000000282
2018.12.17,-220.99999999998232,51.000000000001044,-64.99999999999773,26.000000000003798,-2.999999999997449,173.00000000000094,121.00000000000443,127.9999999999859,141.99999999999767,-99.00000000001796,-133.00000000000534,-55.999999999997385,-138.00000000000477,19.00000000000235,,-55.00000000000681
2018.12.17,-208.99999999999253,49.99999999999449,-9.000000000000341,18.0000000000069,-51.000000000001044,285.00000000000193,218.00000000000708,155.9999999999775,123.00000000000644,-52.99999999999727,-168.0000000000126,-49.99999999999716,-118.00000000000699,-38.0000000000047,,153.99999999998172
2018.12.17,-170.00000000000347,42.0000000000087,-69.99999999999318,19.00000000000235,-95.00000000000064,261.0000000000001,170.99999999999892,102.99999999998022,117.99999999999588,-106.00000000002296,-172.0000000000166,-61.99999999999761,-110.00000000001009,-93.99999999999409,,-165.0000000000525
2018.12.17,-263.99999999999756,45.99999999999049,-93.99999999999409,28.000000000005798,-48.000000000003595,309.99999999999915,219.99999999999798,97.99999999998477,151.00000000001222,-156.0000000000059,-162.00000000001768,-137.00000000000045,-111.00000000000554,-60.00000000000449,,-179.0000000000389
2018.12.17,-248.99999999998812,28.999999999990145,-105.99999999999454,-24.999999999997247,-80.99999999999774,271.9999999999945,200.00000000000017,93.99999999999409,73.99999999999629,-159.00000000002024,-250.00000000001688,-148.00000000001035,-89.00000000000574,-124.99999999999733,,-563.000000000053
2018.12.17,-224.000000000002,45.99999999999049,-106.99999999999932,-34.000000000000696,-94.00000000000519,270.0000000000036,180.0000000000024,65.99999999997408,42.0000000000087,-175.00000000001137,-273.0000000000121,-136.0000000000099,-34.000000000000696,-132.99999999999423,,-606.0000000000562
2018.12.17,-253.99999999999866,62.000000000006494,-161.99999999999193,2.000000000002,-109.00000000000354,278.9999999999959,173.00000000000094,71.9999999999743,147.00000000000824,-252.00000000000955,-215.00000000000963,-177.99999999999727,-60.99999999999994,-154.99999999999403,,-651.0000000000166
2018.12.17,-231.0000000000034,56.99999999999594,-161.00000000000136,11.00000000000545,-90.0000000000012,285.9999999999974,190.00000000000128,21.99999999999136,165.9999999999995,-252.00000000000955,-196.0000000000184,-158.00000000000125,-72.0000000000054,-99.00000000000463,,-527.0000000000543
2018.12.17,-208.99999999999253,80.99999999999774,-161.00000000000136,24.000000000001798,-102.00000000000209,315.9999999999941,182.00000000000438,3.9999999999906777,151.00000000001222,-265.0000000000148,-202.00000000001327,-189.99999999999773,-80.00000000000229,-146.99999999999713,,-598.0000000000202
2018.12.17,-175.99999999999838,104.99999999999955,-158.99999999999181,60.00000000000449,-58.000000000002494,317.9999999999961,208.00000000000819,-8.000000000009777,217.0000000000005,-284.00000000002024,-155.00000000001623,-189.00000000000716,-112.000000000001,-110.99999999999443,,-344.00000000003274
2018.12.17,-197.00000000000273,99.99999999998899,-156.99999999999648,53.00000000000304,-26.000000000003798,319.99999999999807,233.00000000000543,0.0,229.00000000001253,-281.0000000000059,-149.00000000002134,-177.99999999999727,-110.00000000001009,-43.00000000000415,,-206.00000000003376
