names,week,needed_features,accuracy,next_week_prediction_score,next_week_prediction
GBPUSD,10,"['EURCAD', 'CADCHF', 'AUDJPY']",100.0,-0.86,B
EURUSD,10,['AUDCAD'],100.0,0.4076825396825399,S
USDJPY,15,"['GBPCAD', 'EURCHF']",80.0,0.1962619047619048,S
USDCAD,10,['GBPJPY'],80.0,-0.491761904761905,B
AUDUSD,50,"['GBPCAD', 'AUDNZD', 'EURGBP', 'GBPCHF', 'GBPUSD', 'GBPJPY']",100.0,-0.08595238095238095,B
NZDUSD,10,['AUDCAD'],80.0,0.4513333333333336,S
EURCHF,15,['AUDCAD'],80.0,0.6741810411810414,S
CHFJPY,10,"['EURNZD', 'CHFJPY']",100.0,-0.78,B
CADCHF,10,"['AUDCHF', 'EURCHF', 'AUDJPY']",80.0,0.04566666666666664,S
AUDCHF,15,['USDCHF'],80.0,0.7283492063492065,S
EURGBP,10,"['EURGBP', 'GBPCAD']",100.0,-0.6798571428571428,B
GBPJPY,15,"['CADCHF', 'USDCAD', 'EURCAD', 'EURAUD']",80.0,-1.0,B
GBPCAD,10,"['CADJPY', 'EURCAD', 'CADCHF']",80.0,-0.52934126984127,B
GBPAUD,10,"['GBPCHF', 'EURUSD']",100.0,-0.06,B
EURJPY,15,['EURNZD'],100.0,-0.5170808080808083,B
EURCAD,10,"['AUDCHF', 'EURCHF', 'AUDJPY']",80.0,0.08133333333333333,S
EURAUD,10,"['AUDNZD', 'GBPCHF']",80.0,-0.46,B
EURNZD,20,['EURUSD'],100.0,0.6529342781401607,S
CADJPY,10,['EURNZD'],80.0,-0.9840000000000001,B
AUDJPY,30,['GBPCHF'],80.0,0.42237178722550267,S
NZDJPY,15,['EURJPY'],100.0,0.33180158730158743,S
AUDCAD,15,['AUDCHF'],80.0,-1.0,B
NZDCAD,15,"['CADCHF', 'EURCAD']",80.0,-1.0,B
AUDNZD,10,['USDCHF'],100.0,0.4728571428571431,S
