date,USDCHF,GBPUSD,EURUSD,USDJPY,USDCAD,AUDUSD,GBPCHF,EURCHF,CADCHF,AUDCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURCAD,EURAUD,CADJPY,AUDJPY,NZDJPY,AUDCAD,NZDCAD,AUDNZD,empty,sum
2019.06.10,0.0,-100.99999999999554,-12.999999999996348,-34.000000000006025,-8.999999999992347,-31.000000000003247,-173.99999999998528,-52.99999999999194,-24.999999999997247,-31.999999999998696,0.0,-134.9999999999909,-171.00000000001003,-245.0000000000063,-40.00000000000625,-88.99999999998354,0.0,-52.00000000000671,-59.99999999998806,-21.000000000000796,-78.99999999999574,0.0,-53.999999999998494,,-1417.9999999999536
2019.06.10,25.999999999992696,-102.99999999998644,-12.999999999996348,-10.000000000005116,21.00000000000435,-43.999999999999595,-190.99999999998562,-71.99999999998319,-75.9999999999983,-14.999999999998348,103.99999999999298,-134.9999999999909,-295.0000000000008,-341.99999999999784,19.99999999999602,-234.00000000000088,72.0000000000054,-87.0000000000033,-39.99999999999204,-42.00000000000159,-95.00000000000064,-24.999999999997247,-116.99999999998934,,-1692.9999999999359
2019.06.10,5.999999999994898,-116.00000000000499,-11.999999999989797,-45.000000000001705,139.00000000000023,-63.00000000000195,-166.99999999998383,-90.99999999999665,-86.99999999999264,7.0000000000014495,205.99999999999508,-131.00000000000023,-380.00000000000256,-361.9999999999957,22.999999999996135,-303.9999999999932,187.99999999998818,-115.0000000000091,-60.99999999999284,-12.000000000000455,-104.99999999999955,88.00000000001029,-80.99999999999774,,-1474.9999999999766
2019.06.10,80.00000000000229,-32.999999999994145,-59.99999999999339,-12.000000000000455,224.000000000002,-104.00000000000409,-169.99999999998127,-93.99999999999409,-68.00000000000139,19.999999999997797,219.00000000000253,-122.99999999999045,-347.9999999999928,-374.999999999992,-61.00000000000705,-297.9999999999983,242.99999999999324,-154.00000000001057,-119.99999999999034,-30.000000000001137,-92.00000000000318,119.00000000000244,-45.99999999999049,,-1282.999999999945
2019.06.10,130.99999999999224,16.000000000016,-85.00000000000173,-29.000000000010573,268.0000000000016,-116.00000000000499,-213.99999999998087,-131.99999999999878,-49.99999999999449,-4.999999999999449,207.00000000000162,28.999999999996362,-330.0000000000081,-391.000000000008,-88.00000000000807,-263.99999999999756,234.00000000000088,-172.00000000001125,-143.99999999999125,-43.99999999999693,-73.99999999999629,143.00000000000423,-8.999999999992347,,-1118.9999999999875
2019.06.10,146.00000000000168,-7.0000000000014495,-56.99999999999594,-55.999999999997385,273.0000000000121,-109.00000000000354,-218.99999999999142,-147.99999999999258,-39.999999999995595,-14.000000000002899,222.99999999999542,24.00000000000091,-364.00000000000875,-381.99999999999346,-84.00000000000318,-302.0000000000023,249.99999999999466,-188.0000000000024,-146.0000000000008,-45.99999999999227,-92.00000000000318,152.00000000000767,-2.999999999997449,,-1188.999999999972
2019.06.10,102.00000000000209,-35.999999999991594,-46.999999999997044,-103.00000000000864,219.00000000001364,-108.00000000000809,-196.99999999998053,-130.99999999999224,-62.99999999999084,-12.000000000000899,227.99999999999488,-33.999999999991815,-363.0000000000022,-408.00000000000836,-123.00000000000466,-310.9999999999946,241.99999999998667,-227.00000000000387,-192.99999999999784,-48.00000000000182,-95.00000000000064,162.0000000000066,1.0000000000065512,,-1544.9999999999652
2019.06.10,112.000000000001,-14.000000000002899,-66.99999999999484,-105.00000000000398,266.0000000000107,-177.00000000000495,-188.9999999999947,-128.99999999997914,-73.00000000000084,31.000000000003247,227.99999999999488,9.000000000014552,-402.9999999999978,-536.0000000000032,-124.00000000000944,-346.0000000000019,312.9999999999855,-228.9999999999992,-214.9999999999892,-51.00000000000193,-66.99999999999484,178.00000000000037,48.000000000003595,,-1539.9999999999643
2019.06.10,157.99999999999147,38.0000000000047,-118.99999999998023,-21.000000000000796,287.9999999999994,-224.9999999999974,-238.99999999998923,-154.99999999999403,-58.99999999999794,31.999999999998696,220.99999999999343,12.000000000000455,-384.00000000000654,-564.000000000009,-99.00000000000375,-309.99999999998806,361.9999999999957,-201.99999999999818,-225.9999999999991,-64.99999999999773,-16.0000000000049,75.00000000000284,56.99999999999594,,-1440.9999999999845
2019.06.10,170.99999999999892,53.00000000001415,-119.99999999998678,-14.000000000010004,287.9999999999994,-246.00000000000176,-207.99999999998596,-145.99999999997948,-25.999999999992696,63.99999999999739,232.99999999999432,32.00000000001069,-292.00000000000335,-601.9999999999915,-93.00000000000352,-248.00000000000378,438.00000000000506,-161.00000000000136,-251.99999999999534,-105.99999999999454,61.999999999995396,57.00000000000705,56.000000000011596,,-1059.9999999999163
2019.06.10,190.00000000000128,55.000000000005045,-104.99999999999955,-13.00000000000523,285.00000000000193,-235.00000000000742,-225.99999999999287,-139.00000000000023,-14.999999999998348,72.0000000000054,224.000000000002,32.00000000001069,-313.00000000000773,-634.0000000000013,-103.00000000000864,-241.00000000000233,446.9999999999974,-168.00000000000637,-259.00000000000034,-120.00000000000455,65.99999999999939,37.00000000000925,19.999999999997797,,-1143.0000000000048
2019.06.10,185.99999999999727,5.000000000010552,-118.99999999998023,6.000000000000227,294.0000000000165,-261.0000000000001,-266.999999999995,-129.99999999998568,-30.999999999992145,92.99999999999864,180.99999999999784,-32.99999999998704,-418.9999999999916,-771.9999999999949,-91.00000000000819,-258.99999999998704,483.99999999999557,-178.00000000001148,-263.9999999999958,-131.9999999999908,73.00000000000084,31.000000000003247,38.0000000000047,,-1564.9999999998947
2019.06.10,175.99999999999838,-25.999999999992696,-97.9999999999981,-5.000000000009663,317.0000000000117,-308.00000000000824,-256.99999999999613,-110.99999999999443,-53.999999999998494,112.000000000001,163.00000000000205,-42.999999999977945,-455.99999999998977,-897.9999999999987,-88.00000000000807,-285.99999999998624,504.9999999999999,-189.00000000000716,-336.9999999999891,-206.99999999999363,73.00000000000084,-39.00000000000014,26.0000000000149,,-2029.9999999999195
2019.06.10,186.99999999999272,34.000000000000696,-122.99999999998423,-7.000000000005002,313.00000000000773,-316.0000000000052,-235.99999999999176,-134.99999999999625,-40.99999999999105,157.00000000000713,195.9999999999962,-16.999999999995907,-380.00000000000256,-893.0000000000105,-106.00000000000875,-261.0000000000001,635.9999999999922,-180.00000000000682,-349.9999999999943,-213.99999999999864,161.00000000000003,-69.9999999999923,26.0000000000149,,-1618.9999999999711
