date,GBPCHF,GBPJPY,GBPCAD,AUDNZD,empty,sum
2017.01.16,-597.0000000000031,-682.9999999999927,-700.999999999996,-221.00000000000452,,-2201.9999999999964
2017.01.16,-686.9999999999932,-716.0000000000082,-757.999999999992,-138.0000000000159,,-2299.0000000000095
2017.01.16,-713.0000000000081,-764.9999999999864,-767.0000000000066,-56.000000000011596,,-2301.0000000000127
2017.01.16,-567.0000000000064,-387.00000000000045,-557.0000000000075,-139.00000000000023,,-1650.0000000000146
2017.01.16,-651.0000000000016,-567.9999999999836,-727.0000000000109,-272.00000000000557,,-2218.000000000002
2017.01.16,-653.999999999999,-734.0000000000089,-774.000000000008,-242.00000000000887,,-2404.0000000000246
2017.01.16,-676.9999999999943,-670.9999999999923,-751.9999999999972,-225.00000000000853,,-2324.9999999999923
2017.01.16,-631.9999999999882,-566.0000000000025,-697.9999999999986,-325.0000000000197,,-2221.000000000009
2017.01.16,-547.999999999993,-435.0000000000023,-635.9999999999922,-322.00000000000006,,-1940.9999999999873
2017.01.16,-476.0000000000098,-85.99999999998431,-503.99999999999335,-266.0000000000107,,-1331.9999999999982
2017.01.16,-483.99999999999557,-127.9999999999859,-522.0000000000002,-312.00000000000114,,-1445.999999999983
2017.01.16,-597.0000000000031,-197.00000000000273,-615.9999999999943,-346.0000000000019,,-1756.0000000000018
2017.01.16,-653.999999999999,-370.00000000000455,-724.9999999999978,-311.0000000000168,,-2060.000000000018
2017.01.16,-696.999999999992,-420.99999999999227,-754.0000000000102,-277.00000000001614,,-2149.000000000011
2017.01.16,-625.9999999999932,-252.9999999999859,-682.9999999999892,-276.00000000000955,,-1837.9999999999777
2017.01.16,-608.9999999999928,-219.99999999999886,-687.9999999999998,-302.0000000000023,,-1818.9999999999936
2017.01.16,-522.0000000000002,-75.9999999999934,-601.9999999999915,-299.00000000000483,,-1498.9999999999898
2017.01.16,-554.00000000001,45.000000000015916,-615.00000000001,-262.00000000000665,,-1386.0000000000107
2017.01.16,-486.00000000000864,133.00000000000978,-553.0000000000035,-297.9999999999983,,-1204.0000000000007
2017.01.16,-628.0000000000064,-277.9999999999916,-710.999999999995,-275.000000000003,,-1891.999999999996
2017.01.16,-757.0000000000076,-381.0000000000002,-893.0000000000105,-297.9999999999983,,-2329.0000000000164
2017.01.16,-1171.9999999999952,-606.9999999999993,-1269.000000000009,-304.9999999999997,,-3353.000000000003
2017.01.16,-1147.9999999999934,-665.9999999999968,-1099.0000000000055,-339.0000000000004,,-3251.999999999996
2017.01.16,-1363.0000000000032,-1004.9999999999955,-1341.9999999999986,-289.0000000000059,,-3999.000000000003
2017.01.16,-1123.0000000000073,-695.999999999998,-1105.0000000000005,-289.0000000000059,,-3213.0000000000114
2017.01.16,-1072.0000000000064,-645.9999999999866,-1042.9999999999939,-361.0000000000113,,-3121.999999999998
2017.01.16,-1086.9999999999936,-706.9999999999936,-1150.0000000000066,-341.00000000001353,,-3285.0000000000073
2017.01.16,-1183.0000000000007,-667.0000000000016,-1032.0000000000107,-340.00000000000693,,-3222.0000000000196
2017.01.16,-1014.9999999999882,-445.99999999999795,-937.9999999999944,-319.0000000000026,,-2717.999999999983
2017.01.16,-1027.0000000000002,-618.9999999999998,-1085.0000000000027,-283.000000000011,,-3014.0000000000136
2017.01.16,-994.000000000006,-597.9999999999848,-1120.0000000000098,-216.00000000001617,,-2928.0000000000173
2017.01.16,-939.0000000000009,-493.9999999999998,-1183.0000000000007,-213.00000000001873,,-2829.00000000002
2017.01.16,-1038.0000000000057,-590.0000000000034,-1320.9999999999943,-172.0000000000166,,-3121.00000000002
2017.01.16,-1103.0000000000095,-634.9999999999909,-1408.0000000000093,-136.00000000000279,,-3282.0000000000127
2017.01.16,-1007.0000000000024,-540.9999999999968,-1306.9999999999916,-161.00000000001114,,-3016.000000000002
2017.01.16,-1007.0000000000024,-579.0000000000077,-1235.9999999999927,-251.00000000000122,,-3073.000000000004
2017.01.16,-974.0000000000082,-562.9999999999882,-1245.0000000000073,-310.0000000000103,,-3092.000000000014
2017.01.16,-981.999999999994,-436.00000000000705,-1351.9999999999977,-256.00000000001177,,-3026.0000000000105
2017.01.16,-885.0000000000025,-501.0000000000048,-1273.9999999999973,-231.0000000000034,,-2891.000000000008
2017.01.16,-1011.9999999999907,-612.9999999999995,-1333.9999999999907,-236.99999999999832,,-3195.999999999979
2017.01.16,-1007.0000000000024,-615.0000000000091,-1293.000000000011,-225.00000000000853,,-3140.000000000031
2017.01.16,-1007.0000000000024,-609.9999999999852,-1252.999999999993,-224.000000000002,,-3093.9999999999827
2017.01.16,-970.0000000000042,-563.999999999993,-1272.0000000000064,-234.00000000000088,,-3040.0000000000045
2017.01.16,-896.000000000008,-448.0000000000075,-1262.9999999999918,-185.00000000001293,,-2792.00000000002
2017.01.16,-798.9999999999942,-365.99999999998545,-1323.0000000000075,-243.00000000001543,,-2731.0000000000027
2017.01.16,-791.9999999999927,-372.99999999999045,-1333.0000000000064,-241.00000000000233,,-2738.999999999992
2017.01.16,-838.9999999999898,-435.0000000000023,-1360.99999999999,-204.00000000000418,,-2838.999999999986
2017.01.16,-804.0000000000047,-412.00000000000614,-1241.0000000000032,-194.0000000000053,,-2651.0000000000196
2017.01.17,-914.9999999999991,-468.9999999999941,-1322.000000000001,-200.00000000000017,,-2905.999999999994
2017.01.17,-675.0000000000034,-342.9999999999893,-1241.0000000000032,-152.0000000000188,,-2411.0000000000146
2017.01.17,-687.9999999999998,-278.99999999999636,-1113.9999999999927,-185.00000000001293,,-2266.000000000002
2017.01.17,-726.9999999999887,-343.9999999999941,-1171.000000000011,-186.0000000000195,,-2428.000000000013
2017.01.17,-818.0000000000076,-299.99999999998295,-1314.9999999999995,-164.00000000000858,,-2596.9999999999986
2017.01.17,-797.0000000000033,-343.9999999999941,-1370.0000000000045,-133.00000000000534,,-2644.0000000000073
2017.01.17,-845.0000000000068,-531.0000000000059,-1445.0000000000073,-158.0000000000137,,-2979.0000000000337
2017.01.17,-824.0000000000025,-525.0000000000057,-1340.9999999999923,-178.00000000001148,,-2868.000000000012
2017.01.17,-790.0000000000018,-430.9999999999832,-1377.000000000006,-114.99999999999844,,-2712.9999999999895
2017.01.17,-890.9999999999974,-478.999999999985,-1438.000000000006,-90.00000000001229,,-2898.0000000000005
2017.01.17,-880.9999999999984,-519.9999999999818,-1410.0000000000002,-106.00000000000608,,-2916.9999999999864
2017.01.17,-920.9999999999941,-585.9999999999843,-1363.0000000000032,-135.00000000001845,,-3005.0000000000005
2017.01.17,-889.0000000000065,-555.0000000000068,-1324.9999999999984,-119.00000000000244,,-2888.000000000014
2017.01.17,-815.0000000000101,-453.00000000000296,-1241.0000000000032,-85.00000000000173,,-2594.000000000018
2017.01.17,-835.000000000008,-394.00000000000546,-1249.9999999999955,-137.00000000000932,,-2616.000000000018
2017.01.17,-994.9999999999903,-409.9999999999966,-1496.9999999999927,-189.00000000001694,,-3090.9999999999964
2017.01.17,-1110.9999999999952,-514.9999999999864,-1600.0000000000014,-168.0000000000126,,-3393.9999999999955
2017.01.17,-1014.9999999999882,-280.00000000000114,-1466.9999999999961,-140.0000000000068,,-2901.9999999999923
2017.01.17,-1063.9999999999982,-409.9999999999966,-1391.9999999999932,-158.0000000000137,,-3024.000000000002
2017.01.17,-1185.9999999999982,-483.0000000000041,-1468.0000000000027,-119.00000000000244,,-3256.0000000000073
2017.01.17,-1038.99999999999,-219.99999999999886,-1252.0000000000086,-83.00000000001084,,-2594.000000000008
2017.01.17,-1018.0000000000077,-230.99999999999454,-1140.0000000000077,-84.0000000000174,,-2473.0000000000273
2017.01.17,-1238.99999999999,-533.9999999999918,-1689.0000000000073,-28.000000000005798,,-3489.999999999995
2017.01.17,-1363.0000000000032,-683.9999999999975,-1689.0000000000073,-21.00000000000435,,-3757.0000000000127
2017.01.17,-1116.9999999999902,-466.0000000000082,-1306.000000000007,-16.000000000016,,-2905.0000000000214
2017.01.17,-1059.9999999999943,-475.9999999999991,-1238.0000000000057,4.999999999988347,,-2769.000000000011
2017.01.17,-1075.0000000000036,-439.9999999999977,-1448.0000000000048,48.99999999998794,,-2914.0000000000186
2017.01.17,-1478.0000000000016,-1376.0000000000048,-2143.9999999999905,-3.0000000000196536,,-5001.000000000016
2017.01.17,-1900.999999999997,-1882.000000000005,-2671.0000000000014,22.999999999995246,,-6431.000000000008
2017.01.17,-2577.9999999999914,-2915.999999999997,-3639.9999999999986,20.999999999982144,,-9113.000000000005
2017.01.17,-2533.999999999992,-2727.0000000000036,-3638.0000000000077,0.9999999999843467,,-8898.00000000002
2017.01.17,-2570.99999999999,-2753.999999999991,-3669.9999999999955,46.999999999997044,,-8947.99999999998
2017.01.17,-2899.0000000000073,-2840.0000000000036,-4103.999999999996,146.99999999998602,,-9696.000000000022
2017.01.17,-2913.9999999999945,-2901.999999999987,-4119.000000000006,188.9999999999947,,-9745.999999999995
2017.01.17,-2974.9999999999945,-2991.99999999999,-4211.999999999994,173.99999999998528,,-10004.999999999993
2017.01.17,-3193.0000000000014,-2889.9999999999864,-4452.999999999995,146.99999999998602,,-10388.999999999996
2017.01.17,-3214.99999999999,-2890.999999999991,-4340.9999999999945,131.99999999999878,,-10314.999999999976
2017.01.17,-3241.9999999999895,-2798.000000000002,-4357.000000000011,61.99999999998429,,-10335.000000000018
2017.01.17,-3204.000000000007,-2810.0000000000023,-4333.000000000009,103.99999999999298,,-10243.000000000025
2017.01.17,-3098.000000000001,-2780.000000000001,-4255.999999999993,163.9999999999864,,-9970.000000000007
2017.01.17,-3242.999999999996,-2944.999999999993,-4329.0000000000055,161.99999999999548,,-10354.999999999998
2017.01.17,-3228.0000000000086,-2921.9999999999973,-4303.999999999996,153.9999999999875,,-10300.000000000015
2017.01.17,-3353.9999999999905,-2967.999999999989,-4471.000000000003,139.00000000000023,,-10653.999999999982
2017.01.17,-3289.9999999999927,-2671.9999999999973,-4457.0,123.99999999999079,,-10294.999999999998
2017.01.17,-3283.999999999998,-2691.0000000000027,-4404.999999999992,126.99999999998823,,-10253.000000000004
2017.01.17,-3295.0000000000036,-2736.9999999999945,-4442.999999999997,123.99999999999079,,-10351.000000000005
2017.01.17,-3292.9999999999905,-2686.9999999999836,-4435.999999999995,120.99999999999334,,-10294.999999999978
2017.01.17,-3337.9999999999964,-2727.0000000000036,-4468.0000000000055,118.99999999998023,,-10414.000000000025
2017.01.18,-3326.999999999991,-2747.9999999999905,-4435.999999999995,210.99999999998343,,-10299.999999999995
2017.01.18,-3251.000000000004,-2734.000000000009,-4350.000000000009,261.9999999999845,,-10073.000000000038
2017.01.18,-3272.000000000008,-2763.0000000000055,-4398.999999999997,221.99999999998886,,-10212.000000000022
