date,GBPCHF,GBPJPY,GBPCAD,AUDNZD,empty,sum
2017.01.16,-526.9999999999886,-454.9999999999841,-584.0000000000067,-70.99999999999883,,-1636.9999999999784
2017.01.16,-651.0000000000016,-668.0000000000064,-682.9999999999892,24.000000000001798,,-1977.9999999999955
2017.01.16,-459.99999999999375,-235.99999999999,-462.9999999999912,51.99999999998539,,-1106.9999999999895
2017.01.16,-526.0000000000042,-343.9999999999941,-540.0000000000072,-87.99999999999919,,-1498.0000000000045
2017.01.16,-543.0000000000045,-441.0000000000025,-621.0000000000049,-125.00000000001954,,-1730.0000000000314
2017.01.16,-628.0000000000064,-611.9999999999948,-727.0000000000109,-191.00000000000784,,-2158.00000000002
2017.01.16,-594.0000000000057,-506.0000000000002,-659.999999999994,-201.00000000000674,,-1961.0000000000068
2017.01.16,-547.0000000000086,-425.9999999999877,-634.0000000000013,-253.99999999999866,,-1860.9999999999964
2017.01.16,-407.0000000000018,-18.000000000000682,-455.99999999998977,-196.0000000000184,,-1077.0000000000107
2017.01.16,-455.0000000000054,-62.99999999998818,-466.9999999999952,-219.00000000001364,,-1204.0000000000025
2017.01.16,-445.0000000000065,-93.99999999999409,-507.9999999999973,-277.00000000001614,,-1324.000000000014
2017.01.16,-574.0000000000078,-149.0000000000009,-594.0000000000057,-306.00000000000625,,-1623.000000000021
2017.01.16,-646.9999999999976,-359.9999999999852,-709.0000000000041,-266.0000000000107,,-1981.9999999999975
2017.01.16,-575.9999999999987,-162.9999999999825,-628.0000000000064,-226.00000000001506,,-1593.0000000000027
2017.01.16,-499.000000000005,-19.99999999998181,-543.999999999989,-222.00000000001108,,-1284.999999999987
2017.01.16,-499.9999999999893,-13.00000000000523,-547.999999999993,-299.00000000000483,,-1359.9999999999923
2017.01.16,-506.9999999999908,80.0000000000125,-513.0000000000078,-233.00000000001654,,-1173.0000000000027
2017.01.16,-479.0000000000072,200.00000000001705,-524.9999999999977,-155.00000000001623,,-959.0000000000042
2017.01.16,-251.00000000000122,424.0000000000066,-87.99999999999919,-246.00000000001288,,-161.0000000000067
2017.01.16,-580.0000000000027,-224.99999999999432,-672.0000000000059,-272.00000000000557,,-1749.0000000000086
2017.01.16,-595.9999999999966,90.00000000000341,-523.0000000000068,-263.00000000001324,,-1292.0000000000132
2017.01.16,-930.999999999993,-353.00000000000864,-788.0000000000109,-291.00000000001904,,-2363.000000000032
2017.01.16,-1144.999999999996,-661.0000000000014,-1080.9999999999986,-262.00000000000665,,-3149.0000000000027
2017.01.16,-1096.9999999999925,-674.999999999983,-1069.0000000000089,-236.00000000001398,,-3076.9999999999986
2017.01.16,-1032.999999999995,-534.9999999999966,-916.99999999999,-270.99999999999903,,-2755.999999999981
2017.01.16,-1065.0000000000048,-633.9999999999861,-1025.0000000000093,-329.00000000000153,,-3053.0000000000014
2017.01.16,-1019.9999999999986,-570.999999999998,-997.0000000000034,-329.00000000000153,,-2917.0000000000014
2017.01.16,-1012.9999999999973,-444.9999999999932,-923.9999999999915,-312.00000000000114,,-2693.9999999999827
2017.01.16,-892.0000000000039,-388.00000000000523,-829.9999999999974,-238.0000000000049,,-2348.0000000000114
2017.01.16,-966.0000000000002,-537.0000000000061,-1028.0000000000066,-180.0000000000024,,-2711.000000000015
2017.01.16,-825.0000000000091,-400.0000000000057,-966.0000000000002,-202.00000000001327,,-2393.000000000028
2017.01.16,-936.0000000000035,-489.0000000000043,-1175.9999999999993,-169.00000000001913,,-2770.0000000000264
2017.01.16,-998.00000000001,-518.0000000000007,-1228.9999999999911,-108.00000000001918,,-2853.000000000021
