date,GBPUSD,EURUSD,NZDUSD,empty,sum
2015.06.29,-46.999999999997044,-31.999999999987594,-162.0000000000066,,-240.99999999999125
2015.06.29,-12.999999999996348,133.00000000000534,-53.00000000000304,,67.00000000000595
2015.06.29,-173.99999999998528,-106.99999999999044,-148.0000000000037,,-428.9999999999794
2015.06.29,-325.99999999998187,-21.999999999988695,-57.00000000000705,,-404.9999999999776
2015.06.29,-209.9999999999991,21.00000000000435,-67.00000000000594,,-256.0000000000007
2015.06.29,-97.9999999999981,137.00000000000932,-107.00000000000153,,-67.99999999999031
2015.06.29,-202.9999999999976,-273.9999999999965,-140.0000000000068,,-617.0000000000009
2015.06.29,-153.9999999999875,-269.9999999999925,-206.00000000000617,,-629.9999999999861
2015.06.29,-214.99999999998744,-201.99999999999108,-196.00000000000728,,-612.9999999999858
2015.06.29,-220.99999999998232,-55.000000000005045,-156.00000000000057,,-431.99999999998795
2015.06.29,-212.99999999999653,-114.99999999999844,-457.0000000000074,,-785.0000000000024
2015.06.29,-183.99999999998417,-83.9999999999952,-365.99999999999966,,-633.9999999999791
2015.06.29,-215.99999999999397,-131.99999999999878,-363.99999999999767,,-711.9999999999905
2015.06.29,-258.99999999998704,-167.9999999999904,-229.99999999999687,,-656.9999999999743
2015.06.29,-213.99999999998087,-112.99999999998533,-202.0000000000022,,-528.9999999999684
2015.06.29,-241.99999999998667,-107.99999999999699,-221.99999999999997,,-571.9999999999836
2015.06.29,-233.99999999997868,-224.000000000002,-165.9999999999995,,-623.9999999999802
2015.06.29,-250.99999999997902,-150.99999999999002,-151.9999999999966,,-553.9999999999657
2015.06.29,-469.99999999999267,-805.9999999999956,-302.9999999999977,,-1578.999999999986
2015.06.29,-423.99999999997993,-1069.9999999999932,-301.0000000000068,,-1794.99999999998
2015.06.29,-373.99999999998545,-914.9999999999991,-236.99999999999832,,-1525.999999999983
2015.06.29,-323.99999999999096,-905.0000000000002,-123.00000000000644,,-1351.9999999999975
2015.06.29,-67.9999999999792,-836.9999999999989,-106.00000000000608,,-1010.9999999999841
2015.06.29,-130.99999999999224,-1195.999999999997,-141.99999999999767,,-1468.999999999987
2015.06.29,-207.99999999998596,-1136.0000000000036,-170.99999999999892,,-1514.9999999999884
2015.06.29,-193.99999999998306,-983.9999999999849,-145.00000000000622,,-1322.999999999974
2015.06.29,-122.99999999998423,-1085.999999999987,-84.0000000000063,,-1292.9999999999777
2015.06.29,-78.99999999998464,-1358.999999999999,-143.9999999999997,,-1581.9999999999834
2015.06.29,-96.99999999999153,-1210.0,-162.0000000000066,,-1468.9999999999982
2015.06.29,-219.99999999999798,-1210.0,-211.00000000000563,,-1641.0000000000036
2015.06.29,-287.9999999999994,-1343.9999999999895,-300.0000000000003,,-1931.999999999989
2015.06.29,-475.99999999998755,-1310.9999999999955,-253.99999999999866,,-2040.9999999999816
2015.06.29,-546.9999999999864,-1290.9999999999977,-197.00000000000273,,-2034.9999999999868
2015.06.29,-406.9999999999796,-1281.9999999999832,-111.00000000000554,,-1799.9999999999682
2015.06.29,-381.99999999999346,-1584.999999999992,-62.000000000006494,,-2028.999999999992
2015.06.29,-556.9999999999853,-1671.9999999999845,-28.000000000005798,,-2256.999999999976
2015.06.29,-835.9999999999923,-1892.0000000000048,-190.00000000000128,,-2917.9999999999986
2015.06.29,-917.9999999999966,-1994.9999999999911,-333.0000000000055,,-3245.999999999993
2015.06.29,-858.9999999999875,-1865.99999999999,-351.0000000000013,,-3075.9999999999786
2015.06.29,-851.9999999999861,-2147.9999999999945,-383.0,,-3382.999999999981
2015.06.29,-485.99999999998647,-2146.0000000000036,-411.0000000000058,,-3042.999999999996
2015.06.29,-650.9999999999794,-2729.0000000000036,-612.0000000000015,,-3991.9999999999845
2015.06.29,-573.9999999999857,-2591.999999999994,-528.0000000000063,,-3693.9999999999864
2015.06.29,-417.99999999998505,-2580.0000000000045,-597.0000000000031,,-3594.9999999999927
2015.06.29,-417.99999999998505,-2469.9999999999945,-585.9999999999976,,-3473.9999999999773
2015.06.29,-361.9999999999957,-2411.999999999992,-448.9999999999994,,-3222.999999999987
2015.06.29,-416.9999999999785,-2481.0,-438.00000000000506,,-3335.9999999999836
2015.06.29,-431.99999999998795,-2448.99999999999,-351.99999999999676,,-3232.999999999975
2015.06.30,-413.99999999998107,-2350.999999999992,-309.0000000000037,,-3073.9999999999764
2015.06.30,-393.99999999998323,-2320.9999999999955,-270.99999999999903,,-2985.9999999999777
