date,EURCHF,CHFJPY,empty,sum
2017.06.26,14.000000000002899,-203.00000000000296,,-189.00000000000006
2017.06.26,75.99999999998718,-168.99999999999693,,-93.00000000000975
2017.06.26,127.99999999999478,-188.99999999999295,,-60.99999999999817
2017.06.26,126.0000000000039,-170.99999999999227,,-44.999999999988376
2017.06.26,132.99999999998312,-185.99999999999284,,-53.00000000000972
2017.06.26,139.00000000000023,-207.9999999999984,,-68.99999999999818
2017.06.26,139.00000000000023,-277.000000000001,,-138.0000000000008
2017.06.26,133.99999999998968,-239.00000000000432,,-105.00000000001464
2017.06.26,154.99999999999403,-192.99999999999784,,-38.00000000000381
2017.06.26,141.99999999999767,-203.99999999999352,,-61.99999999999585
2017.06.26,137.9999999999937,-225.9999999999991,,-88.0000000000054
2017.06.26,129.99999999998568,-228.9999999999992,,-99.00000000001353
2017.06.26,144.99999999999514,-221.00000000000364,,-76.0000000000085
2017.06.26,166.99999999998383,-203.00000000000296,,-36.00000000001913
2017.06.26,164.99999999999292,-194.99999999999318,,-30.000000000000256
2017.06.26,156.99999999998494,-189.99999999999773,,-33.00000000001279
2017.06.26,161.99999999999548,-185.99999999999284,,-23.999999999997357
2017.06.26,137.9999999999937,-200.9999999999934,,-62.999999999999716
2017.06.26,129.99999999998568,-236.99999999999477,,-107.0000000000091
2017.06.26,182.99999999999983,-242.999999999995,,-59.99999999999517
2017.06.26,181.9999999999933,-420.99999999999227,,-238.99999999999898
2017.06.26,154.99999999999403,-424.99999999999716,,-270.0000000000031
2017.06.26,195.9999999999962,-462.99999999999386,,-266.99999999999767
2017.06.26,224.99999999998633,-393.0000000000007,,-168.00000000001435
2017.06.26,278.9999999999848,-353.9999999999992,,-75.00000000001438
2017.06.26,387.99999999998835,-177.99999999999727,,209.99999999999108
2017.06.26,384.9999999999909,-112.99999999999955,,271.99999999999136
2017.06.26,400.00000000000034,-153.99999999999636,,246.00000000000398
2017.06.26,390.9999999999858,-170.99999999999227,,219.99999999999352
2017.06.26,407.99999999998613,-171.99999999999704,,235.9999999999891
2017.06.26,391.9999999999924,-259.9999999999909,,132.00000000000148
2017.06.26,405.9999999999952,-256.9999999999908,,149.00000000000443
2017.06.26,365.99999999999966,-310.0000000000023,,55.999999999997385
2017.06.26,334.9999999999964,-346.00000000000364,,-11.00000000000722
2017.06.26,336.9999999999873,-378.0000000000001,,-41.00000000001279
2017.06.26,312.9999999999855,-266.9999999999959,,45.9999999999896
2017.06.26,313.99999999999204,-299.99999999999716,,13.999999999994884
2017.06.26,271.99999999998334,-289.0000000000015,,-17.000000000018133
2017.06.26,280.9999999999979,-302.99999999999727,,-21.999999999999375
2017.06.26,316.99999999998954,-370.00000000000455,,-53.00000000001501
2017.06.26,303.9999999999932,-379.99999999999545,,-76.00000000000227
2017.06.26,289.9999999999903,-427.99999999999727,,-138.000000000007
2017.06.26,289.9999999999903,-487.99999999999955,,-198.00000000000927
2017.06.26,324.9999999999975,-492.00000000000443,,-167.00000000000693
2017.06.26,319.0000000000026,-498.9999999999952,,-179.9999999999926
2017.06.26,309.99999999998806,-478.9999999999992,,-169.00000000001114
2017.06.26,323.99999999999096,-504.99999999999545,,-181.0000000000045
2017.06.26,309.99999999998806,-472.999999999999,,-163.0000000000109
2017.06.27,275.9999999999874,-456.00000000000307,,-180.0000000000157
2017.06.27,259.9999999999936,-468.0000000000035,,-208.00000000000995
2017.06.27,322.00000000000006,-472.999999999999,,-150.99999999999892
2017.06.27,323.99999999999096,-460.9999999999985,,-137.00000000000756
2017.06.27,324.9999999999975,-486.99999999999477,,-161.99999999999727
2017.06.27,344.99999999999534,-468.0000000000035,,-123.00000000000819
2017.06.27,320.9999999999935,-579.9999999999983,,-259.0000000000048
2017.06.27,324.9999999999975,-602.0000000000039,,-277.00000000000637
2017.06.27,332.9999999999833,-626.9999999999953,,-294.00000000001205
2017.06.27,341.99999999999784,-549.9999999999972,,-207.99999999999932
2017.06.27,353.0000000000033,-513.9999999999958,,-160.9999999999925
2017.06.27,343.00000000000443,-557.0000000000022,,-213.99999999999773
2017.06.27,354.9999999999942,-566.0000000000025,,-211.0000000000083
2017.06.27,356.00000000000074,-558.9999999999975,,-202.99999999999676
2017.06.27,353.0000000000033,-540.9999999999968,,-187.99999999999352
2017.06.27,357.99999999999164,-489.9999999999949,,-132.00000000000324
2017.06.27,368.9999999999971,-471.00000000000364,,-102.00000000000654
2017.06.27,428.9999999999905,-442.99999999999784,,-14.000000000007333
2017.06.27,475.0000000000032,-286.00000000000136,,189.00000000000182
2017.06.27,458.00000000000284,-237.99999999999955,,220.0000000000033
2017.06.27,500.9999999999959,-230.99999999999454,,270.00000000000136
2017.06.27,417.99999999998505,-195.99999999999795,,221.9999999999871
2017.06.27,422.9999999999956,-631.0000000000002,,-208.0000000000046
2017.06.27,380.9999999999869,-825.9999999999934,,-445.0000000000065
2017.06.27,333.9999999999899,-921.999999999997,,-588.0000000000072
2017.06.27,376.9999999999829,-1028.9999999999964,,-652.0000000000134
2017.06.27,414.00000000000324,-1004.0000000000049,,-590.0000000000016
2017.06.27,377.9999999999894,-1149.000000000001,,-771.0000000000115
2017.06.27,390.9999999999858,-1221.999999999994,,-831.0000000000083
2017.06.27,425.99999999999307,-1340.999999999994,,-915.000000000001
2017.06.27,441.0000000000025,-1483.9999999999945,,-1042.999999999992
2017.06.27,499.000000000005,-1356.9999999999993,,-857.9999999999943
2017.06.27,499.000000000005,-1396.9999999999914,,-897.9999999999864
2017.06.27,422.9999999999956,-1545.0000000000018,,-1122.0000000000061
2017.06.27,452.99999999999227,-1521.000000000001,,-1068.0000000000086
2017.06.27,505.99999999998425,-1724.0000000000036,,-1218.0000000000193
2017.06.27,472.9999999999901,-1915.9999999999968,,-1443.0000000000068
2017.06.27,536.9999999999875,-2322.999999999993,,-1786.0000000000057
2017.06.27,465.0000000000043,-2230.9999999999945,,-1765.9999999999902
2017.06.27,475.0000000000032,-2191.0000000000027,,-1715.9999999999995
2017.06.27,520.9999999999936,-2379.9999999999955,,-1859.0000000000018
2017.06.27,480.99999999999807,-2231.999999999999,,-1751.000000000001
2017.06.27,468.9999999999861,-2219.999999999999,,-1751.000000000013
2017.06.27,493.99999999999443,-2283.0000000000014,,-1789.0000000000068
2017.06.27,461.0000000000003,-2304.9999999999927,,-1843.9999999999925
2017.06.27,496.99999999999187,-2331.9999999999936,,-1835.0000000000018
2017.06.27,493.99999999999443,-2447.0000000000027,,-1953.0000000000082
2017.06.27,492.9999999999879,-2408.999999999992,,-1916.0000000000039
