date,USDCHF,EURUSD,USDJPY,CHFJPY,CADCHF,AUDCHF,GBPJPY,GBPCAD,GBPAUD,EURCAD,EURAUD,EURNZD,CADJPY,AUDJPY,AUDCAD,empty,sum
2018.06.11,-36.999999999998145,-4.999999999988347,-81.99999999999363,-114.00000000000432,-143.9999999999997,-51.000000000001044,-117.00000000001864,-278.00000000000045,0.0,-200.99999999998454,-19.999999999997797,-66.00000000001049,-200.00000000000284,-91.00000000000819,-121.99999999999989,,-1528.0000000000082
2018.06.11,-40.00000000000669,-10.999999999983245,-84.99999999999375,-111.0000000000042,-145.00000000000622,-148.99999999999915,-118.00000000002342,-279.00000000000705,-214.99999999998744,-184.99999999999073,-211.00000000000563,-188.00000000001037,-206.00000000000307,-195.0000000000074,-119.99999999999788,,-2258.000000000026
2018.06.11,-65.99999999999939,-19.999999999997797,-186.9999999999976,-234.99999999999943,-223.00000000000654,-127.99999999999478,-303.0000000000257,-354.0000000000099,-73.99999999999629,-334.9999999999964,-69.9999999999923,0.9999999999843467,-344.99999999999886,-192.99999999999784,-139.99999999999568,,-2672.0000000000236
2018.06.11,-79.00000000000685,-21.999999999988695,-188.0000000000024,-240.99999999999966,-246.00000000000176,-124.99999999999733,-301.00000000001614,-326.0000000000041,5.000000000010552,-317.9999999999961,-35.00000000000725,23.999999999979593,-359.99999999999943,-222.0000000000084,-141.99999999999767,,-2576.000000000036
2018.06.11,-81.00000000000884,-18.999999999991246,-131.00000000000023,-188.0000000000024,-219.99999999999798,-143.9999999999997,-243.99999999999977,-290.00000000001245,-9.999999999998899,-276.9999999999939,-56.99999999999594,35.999999999991594,-317.99999999999784,-183.00000000000693,-110.99999999999443,,-2237.0000000000086
2018.06.11,-81.00000000000884,8.000000000008,-179.9999999999926,-224.00000000000375,-231.0000000000034,-193.99999999999417,-327.0000000000266,-252.0000000000078,-90.99999999999665,-180.99999999998673,-38.99999999998904,36.999999999998145,-358.0000000000041,-289.0000000000015,-44.99999999999504,,-2447.0000000000036
2018.06.11,-126.0000000000039,67.00000000001705,-243.99999999999977,-236.0000000000042,-292.00000000000335,-221.99999999999997,-384.00000000001455,-317.0000000000117,-130.99999999999224,-218.99999999999142,-55.000000000005045,-59.000000000009045,-418.00000000000637,-323.99999999999807,-87.99999999999919,,-3048.000000000022
2018.06.11,-112.000000000001,87.99999999999919,-192.99999999999784,-243.0000000000092,-268.0000000000016,-222.99999999999542,-393.0000000000007,-344.00000000001097,-160.99999999998892,-163.9999999999864,-14.000000000002899,-51.000000000001044,-400.0000000000057,-335.00000000000796,-81.9999999999932,,-2895.000000000004
2018.06.11,-52.000000000007596,225.00000000000853,-207.9999999999984,-274.0000000000009,-275.99999999999847,-256.99999999999613,-435.0000000000023,-324.9999999999975,-212.99999999999653,-89.99999999999008,1.999999999990898,5.999999999994898,-447.00000000000273,-394.00000000000546,-25.999999999992696,,-2763.9999999999945
2018.06.11,-21.00000000000435,231.0000000000034,-173.99999999999238,-286.00000000000136,-258.0000000000027,-241.99999999999778,-424.0000000000066,-297.9999999999983,-185.99999999999727,-36.999999999998145,32.0000000000098,-6.000000000017103,-436.9999999999976,-385.0000000000051,-5.999999999994898,,-2497.0000000000005
2018.06.11,-75.00000000000284,253.99999999999866,-182.99999999999272,-281.9999999999965,-268.99999999999704,-252.99999999999213,-428.0000000000257,-306.00000000000625,-190.00000000000128,-39.999999999995595,35.00000000000725,-7.0000000000014495,-427.99999999999727,-391.9999999999959,-12.999999999996348,,-2576.999999999995
2018.06.11,-190.00000000000128,204.00000000000418,-448.99999999999807,-376.0000000000048,-362.00000000000676,-329.999999999997,-664.0000000000157,-371.00000000001023,-241.99999999998667,-103.99999999999298,7.0000000000014495,5.999999999994898,-612.9999999999995,-543.9999999999969,-21.999999999999797,,-4050.00000000001
2018.06.11,-159.00000000000912,198.00000000000927,-450.00000000000284,-415.9999999999968,-328.0000000000061,-309.99999999999915,-685.0000000000023,-348.00000000001495,-238.0000000000049,-71.99999999998319,5.999999999994898,-21.00000000000435,-594.0000000000083,-549.9999999999972,-22.999999999995246,,-3990.000000000021
2018.06.11,-150.00000000000568,182.0000000000155,-466.99999999999875,-451.9999999999982,-311.00000000000574,-287.9999999999994,-681.0000000000116,-350.00000000000585,-246.99999999999721,-90.99999999999665,-18.999999999991246,-9.000000000014552,-609.9999999999994,-569.0000000000026,2.999999999997449,,-4059.0000000000146
2018.06.11,-136.99999999999824,171.00000000001003,-480.000000000004,-486.0000000000042,-304.00000000000426,-273.000000000001,-686.000000000007,-370.00000000000364,-228.99999999999034,-110.99999999999443,-1.999999999990898,7.0000000000014495,-611.0000000000042,-540.9999999999968,-25.999999999992696,,-4077.999999999981
2018.06.11,-109.99999999999899,188.00000000001037,-542.0000000000016,-546.0000000000065,-297.9999999999983,-275.99999999999847,-802.0000000000209,-347.0000000000084,-228.99999999999034,-86.99999999999264,22.999999999995246,12.999999999996348,-676.0000000000019,-617.0000000000044,-19.999999999997797,,-4326.000000000018
2018.06.11,-129.00000000000134,212.00000000001216,-510.9999999999957,-504.0000000000049,-291.0000000000079,-265.99999999999955,-754.0000000000191,-344.00000000001097,-219.99999999999798,-20.999999999982144,66.99999999999484,42.999999999993044,-629.0000000000049,-581.0000000000031,-14.999999999998348,,-3943.000000000026
2018.06.11,-161.00000000000003,189.00000000001694,-504.0000000000049,-495.00000000000455,-273.000000000001,-273.9999999999965,-711.0000000000127,-287.9999999999994,-226.99999999999943,17.000000000000348,59.000000000009045,9.999999999998899,-594.9999999999989,-564.9999999999977,23.00000000000635,,-3794.999999999983
2018.06.11,-296.0000000000074,154.0000000000097,-739.0000000000043,-655.0000000000011,-417.0000000000007,-417.0000000000007,-1200.000000000017,-270.99999999999903,-212.99999999999653,22.0000000000109,62.99999999999084,0.9999999999843467,-804.000000000002,-790.9999999999968,19.00000000000235,,-5544.000000000026
2018.06.11,-292.00000000000335,284.00000000001756,-748.9999999999952,-644.999999999996,-414.00000000000324,-423.9999999999911,-1303.0000000000257,-113.00000000000753,-119.99999999998678,143.00000000000423,99.00000000000463,208.99999999999253,-811.9999999999976,-810.0000000000023,21.999999999999797,,-4924.999999999991
2018.06.11,-229.00000000000142,314.99999999999864,-777.9999999999916,-817.9999999999978,-353.0000000000033,-391.9999999999924,-1335.000000000008,-175.99999999999838,-139.00000000000023,121.99999999999989,113.00000000000753,247.99999999998158,-843.0000000000035,-846.0000000000036,46.00000000000159,,-5065.00000000001
2018.06.11,-230.000000000008,276.00000000000955,-733.9999999999947,-784.9999999999966,-361.0000000000002,-390.99999999999693,-1328.000000000003,-141.00000000001333,-190.99999999998562,68.00000000000139,17.000000000000348,145.99999999997948,-814.9999999999977,-814.9999999999977,56.0000000000005,,-5228.000000000003
2018.06.11,-228.00000000000597,279.00000000000705,-709.9999999999937,-756.0000000000002,-375.0000000000031,-427.99999999999505,-1200.000000000017,-161.99999999999548,-236.99999999999832,62.000000000006494,-1.0000000000065512,151.9999999999966,-778.0000000000058,-808.0000000000069,104.99999999999955,,-5085.000000000018
2018.06.11,-196.00000000000728,106.00000000000608,-680.9999999999974,-695.999999999998,-307.99999999999716,-334.9999999999964,-1143.0000000000007,-856.9999999999967,-844.9999999999847,-99.99999999998899,-121.99999999999989,95.999999999985,-743.9999999999998,-766.9999999999959,35.00000000000725,,-6556.999999999965
2018.06.11,-209.9999999999991,70.0000000000145,-697.9999999999933,-632.000000000005,-307.0000000000017,-335.99999999999187,-563.0000000000166,-835.000000000008,-885.0000000000025,-88.99999999998354,-120.99999999999334,118.99999999998023,-721.0000000000036,-730.000000000004,48.99999999999905,,-5889.000000000009
2018.06.11,-248.99999999999923,48.000000000003595,-739.9999999999949,-629.0000000000049,-297.00000000000284,-356.00000000000074,-587.0000000000175,-750.0000000000063,-834.9999999999858,-52.99999999999194,-137.00000000000932,159.99999999998238,-727.0000000000039,-769.999999999996,75.00000000000284,,-5847.000000000024
2018.06.11,-274.00000000000756,131.99999999999878,-740.9999999999997,-658.0000000000013,-272.00000000000557,-375.9999999999986,-590.0000000000034,-748.0000000000153,-956.0000000000013,68.00000000000139,-58.000000000002494,207.99999999998596,-706.0000000000031,-775.0000000000057,135.00000000000733,,-5611.000000000049
2018.06.11,-314.99999999999864,52.000000000007596,-756.0000000000002,-590.0000000000034,-285.00000000000193,-386.9999999999929,-468.00000000001774,-812.999999999997,-1011.9999999999907,60.99999999999994,-89.99999999999008,99.99999999998899,-658.0000000000013,-745.0000000000045,148.99999999999915,,-5757.000000000002
2018.06.11,-309.0000000000037,53.00000000001415,-751.0000000000048,-590.0000000000034,-245.0000000000063,-385.99999999999744,-476.0000000000275,-702.0000000000026,-983.0000000000006,139.00000000000023,-114.99999999999844,87.99999999999919,-602.0000000000039,-756.0000000000002,182.00000000000438,,-5453.000000000031
2018.06.11,-263.0000000000021,73.00000000001194,-727.0000000000039,-590.0000000000034,-192.99999999999872,-373.99999999999653,-479.0000000000134,-601.000000000007,-970.9999999999885,228.00000000000597,-126.0000000000039,52.99999999999194,-579.9999999999983,-756.0000000000002,272.00000000000557,,-5034.000000000001
2018.06.11,-253.0000000000032,19.00000000001345,-673.9999999999924,-587.0000000000033,-84.0000000000063,-371.99999999999454,-542.0000000000016,-188.9999999999947,-780.000000000003,389.0000000000171,-129.00000000000134,-9.999999999998899,-421.0000000000065,-731.0000000000088,368.9999999999971,,-3994.9999999999864
2018.06.11,-168.00000000000148,124.99999999999733,-680.9999999999974,-694.0000000000026,-62.000000000006494,-349.99999999999477,-617.0000000000186,-222.99999999999542,-861.999999999985,365.0000000000153,-181.9999999999933,-217.0000000000005,-483.0000000000041,-772.9999999999961,390.99999999999693,,-4430.999999999985
2018.06.11,-126.0000000000039,205.00000000001074,-626.9999999999953,-677.9999999999973,-39.00000000000014,-327.99999999999494,-616.0000000000139,-262.00000000000665,-836.9999999999989,428.00000000000614,-93.99999999999409,-115.00000000002063,-462.0000000000033,-765.0000000000006,348.9999999999993,,-3967.0000000000136
2018.06.11,-108.00000000000809,238.0000000000049,-629.0000000000049,-665.0000000000063,-92.99999999999864,-348.9999999999993,-647.0000000000198,-226.99999999999943,-777.0000000000055,456.00000000001194,-41.000000000002146,-154.0000000000097,-516.0000000000053,-769.999999999996,357.00000000000733,,-3925.000000000031
2018.06.11,-112.000000000001,265.0000000000041,-688.0000000000024,-775.0000000000057,-165.00000000000404,-371.99999999999454,-823.0000000000075,-398.00000000000944,-797.9999999999876,273.9999999999965,-96.99999999999153,-8.000000000008,-691.0000000000025,-871.0000000000093,287.0000000000039,,-4972.000000000019
2018.06.11,-53.999999999998494,278.00000000000045,-676.0000000000019,-778.0000000000058,-136.00000000000279,-335.99999999999187,-818.000000000012,-310.0000000000103,-726.9999999999887,309.0000000000037,-79.00000000000685,65.99999999998829,-667.0000000000016,-859.9999999999994,273.9999999999965,,-4514.000000000031
2018.06.11,-64.0000000000085,304.9999999999997,-632.000000000005,-731.9999999999993,-126.99999999999933,-317.9999999999961,-714.0000000000271,-414.00000000000324,-814.0000000000036,331.0000000000146,1.999999999990898,234.00000000000088,-597.999999999999,-777.000000000001,265.0000000000041,,-4053.0000000000323
2018.06.11,-114.00000000000298,250.00000000001688,-667.0000000000016,-704.0000000000077,-162.0000000000066,-343.9999999999999,-664.0000000000157,-443.99999999999994,-822.9999999999959,251.00000000000122,-73.99999999999629,156.00000000000057,-631.0000000000002,-805.0000000000068,265.0000000000041,,-4510.000000000011
2018.06.11,-119.00000000000244,160.00000000000458,-753.0000000000001,-753.0000000000001,-170.00000000000347,-340.9999999999913,-721.0000000000036,-507.9999999999973,-821.9999999999894,153.00000000000313,-188.9999999999947,119.99999999998678,-656.9999999999965,-847.999999999999,241.99999999999778,,-5205.999999999985
2018.06.11,-175.00000000000293,72.0000000000054,-759.0000000000003,-754.0000000000049,-191.00000000000784,-354.9999999999942,-750.0,-426.00000000001523,-798.9999999999942,97.9999999999981,-207.00000000000162,115.99999999998278,-661.0000000000014,-852.0000000000039,236.00000000000287,,-5407.000000000037
2018.06.11,-160.00000000000458,104.99999999999955,-823.9999999999981,-804.000000000002,-207.00000000000162,-341.99999999999784,-766.0000000000196,-591.0000000000082,-800.9999999999851,1.0000000000065512,-188.9999999999947,185.99999999999727,-769.0000000000055,-865.9999999999997,185.99999999999727,,-5841.000000000016
2018.06.11,-165.9999999999995,87.99999999999919,-819.9999999999932,-810.0000000000023,-246.00000000000176,-330.9999999999924,-757.000000000005,-699.0000000000052,-844.0000000000003,-43.999999999999595,-192.99999999999872,188.9999999999947,-771.0000000000008,-862.9999999999995,141.00000000000225,,-6126.000000000004
2018.06.11,-160.00000000000458,103.00000000000864,-805.9999999999974,-802.0000000000067,-236.99999999999832,-317.0000000000006,-731.000000000023,-682.0000000000048,-794.9999999999901,-17.999999999984695,-124.99999999999733,314.99999999999864,-766.0000000000053,-816.0000000000025,119.00000000000244,,-5718.0000000000055
2018.06.11,-112.000000000001,106.00000000000608,-743.9999999999998,-769.0000000000055,-143.9999999999997,-242.99999999999324,-704.0000000000077,-463.0000000000134,-624.0000000000023,85.00000000000173,-73.99999999999629,348.9999999999993,-668.0000000000064,-749.0000000000094,151.00000000000114,,-4603.000000000026
