date,USDCHF,EURUSD,USDCAD,GBPCHF,CHFJPY,GBPJPY,GBPAUD,EURJPY,EURCAD,CADJPY,AUDCAD,NZDCAD,empty,sum
2016.02.01,-230.9999999999812,-45.000000000006146,-41.000000000002146,0.0,-274.0000000000009,-174.0000000000066,-248.99999999998812,0.0,-126.0000000000039,-120.99999999999511,-82.99999999999974,-14.999999999998348,,-1358.9999999999823
2016.02.01,-306.9999999999906,-52.000000000007596,72.99999999998974,153.00000000000313,-242.999999999995,-126.00000000000477,-593.0000000000213,-64.00000000002137,-175.00000000001404,-111.99999999999477,-56.0000000000005,-199.00000000000472,,-1701.0000000000618
2016.02.01,-387.99999999998835,8.000000000008,17.000000000000348,328.00000000001717,-223.99999999998954,-98.00000000001319,-587.9999999999885,-79.00000000000773,-148.00000000001478,-33.00000000000125,53.999999999998494,-177.00000000000495,,-1327.9999999999843
2016.02.01,-393.99999999998323,46.999999999997044,42.999999999993044,448.000000000004,-289.0000000000015,-96.00000000000364,-658.0000000000031,4.9999999999954525,-56.000000000011596,-51.9999999999925,63.99999999999739,-180.0000000000024,,-1118.000000000011
2016.02.01,-354.9999999999942,-45.000000000006146,18.999999999991246,265.0000000000041,-253.99999999999068,-152.9999999999916,-943.000000000005,-47.000000000025466,-202.00000000001327,-140.99999999999113,102.99999999999754,-202.9999999999976,,-1956.0000000000223
2016.02.01,-200.00000000000017,-92.00000000000318,114.99999999999844,148.99999999999915,-200.9999999999934,-348.99999999998954,-1200.0000000000011,-18.000000000000682,-470.00000000001484,-314.9999999999977,140.0000000000068,-256.0000000000007,,-2696.9999999999973
2016.02.01,-176.99999999998272,-140.0000000000068,176.99999999998272,225.00000000000853,-223.99999999998954,-247.0000000000141,-1129.0000000000243,-155.00000000000114,-560.0000000000049,-322.00000000000273,60.99999999999994,-156.00000000000057,,-2647.0000000000355
2016.02.01,-156.00000000000057,-154.99999999999403,228.99999999999034,228.00000000000597,-134.9999999999909,-109.00000000000887,-1278.9999999999857,-134.00000000001455,-584.0000000000067,-317.99999999999784,-24.000000000001798,-43.00000000000415,,-2480.0000000000086
2016.02.01,-156.00000000000057,-188.00000000001037,290.9999999999968,243.00000000001543,-102.99999999999443,-24.00000000000091,-1041.9999999999873,-127.00000000000955,-695.0000000000011,-298.0000000000018,-51.000000000001044,-44.99999999999504,,-2194.9999999999895
2016.02.01,-168.99999999999693,-184.99999999999073,263.99999999999756,286.00000000000847,-21.99999999999136,105.99999999999454,-931.0000000000151,-190.00000000002615,-600.0000000000006,-238.9999999999901,-39.00000000000014,97.9999999999981,,-1621.0000000000125
2016.02.01,-137.9999999999937,-174.00000000000747,279.99999999999136,307.99999999999716,-42.00000000000159,92.00000000001296,-993.9999999999837,-169.00000000001114,-609.0000000000151,-244.99999999999034,-10.999999999994348,80.99999999999774,,-1620.9999999999984
2016.02.01,-104.99999999999955,-222.00000000001108,362.99999999998,229.99999999999687,-58.9999999999975,-20.000000000010232,-1048.9999999999889,-160.000000000025,-760.0000000000051,-337.99999999999386,-9.999999999998899,80.00000000000229,,-2050.0000000000514
2016.02.01,-107.99999999999699,-218.99999999999142,346.9999999999862,224.000000000002,-40.99999999999682,-3.0000000000143245,-925.9999999999824,-176.00000000001614,-723.0000000000069,-316.0000000000025,-102.00000000000209,161.99999999999548,,-1881.000000000026
2016.02.01,-79.99999999999119,-204.00000000000418,303.9999999999932,249.00000000001032,-46.999999999997044,2.0000000000095497,-823.0000000000182,-148.00000000002456,-701.0000000000183,-307.9999999999927,-86.99999999999264,195.9999999999962,,-1647.0000000000298
2016.02.01,-75.99999999998718,-192.99999999999872,202.9999999999976,296.0000000000074,4.0000000000048885,132.000000000005,-801.0000000000073,-221.00000000000364,-606.0000000000176,-231.99999999999932,-142.99999999999312,131.00000000000333,,-1505.9999999999886
2016.02.01,-80.99999999999774,-177.00000000000495,180.99999999998673,304.00000000001535,73.99999999999807,240.0000000000091,-688.0000000000219,-231.99999999999932,-531.9999999999991,-158.00000000000125,-129.00000000000134,111.00000000000554,,-1087.000000000011
2016.02.01,-86.99999999999264,-185.99999999999727,272.99999999998994,246.99999999999721,48.00000000000182,141.9999999999959,-715.0000000000211,-235.00000000001364,-658.0000000000031,-238.9999999999901,-168.00000000000148,119.99999999999788,,-1458.0000000000362
2016.02.01,-90.99999999999665,-222.99999999999542,330.9999999999924,197.00000000000273,-0.999999999990564,16.999999999995907,-774.000000000008,-222.0000000000084,-838.0000000000055,-352.99999999999443,-205.99999999999508,173.9999999999964,,-1989.0000000000064
2016.02.01,-112.99999999998533,-265.0000000000041,354.9999999999942,201.00000000000674,-40.99999999999682,19.000000000005457,-900.9999999999962,-266.00000000001955,-937.00000000001,-385.9999999999957,-190.99999999999673,139.00000000000023,,-2385.999999999998
2016.02.01,-112.000000000001,-194.0000000000053,519.9999999999872,137.00000000000932,-84.99999999999375,-135.99999999999568,-978.0000000000122,-169.00000000001114,-920.0000000000097,-453.00000000000296,-214.00000000000307,119.99999999999788,,-2484.000000000041
2016.02.01,-123.99999999999079,-272.00000000000557,552.9999999999812,209.9999999999991,-164.00000000000148,-143.00000000000068,-1047.0000000000202,-135.00000000001933,-1154.0000000000105,-622.9999999999905,-387.99999999999943,114.99999999999844,,-3172.0000000000596
