names,week,needed_features,accuracy,next_week_prediction_score,next_week_prediction
USDCHF,50,"['EURGBP', 'GBPCAD', 'USDJPY', 'NZDUSD']",100.0,-1.0,S
EURUSD,15,"['EURNZD', 'NZDCHF', 'GBPCAD', 'USDJPY']",80.0,0.951,B
USDCAD,10,"['USDCHF', 'EURUSD']",80.0,0.3527142857142857,B
GBPCHF,10,['EURCHF'],80.0,0.3431984126984128,B
CHFJPY,15,"['EURCHF', 'AUDCAD']",80.0,0.9533333333333333,B
GBPJPY,20,['CHFJPY'],80.0,0.7014855699855701,B
GBPAUD,15,['USDJPY'],80.0,-0.13765079365079363,S
EURJPY,10,"['USDCHF', 'EURUSD']",80.0,-0.3232063492063493,S
EURCAD,10,['EURCHF'],80.0,-0.3373650793650794,S
CADJPY,10,['EURCHF'],80.0,0.2982301587301587,B
AUDCAD,10,"['AUDNZD', 'EURCHF', 'USDCHF', 'EURUSD']",80.0,-0.7,S
NZDCAD,30,"['USDCHF', 'EURUSD']",80.0,0.988,B
