date,USDCHF,GBPUSD,EURUSD,USDJPY,GBPCHF,NZDCHF,EURGBP,EURNZD,empty,sum
2015.02.23,-20.999999999993246,-79.00000000000685,-82.00000000000429,0.0,-41.000000000002146,-37.00000000000925,-22.999999999995246,-201.00000000000674,,-484.00000000001774
2015.02.23,4.000000000004,-84.0000000000174,-158.99999999999804,9.000000000000341,85.99999999998609,39.00000000000014,-61.999999999995396,-217.0000000000005,,-384.0000000000208
2015.02.23,65.99999999999939,-90.00000000001229,-174.00000000000747,19.99999999999602,154.99999999999403,40.99999999999105,-57.99999999999139,-281.0000000000201,,-321.0000000000508
2015.02.23,-1.999999999990898,-100.0000000000112,-153.00000000000313,-3.0000000000001137,92.99999999998754,-14.000000000002899,-39.00000000000014,-197.00000000000273,,-415.00000000002353
2015.02.23,-36.999999999998145,-250.00000000001688,-360.9999999999891,-58.000000000006935,113.99999999999189,-9.00000000000345,-113.99999999999189,-352.000000000019,,-1067.0000000000334
2015.02.23,-35.999999999991594,-263.99999999999756,-307.99999999999716,-29.000000000010573,136.99999999998712,78.99999999999574,-97.9999999999981,-189.00000000001694,,-708.0000000000291
2015.02.23,21.999999999999797,-173.00000000000094,-201.99999999999108,12.999999999991019,193.99999999998306,122.99999999999534,-39.999999999995595,-12.000000000012001,,-75.00000000003038
2015.02.23,-45.99999999999049,-246.99999999999721,-182.99999999999983,-7.000000000005002,139.00000000000023,53.999999999998494,-17.999999999995797,-78.00000000000028,,-385.99999999998994
2015.02.23,-127.99999999999478,-272.00000000000557,-170.00000000000347,1.9999999999953388,-32.0000000000098,-40.00000000000669,20.0000000000089,-147.00000000000824,,-767.0000000000243
2015.02.23,-271.9999999999945,-146.00000000000168,-85.00000000000173,28.999999999996362,-270.00000000001467,-133.00000000000534,24.000000000001798,-4.000000000004,,-857.0000000000236
2015.02.23,-354.9999999999942,-218.00000000000708,-133.00000000000534,25.99999999999625,-330.0000000000081,-164.00000000000858,16.0000000000049,14.999999999987246,,-1143.0000000000348
2015.02.23,-330.9999999999924,-206.00000000001728,-126.0000000000039,30.000000000001137,-326.0000000000041,-136.00000000000279,14.000000000002899,29.999999999996696,,-1051.0000000000198
2015.02.23,-265.99999999999955,-170.00000000000347,-123.00000000000644,102.99999999999443,-250.00000000001688,-134.0000000000008,11.00000000000545,-26.999999999999247,,-856.0000000000264
