date,USDCAD,EURCHF,AUDCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURCAD,CADJPY,NZDJPY,AUDCAD,empty,sum
2021.05.10,-59.99999999999339,-112.000000000001,-92.99999999999864,-10.999999999994348,-38.000000000010914,-109.00000000000354,-2.999999999997449,-144.00000000000546,-66.00000000001049,-39.99999999999204,-66.99999999999307,-167.00000000000603,,-910.0000000000064
2021.05.10,66.99999999999484,-90.99999999999665,-85.00000000000173,51.000000000001044,-64.99999999999773,45.99999999999049,112.99999999998533,-138.00000000000523,167.00000000000603,-7.000000000005002,-61.99999999999761,-33.000000000005244,,-37.00000000003146
2021.05.10,-25.00000000000835,-127.00000000001043,-51.99999999999649,-70.99999999999883,-241.00000000001387,66.99999999999484,109.99999999998789,-186.00000000000705,123.00000000000644,-51.9999999999925,-115.99999999999966,-2.000000000002,,-572.00000000004
2021.05.10,29.999999999996696,-109.00000000000354,10.999999999994348,-92.99999999999864,-318.00000000001205,342.9999999999822,434.9999999999854,-112.99999999999955,114.99999999999844,-25.000000000005684,-104.99999999998977,26.999999999999247,,197.99999999994708
2021.05.10,-25.999999999992696,-112.000000000001,12.999999999996348,-73.99999999999629,-328.00000000000296,391.9999999999924,441.99999999998687,-130.00000000002387,156.00000000000057,-40.99999999999682,-140.99999999999113,30.999999999992145,,181.99999999996356
2021.05.10,-103.00000000000864,-143.00000000000423,12.000000000000899,-124.00000000000189,-468.00000000001774,400.9999999999847,418.9999999999916,-177.99999999999727,117.99999999999588,-88.99999999999864,-187.99999999998818,43.999999999999595,,-299.00000000004394
2021.05.10,-70.99999999999883,-147.00000000000824,65.99999999999939,-147.99999999999258,-694.0000000000168,374.999999999992,393.99999999998323,-334.0000000000032,48.000000000003595,-227.99999999999443,-289.0000000000015,14.999999999998348,,-1013.000000000039
2021.05.10,-31.000000000003247,-147.00000000000824,41.000000000002146,-159.9999999999935,-706.9999999999936,423.99999999997993,478.0000000000006,-338.0000000000223,51.000000000001044,-239.00000000000432,-251.99999999999534,9.999999999998899,,-870.0000000000381
2021.05.10,-52.000000000007596,-156.00000000000057,34.99999999999615,-190.00000000000128,-794.0000000000111,346.9999999999862,539.0000000000006,-373.0000000000189,-53.00000000001415,-319.9999999999932,-268.99999999999125,-70.0000000000034,,-1356.0000000000587
2021.05.10,-56.000000000011596,-137.9999999999937,56.0000000000005,-188.9999999999947,-789.999999999992,345.99999999997965,543.999999999989,-374.00000000002365,-39.999999999995595,-317.99999999999784,-265.00000000000057,-52.000000000007596,,-1276.000000000048
2021.05.10,-26.999999999999247,-124.00000000001299,-7.0000000000014495,-158.0000000000026,-778.9999999999964,390.0000000000015,552.9999999999812,-395.00000000001023,8.999999999992347,-304.00000000000205,-243.99999999999977,-75.9999999999983,,-1162.0000000000477
2021.05.10,38.99999999998904,-112.000000000001,-43.00000000000415,-144.99999999999514,-711.0000000000127,352.9999999999811,637.9999999999831,-344.99999999999886,21.00000000000435,-259.00000000000034,-195.99999999999795,-86.0000000000083,,-846.0000000000609
2021.05.10,32.999999999994145,-75.00000000000284,-23.00000000000635,-131.99999999999878,-703.000000000003,317.9999999999961,567.9999999999907,-397.99999999999613,7.0000000000014495,-304.00000000000205,-190.9999999999883,-111.00000000000554,,-1011.0000000000206
