date,GBPUSD,AUDUSD,GBPCHF,CHFJPY,NZDCHF,EURGBP,GBPJPY,GBPCAD,EURAUD,AUDNZD,empty,sum
2017.01.02,0.0,-8.999999999992347,-353.99999999998766,-54.000000000002046,-71.00000000000995,-153.99999999999858,-65.00000000002615,-116.99999999998934,-101.00000000001774,-42.0000000000087,,-967.0000000000325
2017.01.02,-156.00000000000057,-34.99999999999615,-531.9999999999991,9.999999999990905,-71.00000000000995,-199.00000000000472,-415.00000000002046,-290.9999999999968,-232.00000000000998,4.999999999988347,,-1916.0000000000584
2017.01.02,-156.00000000000057,-262.999999999991,-556.9999999999853,-105.00000000000398,-67.00000000000594,-163.00000000000205,-412.00000000000614,-485.0000000000021,-540.0000000000072,-28.000000000005798,,-2776.0000000000105
2017.01.02,-156.00000000000057,-227.99999999999488,-628.9999999999907,-21.000000000000796,-30.000000000007798,-26.000000000003798,-254.0000000000191,-309.99999999998806,-513.0000000000078,15.999999999993797,,-2151.0000000000196
2017.01.02,-279.00000000000705,-202.9999999999976,-712.0000000000015,-151.00000000001046,55.99999999998939,-185.00000000000182,-403.00000000002,-448.9999999999883,-475.0000000000032,-130.0000000000079,,-2931.000000000048
2017.01.02,-207.00000000000162,-123.99999999999079,-829.9999999999974,-264.00000000001,-50.0000000000056,-34.000000000000696,-326.0000000000218,-380.00000000000256,-323.0000000000066,83.9999999999952,,-2454.0000000000423
2017.01.02,-192.00000000001438,-232.99999999999432,-766.0,-338.99999999999864,-41.000000000002146,-26.000000000003798,-339.00000000002706,-360.0000000000048,-414.00000000000324,-25.00000000000835,,-2735.0000000000564
2017.01.02,-238.0000000000049,-98.99999999999353,-862.9999999999916,-344.99999999999886,47.9999999999925,-55.000000000005045,-509.00000000001455,-444.9999999999843,-276.00000000000955,-38.0000000000047,,-2820.000000000014
2017.01.02,-239.00000000001143,-85.99999999999719,-929.9999999999864,-352.00000000000387,96.99999999999153,-93.99999999999409,-515.0000000000148,-371.99999999999454,-359.0000000000204,-52.000000000007596,,-2902.000000000039
2017.01.02,-240.00000000001796,-56.99999999999594,-875.0000000000035,-142.00000000001012,78.99999999999574,-85.99999999999719,-441.0000000000025,-268.0000000000016,-222.00000000001108,-58.000000000002494,,-2310.000000000047
