date,GBPUSD,AUDUSD,GBPCHF,CHFJPY,NZDCHF,EURGBP,GBPJPY,GBPCAD,EURAUD,AUDNZD,empty,sum
2017.01.02,22.999999999995246,41.000000000002146,171.99999999999437,21.99999999999136,-71.00000000000995,-21.999999999999797,15.999999999991132,-69.9999999999923,-89.00000000000574,48.99999999998794,,70.99999999995441
2017.01.02,-104.00000000001519,-30.999999999992145,-465.99999999998863,354.99999999998977,29.999999999996696,-21.00000000000435,-246.00000000000932,-215.99999999999397,-137.00000000000932,78.99999999998464,,-757.0000000000417
2017.01.02,-109.00000000000354,-14.999999999998348,-378.999999999996,134.00000000000034,46.999999999997044,0.0,-154.00000000002478,-201.99999999999108,-298.00000000002046,114.99999999999844,,-861.0000000000384
2017.01.02,-156.00000000000057,24.000000000001798,-628.9999999999907,107.99999999998988,98.99999999999353,2.999999999997449,-249.00000000002365,-290.9999999999968,-308.0000000000194,110.99999999999443,,-1288.0000000000541
2017.01.02,-207.00000000000162,-87.99999999999919,-624.9999999999867,146.0000000000008,55.99999999998939,-16.0000000000049,-326.0000000000218,-378.999999999996,-303.0000000000088,90.99999999999665,,-1651.0000000000323
2017.01.02,-181.00000000000892,-88.99999999999464,-445.99999999999085,242.999999999995,-41.000000000002146,-14.000000000002899,-239.00000000000432,-351.99999999999676,-304.9999999999997,104.99999999999955,,-1319.000000000006
2017.01.02,-174.00000000000747,35.00000000000725,-736.9999999999877,138.9999999999958,47.9999999999925,-0.999999999995449,-324.0000000000123,-348.9999999999993,-241.00000000000233,-22.999999999995246,,-1627.0000000000043
2017.01.02,-228.00000000000597,37.00000000000925,-862.9999999999916,27.999999999991587,96.99999999999153,-22.999999999995246,-307.00000000001637,-353.99999999998766,-230.00000000001907,-17.000000000000348,,-1860.0000000000239
2017.01.02,-228.00000000000597,32.0000000000098,-849.9999999999952,87.0000000000033,117.99999999999588,-53.999999999998494,-442.0000000000073,-235.99999999999176,-186.0000000000195,-12.000000000012001,,-1771.0000000000214
2017.01.02,-234.00000000000088,41.000000000002146,-828.9999999999909,101.99999999998965,83.9999999999952,-56.0000000000005,-368.0000000000234,-245.99999999999068,-174.00000000000747,-58.000000000002494,,-1738.0000000000293
2017.01.02,-226.99999999999943,36.0000000000027,-797.0000000000033,111.99999999999477,83.9999999999952,-65.99999999999939,-378.0000000000143,-238.99999999998923,-180.0000000000024,-18.0000000000069,,-1673.0000000000223
2017.01.02,-163.00000000000205,-2.999999999997449,-733.9999999999902,164.99999999999204,88.99999999999464,11.00000000000545,-303.0000000000257,-228.00000000000597,-348.9999999999993,32.999999999994145,,-1482.0000000000346
2017.01.02,-168.0000000000126,0.0,-760.0000000000051,153.99999999999636,112.99999999999643,-21.999999999999797,-336.00000000001273,-292.00000000000335,-298.00000000002046,19.999999999997797,,-1589.0000000000634
2017.01.02,-164.00000000000858,-7.9999999999968985,-756.0000000000011,149.0000000000009,125.99999999999278,-22.999999999995246,-305.0000000000068,-253.99999999999866,-319.0000000000026,48.99999999998794,,-1505.0000000000284
2017.01.02,-147.00000000000824,67.00000000000594,-700.999999999996,236.99999999999477,69.9999999999923,-19.00000000000235,-344.0000000000225,-150.99999999999002,-171.00000000001003,-173.00000000000094,,-1332.000000000037
2017.01.02,-143.00000000000423,38.0000000000047,-703.9999999999935,218.9999999999941,161.99999999999548,-43.999999999999595,-332.00000000002206,-146.00000000000168,-204.00000000000418,-141.00000000001333,,-1295.0000000000446
2017.01.02,-145.00000000001734,-2.999999999997449,-737.9999999999942,213.99999999999864,149.99999999999457,-53.999999999998494,-326.0000000000218,-114.99999999999844,-236.00000000001398,-129.00000000000134,,-1382.00000000005
2017.01.02,-112.000000000001,2.000000000002,-719.9999999999873,244.99999999999034,118.99999999999133,-26.000000000003798,-300.00000000001137,-366.999999999984,-280.0000000000136,-138.0000000000159,,-1577.0000000000334
2017.01.02,-164.00000000000858,2.000000000002,-645.999999999991,390.99999999999113,130.99999999999224,0.999999999995449,-456.0000000000173,-465.0000000000043,-391.000000000008,-73.00000000001194,,-1670.0000000000605
2017.01.02,-155.00000000001623,-175.99999999999838,-743.0000000000048,489.9999999999949,196.99999999999162,-24.999999999997247,-670.0000000000159,-455.0000000000054,-737.0000000000099,165.9999999999995,,-2108.000000000062
2017.01.02,-9.000000000014552,-252.99999999999213,-600.0000000000006,729.9999999999898,116.99999999998934,21.00000000000435,-785.000000000025,-190.99999999998562,-812.0000000000127,185.99999999999727,,-1596.00000000005
2017.01.02,-89.00000000000574,-318.99999999999153,-910.9999999999951,527.000000000001,248.99999999999923,-190.99999999999673,-903.00000000002,48.000000000003595,-643.0000000000158,212.99999999999653,,-2019.0000000000243
2017.01.02,-76.0000000000094,-343.9999999999999,-931.9999999999995,512.0000000000005,279.99999999999136,-212.99999999999653,-927.0000000000209,297.0000000000139,-676.0000000000099,259.9999999999936,,-1819.0000000000368
