date,USDCHF,USDJPY,USDCAD,AUDUSD,NZDUSD,EURCHF,CHFJPY,CADCHF,AUDCHF,NZDCHF,EURGBP,GBPCAD,EURJPY,EURAUD,EURNZD,CADJPY,AUDJPY,AUDCAD,NZDCAD,empty,sum
2016.11.14,-16.0000000000049,-51.00000000000193,-45.000000000006146,-51.000000000001044,-403.0000000000089,-102.00000000000209,-106.00000000000875,-149.99999999999457,-111.00000000000554,-234.99999999999633,-132.99999999999423,-76.0000000000094,-42.999999999992156,-50.0000000000167,-368.9999999999971,-51.00000000000193,-137.00000000000045,-209.9999999999991,-269.00000000000813,,-2608.000000000049
2016.11.14,12.999999999996348,-49.99999999999716,85.00000000000173,33.000000000005244,-152.00000000000767,-51.000000000001044,-115.99999999999966,-129.9999999999968,-11.00000000000545,-193.99999999999417,-168.99999999999693,-93.00000000000975,18.000000000000682,2.999999999997449,-364.9999999999931,-42.00000000000159,-179.00000000000205,-236.00000000001398,-145.00000000000622,,-1781.0000000000239
2016.11.14,-70.0000000000034,-48.00000000000182,129.99999999998568,23.00000000000635,-387.000000000004,-87.99999999999919,-68.00000000001205,-129.9999999999968,-9.00000000000345,-364.9999999999931,-39.999999999995595,235.99999999999176,-44.999999999987494,-49.00000000001015,-719.9999999999873,-1.9999999999953388,-177.0000000000067,-317.0000000000117,-393.00000000001,,-2519.0000000000346
2016.11.14,-97.00000000000264,-52.99999999999727,187.00000000000384,41.000000000002146,-403.0000000000089,-12.999999999996348,-78.00000000000296,-89.99999999999008,58.99999999999794,-375.9999999999986,-37.99999999999359,251.00000000000122,-90.99999999999397,146.00000000000168,-731.9999999999993,13.00000000000523,-212.0000000000033,-348.00000000001495,-408.00000000000836,,-2241.999999999998
2016.11.14,-200.99999999999562,-108.99999999999466,245.99999999999068,-121.99999999999989,-553.0000000000035,-12.999999999996348,-105.00000000000398,-149.99999999999457,0.999999999995449,-450.9999999999903,-50.99999999998994,303.9999999999932,-137.00000000000045,53.999999999998494,-855.9999999999901,39.00000000000148,-153.0000000000058,-331.0000000000146,-458.00000000000284,,-3046.0000000000036
2016.11.14,-322.00000000000006,-561.000000000007,408.9999999999927,-178.99999999999582,-613.000000000008,-7.0000000000014495,-315.00000000001194,-87.99999999999919,-6.0000000000060005,-431.99999999999903,-59.99999999999339,181.00000000000892,-156.99999999999648,17.999999999984695,-854.9999999999835,-194.00000000000261,-304.00000000000205,-253.99999999999866,-504.00000000000443,,-4243.000000000023
2016.11.14,-480.99999999999807,-748.0000000000047,470.9999999999992,-191.99999999999218,-653.0000000000035,-17.000000000000348,-332.00000000000784,-74.99999999999174,98.99999999999353,-400.00000000000034,-51.99999999999649,-18.999999999991246,103.00000000000864,197.00000000000273,-817.9999999999854,-268.99999999999125,-413.0000000000109,-348.9999999999993,-473.0000000000012,,-4420.99999999997
2016.11.14,-385.000000000002,-706.0000000000031,510.99999999999477,-53.00000000000304,-582.0000000000048,55.99999999998939,-452.0000000000124,-132.99999999999423,108.99999999999244,-400.00000000000034,-49.99999999999449,87.99999999999919,125.0,363.0000000000022,-668.9999999999862,-265.99999999999113,-535.0000000000108,-442.00000000000904,-419.00000000000273,,-3840.0000000000373
2016.11.14,-294.00000000000534,-643.0000000000007,547.999999999993,-46.999999999997044,-540.0000000000072,78.99999999998464,-453.00000000000296,-152.99999999999204,121.99999999999989,-381.99999999999346,11.00000000000545,347.9999999999928,157.0000000000107,378.999999999996,-638.9999999999895,-204.9999999999983,-516.0000000000053,-495.000000000001,-339.0000000000004,,-3062.000000000011
2016.11.14,-226.00000000000398,-611.0000000000042,506.9999999999908,65.99999999999939,-460.00000000000483,49.99999999999449,-487.000000000009,-148.99999999999915,198.99999999999363,-331.999999999999,53.00000000000304,455.99999999998977,277.000000000001,473.99999999999665,-550.9999999999903,-227.99999999999443,-585.000000000008,-550.000000000006,-267.00000000000614,,-2364.0000000000564
