date,USDCAD,NZDUSD,GBPCHF,EURCHF,CHFJPY,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURNZD,AUDCAD,empty,sum
2021.04.12,-32.0000000000098,73.00000000000084,-24.999999999986144,-99.00000000000463,-115.0000000000091,-207.99999999999707,-15.00000000001478,194.0000000000053,-201.99999999999108,-129.0000000000191,702.0000000000026,40.00000000000669,,183.99999999998374
2021.04.12,1.0000000000065512,88.99999999999464,-62.99999999999084,-90.99999999999665,-1.0000000000047748,-166.99999999999494,99.99999999999432,43.999999999999595,-351.99999999999676,-201.99999999999818,707.9999999999975,-26.999999999999247,,39.00000000001121
2021.04.12,-31.000000000003247,119.99999999999788,19.00000000001345,-156.00000000000057,63.00000000000239,-187.9999999999993,216.00000000000819,205.99999999999508,-466.9999999999952,-254.99999999999545,747.9999999999931,62.000000000006494,,337.00000000002274
2021.04.12,-52.99999999999194,147.99999999999258,28.000000000005798,-151.9999999999966,104.99999999998977,-185.00000000000182,276.9999999999868,222.99999999999542,-429.99999999999704,-290.9999999999968,665.0000000000044,99.00000000000463,,433.9999999999952
2021.04.12,-26.999999999999247,183.99999999999528,41.000000000002146,-165.9999999999995,95.99999999998943,-183.99999999999528,280.00000000000114,224.000000000002,-404.9999999999887,-287.00000000000614,608.9999999999928,113.00000000000753,,478.0000000000015
2021.04.12,-59.000000000009045,154.99999999999403,87.00000000001484,-177.99999999998929,24.00000000000091,-161.99999999999548,245.00000000000455,246.00000000001288,-451.0000000000014,-224.00000000001796,614.0000000000034,99.00000000000463,,396.00000000002206
2021.04.12,-79.99999999999119,90.0000000000012,14.000000000002899,-158.99999999999804,22.999999999996135,-192.00000000000327,151.00000000001046,279.00000000000705,-584.9999999999911,-199.00000000001228,836.9999999999989,43.999999999999595,,223.0000000000203
2021.04.12,-65.00000000000395,95.99999999999609,117.99999999999588,-207.00000000000162,57.00000000000216,-161.99999999999548,316.0000000000025,275.000000000003,-587.9999999999885,-293.00000000000637,773.0000000000015,45.000000000006146,,365.0000000000113
2021.04.12,-173.00000000000094,21.999999999999797,46.999999999997044,-164.99999999999292,0.0,-178.00000000000037,167.0000000000016,309.0000000000037,-703.9999999999935,-183.00000000002115,879.9999999999919,-1.999999999990898,,19.99999999999421
2021.04.12,-205.00000000001074,-18.0000000000069,-60.99999999999994,-131.99999999999878,-136.0000000000099,-226.00000000000398,-137.00000000000045,224.000000000002,-656.9999999999965,4.9999999999954525,941.9999999999984,-21.999999999999797,,-423.0000000000309
2021.04.12,-245.0000000000063,-26.999999999999247,-78.99999999998464,-117.99999999999588,-189.00000000000716,-229.00000000000142,-224.99999999999432,246.99999999999721,-763.9999999999869,75.9999999999934,942.9999999999827,-64.99999999999284,,-674.9999999999953
2021.04.12,-256.99999999999613,32.999999999994145,-83.9999999999952,-137.9999999999937,-204.00000000000773,-246.00000000000176,-241.99999999999022,268.0000000000016,-598.999999999994,69.99999999999318,825.9999999999934,34.000000000000696,,-538.9999999999959
2021.04.12,-273.0000000000121,85.00000000000173,-65.99999999998829,-156.99999999998494,-228.9999999999992,-248.99999999999923,-262.00000000000045,307.00000000001285,-560.9999999999893,78.00000000000296,731.9999999999993,75.00000000000284,,-519.999999999954
2021.04.12,-269.00000000000813,134.0000000000008,-41.99999999998649,-165.9999999999995,-198.0000000000075,-244.99999999999523,-195.99999999999795,321.0000000000157,-517.9999999999962,27.999999999991587,619.9999999999983,107.00000000000153,,-423.9999999999831
2021.04.12,-283.99999999999534,85.99999999999719,5.000000000010552,-167.9999999999904,-168.00000000000637,-209.00000000000364,-108.00000000000409,380.00000000000256,-601.9999999999915,0.0,716.9999999999899,97.00000000000264,,-253.99999999998838
2021.04.12,-343.00000000000443,81.9999999999932,-65.99999999998829,-177.99999999998929,-258.0000000000098,-264.999999999993,-296.99999999999704,310.0000000000103,-531.9999999999991,80.99999999998886,678.9999999999852,96.00000000000719,,-690.9999999999962
2021.04.12,-368.9999999999971,20.999999999993246,-112.000000000001,-175.99999999999838,-271.0000000000008,-295.99999999999625,-368.9999999999998,253.99999999999866,-560.9999999999893,96.99999999997999,790.0000000000018,45.000000000006146,,-947.000000000003
