names,week,needed_features,accuracy,next_week_prediction_score,next_week_prediction
USDCHF,10,['GBPUSD'],100.0,0.99,S
GBPUSD,30,"['CHFJPY', 'GBPJPY', 'AUDJPY']",80.0,0.8166666666666668,S
EURUSD,50,"['GBPUSD', 'CADCHF', 'CHFJPY']",100.0,-0.7686015096015096,B
USDCAD,10,['GBPUSD'],100.0,1.0,S
AUDUSD,10,"['AUDCAD', 'NZDJPY', 'EURJPY', 'USDCAD', 'CHFJPY']",100.0,0.58,S
NZDUSD,30,['NZDUSD'],80.0,0.4777833442301408,S
GBPCHF,15,"['CADCHF', 'AUDNZD']",80.0,-0.009893939393939398,B
CHFJPY,15,"['AUDUSD', 'EURCAD']",80.0,-0.9183809523809523,B
CADCHF,10,"['CHFJPY', 'NZDCAD', 'USDJPY', 'CADJPY']",80.0,0.08,S
NZDCHF,50,"['EURJPY', 'CADJPY']",100.0,0.3119997779997778,S
EURGBP,15,['AUDJPY'],80.0,-0.5742857142857146,B
GBPJPY,15,['EURJPY'],100.0,-0.8047771117771114,B
GBPCAD,15,"['NZDJPY', 'EURJPY']",100.0,-0.013642857142857148,B
GBPAUD,15,"['NZDJPY', 'EURJPY']",100.0,-0.008333333333333349,B
EURJPY,50,"['AUDCHF', 'GBPAUD', 'GBPCAD', 'GBPUSD', 'NZDCHF']",100.0,-0.9076190476190478,B
EURCAD,15,"['EURCAD', 'NZDCAD']",80.0,0.8755238095238096,S
EURAUD,10,"['CADCHF', 'EURCAD']",80.0,0.9526666666666667,S
EURNZD,50,"['EURJPY', 'CADJPY']",80.0,-0.29013131313131313,B
NZDJPY,10,"['EURGBP', 'USDJPY']",80.0,-1.0,B
AUDCAD,15,['EURCHF'],80.0,-0.38962193362193376,B
NZDCAD,15,"['USDCHF', 'EURUSD', 'GBPCHF']",100.0,-0.5165714285714287,B
AUDNZD,50,['GBPUSD'],80.0,0.095046975798655,S
