date,GBPUSD,USDCAD,AUDUSD,NZDUSD,EURCHF,CHFJPY,CADCHF,AUDCHF,NZDCHF,GBPJPY,EURJPY,EURCAD,EURNZD,CADJPY,AUDJPY,NZDJPY,empty,sum
2021.04.12,-116.00000000000499,-17.000000000000348,-114.99999999999844,-108.99999999999244,-193.99999999998306,-46.999999999997044,-104.99999999999955,-139.00000000000023,-41.000000000002146,-250.0,-162.00000000000614,-35.00000000000725,0.0,-347.999999999999,-283.00000000000125,-252.00000000000955,,-2213.0000000000014
2021.04.12,-45.99999999999049,-34.000000000000696,-129.00000000000134,-109.99999999999899,-173.00000000000094,-65.99999999998829,-143.00000000000423,-139.00000000000023,-68.00000000000139,-193.9999999999884,-209.00000000000318,114.99999999999844,553.9999999999878,-390.00000000000057,-280.00000000000114,-267.0000000000101,,-1579.0000000000036
2021.04.12,-56.99999999999594,-18.999999999991246,-98.99999999999353,-124.99999999999733,-166.99999999998383,-113.99999999999011,-121.99999999999989,-61.999999999995396,-98.99999999999353,-216.00000000000819,-254.99999999999545,177.99999999998929,713.9999999999924,-396.0000000000008,-274.9999999999915,-284.000000000006,,-1397.999999999961
2021.04.12,-73.99999999999629,12.999999999996348,-121.99999999999989,-162.99999999999093,-163.9999999999864,-123.99999999999523,-134.99999999999625,-76.99999999999375,-134.99999999999625,-299.0000000000066,-307.00000000001637,268.9999999999859,654.9999999999834,-445.99999999999795,-335.9999999999985,-359.00000000000887,,-1804.0000000000175
2021.04.12,-79.99999999999119,0.0,-144.99999999999514,-201.99999999999108,-168.99999999999693,-118.99999999999977,-134.99999999999625,-95.00000000000064,-165.9999999999995,-299.0000000000066,-313.0000000000166,276.9999999999939,574.9999999999922,-451.9999999999982,-355.000000000004,-394.00000000000546,,-2072.0000000000155
2021.04.12,-123.00000000000644,5.999999999994898,-166.99999999999494,-218.99999999999142,-185.99999999999727,-94.99999999999886,-146.99999999999713,-117.99999999999588,-185.99999999999727,-286.00000000000136,-292.0000000000016,278.9999999999848,544.9999999999955,-429.00000000000205,-349.9999999999943,-396.0000000000008,,-2164.000000000004
2021.04.12,-93.99999999999409,39.999999999995595,-119.00000000000244,-173.00000000000094,-184.99999999999073,-71.99999999998852,-146.99999999999713,-104.99999999999955,-170.99999999999892,-278.99999999999636,-251.00000000000477,275.9999999999874,594.99999999999,-412.00000000000614,-311.9999999999976,-355.000000000004,,-1764.0000000000082
2021.04.12,-114.99999999999844,22.999999999995246,-107.99999999999699,-131.99999999999878,-207.99999999998596,-89.9999999999892,-146.99999999999713,-61.999999999995396,-117.99999999999588,-320.99999999999795,-313.0000000000166,299.99999999998914,764.9999999999934,-430.9999999999974,-289.0000000000015,-311.00000000000705,,-1557.0000000000007
2021.04.12,-75.00000000000284,59.99999999999339,-51.99999999999649,-100.00000000000009,-209.9999999999991,-68.9999999999884,-150.00000000000568,-56.99999999999594,-119.99999999999788,-317.0000000000073,-296.0000000000207,304.9999999999997,748.9999999999997,-427.99999999999727,-266.9999999999959,-302.0000000000067,,-1329.0000000000214
2021.04.12,-1.0000000000065512,157.00000000000713,24.999999999997247,-46.999999999997044,-177.99999999998929,-18.000000000000682,-99.00000000000463,4.000000000004,-70.0000000000034,-186.00000000000705,-203.00000000000296,343.00000000000443,807.0000000000022,-331.00000000000307,-155.00000000000114,-213.99999999999864,,-165.99999999999943
2021.04.12,104.99999999999955,204.00000000000418,82.00000000000429,-7.9999999999968985,-132.99999999998312,135.00000000000512,-65.99999999999939,63.00000000000195,-29.000000000001247,133.00000000000978,3.9999999999906777,363.0000000000022,865.999999999989,-185.99999999999284,15.000000000000568,-49.000000000006594,,1499.000000000027
2021.04.12,120.99999999999334,229.99999999999687,70.99999999999883,-32.999999999994145,-146.00000000000168,180.00000000000682,-46.999999999997044,51.000000000001044,-58.99999999999794,219.99999999999886,60.000000000002274,387.99999999998835,825.9999999999934,-123.99999999999523,40.00000000000625,-65.00000000001194,,1712.9999999999882
2021.04.12,126.0000000000039,259.0000000000092,43.999999999999595,-90.0000000000012,-156.99999999998494,197.00000000000273,-41.9999999999976,26.000000000003798,-110.99999999999443,235.00000000001364,62.99999999998818,424.99999999998647,722.0000000000005,-105.00000000000398,33.00000000000125,-106.00000000000875,,1519.0000000000186
2021.04.12,116.00000000000499,252.99999999999213,21.00000000000435,-134.0000000000008,-170.00000000000347,189.99999999999773,-41.9999999999976,0.0,-158.0000000000026,195.99999999999795,25.000000000005684,461.99999999998465,617.9999999999852,-103.9999999999992,-18.000000000000682,-182.00000000000216,,1072.9999999999663
2021.04.12,79.00000000000685,259.9999999999936,18.0000000000069,-135.99999999999167,-185.99999999999727,168.00000000000637,-58.000000000002494,-14.999999999998348,-159.9999999999935,106.99999999999932,-2.0000000000095497,452.99999999999227,614.9999999999877,-135.99999999999568,-42.00000000000159,-184.0000000000117,,780.9999999999912
2021.04.12,73.99999999999629,269.00000000000813,36.0000000000027,-115.99999999999389,-194.99999999998963,169.00000000001114,-58.000000000002494,-7.9999999999968985,-161.00000000000003,104.99999999998977,-1.0000000000047748,466.9999999999952,631.9999999999882,-137.00000000000045,-31.999999999996476,-187.00000000001182,,856.999999999995
2021.04.12,198.00000000000927,340.9999999999913,78.00000000000028,-83.9999999999952,-193.99999999998306,222.99999999999898,-38.0000000000047,15.00000000000945,-148.0000000000037,288.0000000000109,50.99999999998772,504.9999999999999,652.9999999999925,-75.00000000000284,33.00000000000125,-140.00000000000057,,1706.0000000000118
