date,EURCHF,CADCHF,EURJPY,NZDCAD,empty,sum
2020.05.25,-178.99999999999582,-52.99999999999194,-137.99999999999102,-134.0000000000008,,-503.9999999999796
2020.05.25,-68.00000000000139,-27.999999999994696,-161.00000000000136,-43.999999999999595,,-300.99999999999704
2020.05.25,-114.99999999999844,-64.99999999999284,-260.9999999999957,-75.00000000000284,,-515.9999999999898
2020.05.25,-136.00000000000279,-110.99999999999443,-320.99999999999795,-87.99999999999919,,-655.9999999999944
2020.05.25,-134.99999999999625,-90.99999999999665,-378.0000000000001,-68.00000000000139,,-671.9999999999943
2020.05.25,-146.00000000000168,-84.99999999999064,-435.0000000000023,-139.00000000000023,,-804.9999999999948
2020.05.25,-147.00000000000824,-109.99999999999899,-423.0000000000018,-151.9999999999966,,-832.0000000000057
2020.05.25,-131.00000000001444,-103.99999999999298,-400.99999999999625,-151.9999999999966,,-788.0000000000002
2020.05.25,-96.00000000000719,-65.99999999999939,-277.000000000001,-68.00000000000139,,-507.000000000009
2020.05.25,-99.00000000000463,-84.99999999999064,-218.9999999999941,-85.99999999999719,,-488.9999999999866
2020.05.25,-83.00000000001084,-87.99999999999919,-193.9999999999884,-104.00000000000409,,-469.0000000000025
2020.05.25,-80.00000000001339,-86.99999999999264,-188.99999999999295,-107.00000000000153,,-463.0000000000005
2020.05.25,-55.000000000005045,-94.99999999998954,-195.99999999999795,-37.99999999999359,,-383.99999999998613
2020.05.25,-52.000000000007596,-105.99999999999498,-192.99999999999784,-48.000000000003595,,-399.00000000000404
2020.05.25,-60.99999999999994,-124.99999999999733,-193.9999999999884,-82.99999999999974,,-462.99999999998545
2020.05.25,-66.99999999999484,-137.9999999999937,-193.9999999999884,-102.99999999999754,,-501.9999999999745
2020.05.25,-83.00000000001084,-127.99999999999478,-182.00000000000216,-90.0000000000012,,-483.000000000009
2020.05.25,-120.00000000000898,-152.99999999999204,-171.99999999999704,-63.99999999999739,,-508.99999999999545
2020.05.25,-121.99999999999989,-198.99999999999363,-177.99999999999727,-27.999999999994696,,-526.9999999999854
2020.05.25,-97.00000000001374,-219.99999999999798,-83.99999999998897,12.000000000000899,,-388.9999999999998
2020.05.25,-87.00000000001484,-184.99999999999073,-57.999999999992724,23.00000000000635,,-306.9999999999919
2020.05.25,-49.99999999999449,-159.9999999999935,-93.99999999999409,12.999999999996348,,-290.9999999999857
2020.05.25,-92.00000000000318,-154.99999999999403,-126.99999999999534,7.0000000000014495,,-366.99999999999113
2020.05.25,-90.99999999999665,-198.99999999999363,-217.9999999999893,-37.99999999999359,,-545.9999999999732
2020.05.25,-103.00000000000864,-210.99999999999451,-268.0000000000007,-17.000000000000348,,-599.0000000000042
2020.05.25,-127.00000000001043,-172.99999999998983,-335.9999999999985,-65.00000000000395,,-701.0000000000027
2020.05.25,-143.00000000000423,-170.99999999999892,-327.99999999998875,-2.000000000002,,-643.999999999994
2020.05.25,-143.00000000000423,-161.00000000000003,-316.99999999999307,-26.000000000003798,,-647.000000000001
2020.05.25,-151.9999999999966,-156.99999999999602,-281.9999999999965,-17.000000000000348,,-607.9999999999894
2020.05.25,-171.00000000001003,-136.99999999999824,-405.00000000000114,-73.99999999999629,,-787.0000000000057
2020.05.25,-161.00000000001114,-73.99999999999629,-405.00000000000114,-104.00000000000409,,-744.0000000000127
2020.05.25,-87.00000000001484,-52.99999999999194,-345.9999999999894,-85.99999999999719,,-571.9999999999934
2020.05.25,-69.00000000000794,-57.99999999999139,-370.9999999999951,-95.00000000000064,,-592.9999999999951
2020.05.25,-26.999999999999247,-54.999999999993946,-280.9999999999917,-85.00000000000173,,-447.9999999999866
2020.05.25,-38.0000000000047,-89.99999999999008,-230.99999999999454,-90.99999999999665,,-449.99999999998596
2020.05.25,-25.00000000000835,-115.99999999999389,-246.9999999999999,-97.9999999999981,,-486.0000000000002
2020.05.25,-46.0000000000127,-119.99999999999788,-263.9999999999958,-56.99999999999594,,-487.00000000000233
2020.05.25,-29.999999999996696,-143.9999999999997,-248.99999999999523,-32.999999999994145,,-455.99999999998573
2020.05.25,11.999999999989797,-132.99999999999423,-233.99999999999466,-29.000000000001247,,-384.00000000000034
2020.05.25,-2.999999999997449,-117.99999999999588,-241.99999999999022,-82.00000000000429,,-444.99999999998784
2020.05.25,-18.0000000000069,-124.99999999999733,-248.99999999999523,-121.99999999999989,,-513.9999999999993
2020.05.25,-16.000000000016,-84.99999999999064,-266.9999999999959,-112.99999999999643,,-480.999999999999
2020.05.25,-22.0000000000109,-87.99999999999919,-268.99999999999125,-76.99999999999375,,-455.9999999999951
2020.05.25,-45.000000000006146,-85.99999999999719,-268.0000000000007,-75.9999999999983,,-475.0000000000023
2020.05.25,-48.000000000003595,-97.9999999999981,-287.9999999999967,-114.00000000000298,,-548.0000000000014
2020.05.25,-36.999999999998145,-61.999999999995396,-275.99999999999625,-102.00000000000209,,-476.99999999999187
2020.05.25,-56.000000000011596,-109.99999999999899,-274.0000000000009,-98.99999999999353,,-539.000000000005
2020.05.25,-63.000000000013046,-129.9999999999968,-274.9999999999915,-114.99999999999844,,-582.9999999999998
2020.05.26,-75.00000000000284,-129.9999999999968,-304.00000000000205,-121.99999999999989,,-631.0000000000016
2020.05.26,-43.00000000001525,-105.99999999999498,-272.99999999999613,-78.99999999999574,,-501.0000000000021
2020.05.26,-55.000000000005045,-122.99999999999534,-256.0000000000002,-63.99999999999739,,-497.999999999998
2020.05.26,-41.000000000002146,-128.99999999999022,-269.999999999996,-68.00000000000139,,-507.99999999998977
2020.05.26,-65.00000000000395,-132.99999999999423,-298.0000000000018,-32.999999999994145,,-528.9999999999941
2020.05.26,-87.99999999999919,-154.99999999999403,-289.99999999999204,-80.00000000000229,,-612.9999999999875
2020.05.26,-110.99999999999443,-168.99999999999693,-365.99999999999966,-134.0000000000008,,-779.9999999999918
2020.05.26,-114.99999999999844,-188.9999999999947,-443.9999999999884,-146.99999999999713,,-894.9999999999787
2020.05.26,-120.00000000000898,-195.9999999999962,-593.9999999999941,-219.00000000000253,,-1129.0000000000018
2020.05.26,-124.99999999999733,-208.99999999999253,-628.9999999999907,-248.00000000000378,,-1210.9999999999843
2020.05.26,-120.00000000000898,-181.9999999999933,-605.9999999999945,-253.0000000000032,,-1161.0
2020.05.26,-130.0000000000079,-178.99999999999582,-568.9999999999884,-239.0000000000003,,-1116.9999999999925
2020.05.26,-131.99999999999878,-184.99999999999073,-581.9999999999936,-239.99999999999577,,-1138.9999999999789
2020.05.26,-136.00000000000279,-199.9999999999891,-641.9999999999959,-280.00000000000244,,-1257.9999999999902
2020.05.26,-144.99999999999514,-228.99999999999034,-617.999999999995,-276.9999999999939,,-1268.9999999999743
2020.05.26,-185.00000000001293,-249.99999999999466,-667.0000000000016,-243.00000000000432,,-1345.0000000000134
2020.05.26,-175.99999999999838,-228.99999999999034,-647.9999999999961,-258.9999999999981,,-1311.9999999999832
2020.05.26,-190.00000000000128,-287.9999999999994,-673.9999999999924,-283.99999999999534,,-1435.9999999999886
2020.05.26,-293.99999999999426,-335.99999999999187,-798.9999999999924,-280.9999999999979,,-1709.9999999999766
2020.05.26,-277.00000000001614,-346.9999999999973,-762.999999999991,-298.9999999999937,,-1685.9999999999982
2020.05.26,-265.0000000000041,-328.9999999999904,-848.9999999999895,-361.0000000000002,,-1803.9999999999843
2020.05.26,-268.0000000000016,-286.99999999999284,-841.9999999999987,-402.9999999999978,,-1799.999999999991
2020.05.26,-303.0000000000088,-363.99999999999767,-876.9999999999953,-387.000000000004,,-1931.000000000006
2020.05.26,-334.00000000001205,-359.99999999999363,-958.999999999989,-573.0000000000013,,-2225.999999999996
2020.05.26,-350.00000000000585,-365.99999999999966,-1122.0,-573.9999999999967,,-2412.0000000000023
2020.05.26,-327.99999999999494,-343.9999999999999,-1004.9999999999955,-558.9999999999984,,-2235.9999999999886
2020.05.26,-367.0000000000062,-426.9999999999996,-935.9999999999928,-571.9999999999948,,-2301.9999999999936
2020.05.26,-280.9999999999979,-410.9999999999947,-866.9999999999902,-566.9999999999953,,-2125.999999999978
2020.05.26,-239.99999999999577,-418.9999999999916,-792.9999999999922,-514.0000000000033,,-1965.9999999999827
2020.05.26,-270.99999999999903,-471.99999999999466,-911.9999999999919,-570.9999999999993,,-2225.9999999999845
2020.05.26,-239.00000000001143,-457.99999999999176,-867.999999999995,-531.0000000000036,,-2096.000000000002
2020.05.26,-209.9999999999991,-539.999999999996,-825.9999999999934,-500.00000000000045,,-2075.999999999989
2020.05.26,-205.00000000001074,-583.9999999999957,-894.999999999996,-519.9999999999983,,-2204.0000000000005
2020.05.26,-228.00000000000597,-569.9999999999927,-1054.000000000002,-683.9999999999957,,-2535.9999999999964
2020.05.26,-260.0000000000158,-526.9999999999997,-1110.99999999999,-710.999999999995,,-2609.0000000000005
2020.05.26,-493.0000000000101,-733.9999999999902,-1107.99999999999,-678.0000000000008,,-3012.9999999999914
2020.05.26,-519.0000000000028,-774.9999999999924,-1213.9999999999986,-587.9999999999997,,-3095.999999999993
2020.05.26,-365.0000000000153,-677.9999999999898,-1052.9999999999973,-541.0000000000026,,-2637.000000000005
2020.05.26,-268.0000000000016,-619.9999999999983,-985.99999999999,-512.9999999999968,,-2386.999999999987
2020.05.26,-290.9999999999968,-760.9999999999894,-961.9999999999891,-466.9999999999952,,-2480.999999999971
2020.05.26,-283.000000000011,-773.9999999999969,-1006.0000000000002,-358.9999999999982,,-2422.0000000000064
2020.05.26,-270.00000000001467,-748.9999999999997,-1021.9999999999914,-365.99999999999966,,-2407.0000000000055
2020.05.26,-265.0000000000041,-757.999999999992,-1085.9999999999986,-359.99999999999363,,-2468.999999999988
2020.05.26,-278.00000000000045,-774.9999999999924,-1104.9999999999898,-463.0000000000023,,-2620.999999999985
2020.05.26,-272.00000000000557,-761.999999999996,-1107.99999999999,-483.99999999999557,,-2625.9999999999873
2020.05.26,-256.00000000001177,-730.9999999999927,-1099.9999999999943,-446.00000000000193,,-2533.000000000001
2020.05.26,-258.0000000000027,-659.999999999994,-992.999999999995,-302.0000000000023,,-2212.9999999999936
2020.05.26,-228.00000000000597,-731.9999999999993,-1009.9999999999909,-275.99999999999847,,-2245.9999999999945
2020.05.27,-222.99999999999542,-727.9999999999953,-1042.0000000000016,-165.00000000000404,,-2157.9999999999964
2020.05.27,-226.00000000001506,-720.9999999999939,-1009.0000000000003,-178.99999999999582,,-2135.000000000005
2020.05.27,-212.00000000001216,-695.9999999999966,-953.9999999999935,-214.00000000000307,,-2076.0000000000055
2020.05.27,-219.00000000001364,-694.9999999999901,-942.9999999999978,-231.0000000000034,,-2088.000000000005
2020.05.27,-218.00000000000708,-695.9999999999966,-972.999999999999,-214.00000000000307,,-2101.000000000006
2020.05.27,-214.00000000000307,-675.9999999999989,-942.9999999999978,-241.00000000000233,,-2074.0000000000023
2020.05.27,-188.9999999999947,-676.9999999999943,-902.000000000001,-190.00000000000128,,-1957.9999999999914
2020.05.27,-167.00000000000603,-658.9999999999985,-862.9999999999995,-161.99999999999548,,-1850.9999999999995
2020.05.27,-170.00000000000347,-722.9999999999959,-966.9999999999987,-180.0000000000024,,-2040.0000000000005
2020.05.27,-151.00000000001222,-729.9999999999973,-902.000000000001,-159.9999999999935,,-1943.0000000000039
2020.05.27,-143.00000000000423,-706.999999999991,-795.9999999999923,-124.99999999999733,,-1770.9999999999848
2020.05.27,-117.00000000001154,-722.9999999999959,-716.9999999999987,-134.0000000000008,,-1691.0000000000073
2020.05.27,-124.00000000001299,-751.9999999999972,-741.9999999999902,-117.00000000000044,,-1735.000000000001
2020.05.27,-143.00000000000423,-787.9999999999998,-763.9999999999958,-114.00000000000298,,-1809.0000000000027
2020.05.27,-154.0000000000097,-806.999999999991,-766.9999999999959,-80.99999999999774,,-1808.9999999999943
2020.05.27,-151.00000000001222,-808.9999999999931,-763.9999999999958,-82.00000000000429,,-1806.0000000000052
2020.05.27,-131.99999999999878,-797.9999999999987,-716.9999999999987,-88.99999999999464,,-1735.999999999991
2020.05.27,-133.00000000000534,-794.9999999999901,-718.9999999999941,-120.99999999999334,,-1767.999999999983
2020.05.27,-138.0000000000159,-774.9999999999924,-818.9999999999884,-192.99999999999872,,-1924.9999999999955
2020.05.27,-178.99999999999582,-794.9999999999901,-748.9999999999952,-148.0000000000037,,-1870.9999999999848
2020.05.27,-297.9999999999983,-908.9999999999932,-804.000000000002,-175.99999999999838,,-2186.999999999992
2020.05.27,-510.00000000001046,-1083.9999999999961,-780.0000000000011,-168.99999999999693,,-2543.0000000000045
2020.05.27,-672.0000000000059,-1174.9999999999927,-959.9999999999937,-281.99999999999335,,-3088.9999999999854
2020.05.27,-670.9999999999993,-1206.9999999999914,-863.9999999999901,-265.0000000000041,,-3006.999999999985
2020.05.27,-680.0000000000139,-1293.9999999999952,-1155.0000000000011,-346.0000000000019,,-3475.000000000012
2020.05.27,-1088.0,-1260.99999999999,-1643.0000000000007,-327.99999999999494,,-4319.999999999985
2020.05.27,-1103.0000000000095,-1233.9999999999907,-1661.9999999999918,-331.999999999999,,-4330.999999999991
2020.05.27,-1062.0000000000073,-1202.9999999999984,-1680.9999999999973,-354.9999999999942,,-4300.999999999997
2020.05.27,-1102.000000000003,-1233.9999999999907,-1705.9999999999889,-358.9999999999982,,-4400.999999999981
2020.05.27,-1166.0000000000005,-1264.9999999999939,-1787.9999999999968,-287.9999999999994,,-4506.99999999999
2020.05.27,-1038.0000000000057,-1247.9999999999936,-1709.9999999999936,-185.00000000000182,,-4180.9999999999945
2020.05.27,-1029.9999999999975,-1211.999999999991,-1740.9999999999995,-109.99999999999899,,-4092.999999999987
2020.05.27,-1018.0000000000077,-1144.999999999996,-1649.9999999999914,-31.999999999998696,,-3844.9999999999936
2020.05.27,-967.0000000000067,-1162.9999999999918,-1513.999999999996,73.99999999999629,,-3569.999999999998
2020.05.27,-907.9999999999977,-936.999999999999,-1590.999999999994,16.0000000000049,,-3419.999999999986
2020.05.27,-839.9999999999964,-831.9999999999994,-1515.0000000000005,9.999999999998899,,-3176.9999999999973
2020.05.27,-645.0000000000067,-929.9999999999975,-1263.999999999996,78.00000000000028,,-2760.9999999999995
2020.05.27,-648.0000000000041,-1013.9999999999927,-1277.9999999999916,248.00000000000378,,-2691.9999999999845
2020.05.27,-578.9999999999961,-966.9999999999957,-1207.9999999999984,170.00000000000347,,-2583.9999999999864
2020.05.27,-578.9999999999961,-945.9999999999912,-1164.999999999992,185.00000000000182,,-2504.9999999999773
2020.05.27,-581.0000000000093,-918.999999999992,-1206.9999999999936,146.00000000000168,,-2560.999999999993
2020.05.27,-571.0000000000103,-864.9999999999935,-1238.99999999999,129.9999999999968,,-2544.999999999997
2020.05.27,-615.00000000001,-918.999999999992,-1263.999999999996,141.00000000000225,,-2656.999999999996
2020.05.27,-663.0000000000135,-936.999999999999,-1248.9999999999952,167.00000000000603,,-2682.000000000002
2020.05.27,-692.0000000000038,-977.99999999999,-1322.9999999999932,182.99999999999983,,-2809.999999999987
2020.05.27,-717.000000000012,-1027.9999999999957,-1415.9999999999968,182.99999999999983,,-2978.0000000000045
2020.05.27,-750.0000000000063,-1049.0,-1453.9999999999936,119.99999999999788,,-3133.0000000000023
2020.05.27,-767.0000000000066,-1043.9999999999893,-1512.999999999991,95.99999999999609,,-3227.999999999991
2020.05.28,-788.0000000000109,-1128.9999999999911,-1470.9999999999895,160.00000000000458,,-3227.9999999999873
2020.05.28,-809.9999999999997,-1045.9999999999914,-1483.9999999999945,165.00000000000404,,-3174.9999999999814
2020.05.28,-761.999999999996,-1011.9999999999907,-1479.9999999999898,133.00000000000534,,-3120.999999999971
2020.05.28,-809.0000000000152,-999.9999999999898,-1558.9999999999975,145.00000000000622,,-3222.9999999999964
2020.05.28,-809.9999999999997,-1003.9999999999937,-1575.9999999999934,117.00000000000044,,-3272.9999999999864
2020.05.28,-836.0000000000146,-1001.9999999999918,-1650.9999999999964,119.00000000000244,,-3370.0000000000005
2020.05.28,-838.0000000000055,-1040.999999999992,-1691.0000000000025,73.00000000000084,,-3496.999999999999
2020.05.28,-937.9999999999944,-1078.9999999999966,-1833.999999999989,111.00000000000554,,-3739.9999999999745
2020.05.28,-950.0000000000064,-1078.9999999999966,-1808.9999999999975,161.00000000000003,,-3677.0000000000005
2020.05.28,-941.9999999999984,-1106.9999999999914,-1810.0000000000023,182.00000000000438,,-3676.9999999999877
2020.05.28,-931.9999999999995,-1062.9999999999918,-1805.9999999999973,165.00000000000404,,-3635.9999999999845
2020.05.28,-914.9999999999991,-1054.9999999999948,-1732.99999999999,148.99999999999915,,-3553.9999999999845
2020.05.28,-902.0000000000028,-1028.9999999999911,-1728.999999999999,101.00000000000664,,-3558.9999999999864
