date,GBPUSD,USDJPY,empty,sum
2015.08.10,-1.0000000000065512,-30.000000000001137,,-31.000000000007688
2015.08.10,7.999999999985796,-73.99999999999807,,-66.00000000001228
2015.08.10,21.999999999988695,-151.00000000001046,,-129.00000000002177
2015.08.10,62.99999999999084,-168.00000000000637,,-105.00000000001552
2015.08.10,63.99999999999739,-159.00000000000603,,-95.00000000000864
2015.08.10,8.999999999992347,-186.9999999999976,,-178.00000000000526
2015.08.10,-36.999999999998145,-255.00000000000966,,-292.0000000000078
2015.08.10,-56.000000000011596,-267.0000000000101,,-323.0000000000217
2015.08.10,-36.999999999998145,-262.00000000000045,,-298.9999999999986
2015.08.10,4.000000000004,-207.00000000000784,,-203.00000000000384
2015.08.10,-33.00000000001635,-213.99999999999864,,-247.00000000001498
2015.08.10,-16.000000000016,-210.99999999999852,,-227.00000000001452
2015.08.10,-35.00000000000725,-225.00000000000853,,-260.0000000000158
2015.08.10,-15.00000000000945,-249.00000000000944,,-264.0000000000189
2015.08.10,-1.0000000000065512,-231.99999999999932,,-233.00000000000585
2015.08.10,0.0,-253.0000000000001,,-253.0000000000001
2015.08.10,21.00000000000435,-264.00000000001,,-243.00000000000566
2015.08.10,7.999999999985796,-245.00000000000455,,-237.00000000001876
2015.08.10,24.000000000001798,-302.99999999999727,,-278.99999999999545
2015.08.10,17.999999999984695,-355.000000000004,,-337.00000000001927
2015.08.10,55.99999999998939,-374.00000000000944,,-318.00000000002007
2015.08.10,97.9999999999981,-335.9999999999985,,-238.00000000000043
2015.08.10,-92.00000000000318,-364.0000000000043,,-456.0000000000075
2015.08.10,-138.0000000000159,-368.0000000000092,,-506.0000000000251
2015.08.10,-174.00000000000747,-564.9999999999977,,-739.0000000000052
2015.08.10,-255.00000000000523,-594.9999999999989,,-850.0000000000041
2015.08.10,-262.00000000000665,-615.0000000000091,,-877.0000000000157
2015.08.10,-250.00000000001688,-634.0000000000003,,-884.0000000000173
2015.08.10,-185.00000000001293,-626.0000000000048,,-811.0000000000177
2015.08.10,17.999999999984695,-511.0000000000099,,-493.0000000000252
2015.08.10,66.99999999999484,-582.9999999999984,,-516.0000000000035
2015.08.10,4.999999999988347,-564.0000000000072,,-559.0000000000189
2015.08.10,82.00000000000429,-572.0000000000027,,-489.9999999999984
2015.08.10,198.99999999999363,-538.0000000000109,,-339.0000000000173
2015.08.10,344.99999999999534,-557.0000000000022,,-212.00000000000682
2015.08.10,367.99999999999056,-487.99999999999955,,-120.00000000000898
2015.08.10,526.0000000000042,-438.0000000000024,,88.00000000000182
2015.08.10,507.9999999999973,-409.000000000006,,98.9999999999913
2015.08.10,566.9999999999842,-456.00000000000307,,110.99999999998113
2015.08.10,807.9999999999865,-469.99999999999886,,337.9999999999876
2015.08.10,1031.000000000004,-421.0000000000065,,609.9999999999976
2015.08.10,976.9999999999834,-451.9999999999982,,524.9999999999852
2015.08.10,1039.9999999999966,-475.0000000000085,,564.9999999999881
2015.08.10,1017.9999999999856,-478.9999999999992,,538.9999999999864
2015.08.10,1007.0000000000024,-481.00000000000875,,525.9999999999936
2015.08.10,1018.9999999999922,-481.00000000000875,,537.9999999999834
2015.08.10,1003.9999999999827,-439.9999999999977,,563.999999999985
2015.08.10,987.0000000000045,-478.00000000000864,,508.9999999999959
2015.08.11,978.9999999999966,-462.0000000000033,,516.9999999999933
2015.08.11,1007.9999999999867,-450.00000000000284,,557.9999999999839
2015.08.11,980.0000000000031,-441.0000000000025,,539.0000000000006
2015.08.11,950.9999999999908,-424.99999999999716,,525.9999999999936
2015.08.11,975.9999999999991,-416.000000000011,,559.9999999999881
2015.08.11,959.9999999999831,-492.00000000000443,,467.9999999999786
2015.08.11,997.0000000000034,-505.00000000000966,,491.99999999999375
2015.08.11,1017.0000000000013,-493.0000000000092,,523.999999999992
2015.08.11,868.000000000002,-739.0000000000043,,128.99999999999773
2015.08.11,802.9999999999982,-731.9999999999993,,70.99999999999886
2015.08.11,807.9999999999865,-739.0000000000043,,68.99999999998215
2015.08.11,741.9999999999982,-648.0000000000103,,93.99999999998784
2015.08.11,747.9999999999931,-609.0000000000089,,138.9999999999842
2015.08.11,739.0000000000008,-585.000000000008,,153.99999999999284
2015.08.11,802.9999999999982,-561.9999999999976,,241.00000000000057
2015.08.11,809.9999999999997,-579.0000000000077,,230.99999999999193
2015.08.11,801.9999999999916,-612.9999999999995,,188.99999999999204
2015.08.11,766.0,-692.9999999999978,,73.00000000000216
2015.08.11,870.9999999999995,-680.9999999999974,,190.00000000000216
2015.08.11,706.999999999991,-785.0000000000108,,-78.00000000001978
2015.08.11,706.999999999991,-924.0000000000066,,-217.00000000001558
2015.08.11,1044.0000000000005,-698.9999999999981,,345.0000000000024
2015.08.11,1001.9999999999918,-763.0000000000052,,238.99999999998658
2015.08.11,1095.999999999986,-740.0000000000091,,355.9999999999768
2015.08.11,947.9999999999933,-722.999999999999,,224.99999999999432
2015.08.11,956.9999999999857,-776.0000000000105,,180.99999999997522
2015.08.11,922.999999999985,-722.999999999999,,199.99999999998602
2015.08.11,848.0000000000043,-828.000000000003,,20.000000000001364
2015.08.11,902.0000000000028,-826.9999999999982,,75.00000000000466
2015.08.11,948.9999999999999,-793.0000000000064,,155.99999999999352
2015.08.11,1022.9999999999961,-780.0000000000011,,242.999999999995
2015.08.11,828.9999999999909,-816.0000000000025,,12.999999999988404
2015.08.11,885.0000000000025,-756.0000000000002,,129.00000000000227
2015.08.11,790.0000000000018,-737.000000000009,,52.99999999999284
2015.08.11,832.9999999999949,-791.000000000011,,41.99999999998386
