date,GBPUSD,USDJPY,USDCAD,AUDUSD,NZDUSD,CHFJPY,CADCHF,AUDCHF,GBPJPY,GBPCAD,EURJPY,EURNZD,CADJPY,NZDJPY,NZDCAD,empty,sum
2016.11.28,-215.00000000000963,-11.00000000000989,0.0,-53.999999999998494,-109.99999999999899,-12.000000000000455,-132.99999999999423,-309.0000000000037,-117.999999999995,-414.00000000000324,-35.0000000000108,-256.00000000001177,-20.000000000010232,-52.00000000000671,-297.00000000000284,,-2036.000000000056
2016.11.28,-136.00000000000279,-36.000000000001364,191.99999999999218,-71.99999999999429,-97.9999999999981,-99.00000000000375,-105.99999999999498,-323.0000000000066,90.99999999997976,-489.99999999999045,-139.00000000001,-268.0000000000016,-88.00000000000807,-10.000000000005116,-290.00000000000136,,-1872.0000000000464
2016.11.28,-124.99999999999733,49.99999999999716,211.99999999998997,-32.999999999994145,-52.000000000007596,-19.99999999999602,-143.9999999999997,-339.0000000000004,180.99999999998317,-697.9999999999986,-78.00000000000296,-121.00000000001555,-124.00000000000944,21.99999999999136,-300.99999999999574,,-1570.0000000000557
2016.11.28,-246.99999999999721,-215.0000000000034,225.00000000000853,-36.999999999998145,-75.00000000000284,-177.0000000000067,-63.00000000000195,-294.00000000000534,9.999999999990905,-692.0000000000038,-224.00000000000375,-24.000000000001798,-234.00000000000887,-100.00000000000853,-270.99999999999903,,-2418.000000000042
2016.11.28,-323.0000000000066,-335.00000000000796,120.99999999999334,-85.00000000000173,-121.00000000000443,-147.99999999999613,-51.000000000001044,-267.00000000000614,-100.99999999999909,-658.9999999999874,-222.0000000000084,-12.999999999996348,-258.0000000000098,-126.00000000000477,-283.99999999999534,,-2872.000000000032
2016.11.28,-292.00000000000335,-581.0000000000031,107.99999999999699,-104.99999999999955,-178.00000000000037,-311.9999999999976,-30.999999999992145,-241.99999999999778,-584.0000000000032,-621.0000000000049,-391.00000000000534,-22.0000000000109,-432.00000000000216,-227.00000000000387,-356.9999999999962,,-4267.000000000024
2016.11.28,-310.0000000000103,-850.0000000000085,4.000000000004,-29.000000000001247,-185.00000000000182,-515.0000000000006,-10.999999999994348,-118.00000000000699,-770.0000000000102,-461.99999999998465,-585.000000000008,55.99999999998939,-570.0000000000074,-442.0000000000073,-285.9999999999974,,-5073.0000000000455
2016.11.28,-320.00000000000915,-1070.0000000000073,-92.00000000000318,-109.99999999999899,-268.0000000000016,-643.0000000000007,-13.999999999991797,-104.99999999999955,-997.0000000000141,-388.9999999999949,-743.0000000000092,96.99999999999153,-681.0000000000116,-545.0000000000017,-294.00000000000534,,-6174.000000000058
2016.11.28,-540.0000000000072,-1251.0000000000048,-232.00000000000998,-295.99999999999625,-367.0000000000062,-780.0000000000011,4.999999999999449,-185.99999999999727,-1171.999999999997,-488.9999999999839,-853.0000000000086,71.99999999998319,-770.0000000000102,-605.000000000004,-375.9999999999986,,-7840.000000000041
2016.11.28,-754.0000000000102,-1443.000000000012,-340.9999999999913,-346.9999999999973,-494.00000000000557,-855.000000000004,-63.00000000000195,-236.99999999999832,-1072.0000000000027,-642.9999999999936,-793.0000000000064,-131.00000000001444,-793.0000000000064,-524.0000000000009,-453.99999999999886,,-8944.000000000042
