date,USDCHF,EURUSD,USDCAD,AUDUSD,GBPCHF,EURCHF,CHFJPY,CADCHF,AUDCHF,NZDCHF,EURGBP,EURAUD,EURNZD,CADJPY,AUDJPY,AUDCAD,NZDCAD,empty,sum
2015.02.23,-20.999999999993246,-82.00000000000429,-28.999999999990145,-35.999999999991594,-41.000000000002146,-28.999999999990145,-141.9999999999959,-21.00000000000435,-73.00000000000084,-37.00000000000925,-22.999999999995246,-51.000000000001044,-201.00000000000674,-82.99999999999841,-91.99999999999875,-24.999999999997247,-48.99999999999905,,-1034.9999999999784
2015.02.23,4.000000000004,-158.99999999999804,-36.999999999998145,-95.00000000000064,85.99999999998609,45.000000000006146,-126.99999999999534,9.999999999998899,4.999999999999449,39.00000000000014,-61.999999999995396,-82.00000000000429,-217.0000000000005,-72.00000000000273,-118.99999999999977,3.0000000000085514,1.0000000000065512,,-776.9999999999851
2015.02.23,65.99999999999939,-174.00000000000747,-41.000000000002146,-73.99999999999629,154.99999999999403,194.0000000000053,-45.000000000001705,78.00000000000028,60.99999999999994,40.99999999999105,-57.99999999999139,-129.00000000000134,-281.0000000000201,-62.00000000001182,-108.99999999999466,-5.999999999994898,-61.999999999995396,,-446.0000000000272
2015.02.23,-1.999999999990898,-153.00000000000313,-66.99999999999484,-81.9999999999932,92.99999999998754,89.00000000000574,-58.000000000006935,32.999999999994145,14.000000000002899,-14.000000000002899,-39.00000000000014,-124.99999999999733,-197.00000000000273,-90.00000000000341,-114.00000000000432,-19.999999999997797,-78.99999999999574,,-811.000000000003
2015.02.23,-36.999999999998145,-360.9999999999891,-180.99999999998673,-142.99999999999312,113.99999999999189,138.0000000000159,-61.99999999999761,34.000000000000696,9.00000000000345,-9.00000000000345,-113.99999999999189,-235.99999999999176,-352.000000000019,-118.99999999999977,-138.9999999999958,-32.999999999994145,-68.99999999999685,,-1559.999999999945
2015.02.23,-35.999999999991594,-307.99999999999716,-200.00000000000017,-119.99999999999788,136.99999999998712,186.0000000000195,-103.00000000000864,85.99999999999719,51.99999999999649,78.99999999999574,-97.9999999999981,-147.00000000000824,-189.00000000001694,-166.00000000001103,-198.99999999999807,-31.999999999998696,-34.000000000000696,,-1092.000000000031
2015.02.23,21.999999999999797,-201.99999999999108,-184.00000000000637,-178.99999999999582,193.99999999998306,184.00000000000637,-93.00000000000352,87.99999999999919,97.00000000000264,122.99999999999534,-39.999999999995595,-39.999999999995595,-12.000000000012001,-178.00000000001148,-245.9999999999951,-13.999999999991797,-24.999999999997247,,-505.0000000000092
2015.02.23,-45.99999999999049,-182.99999999999983,-222.99999999999542,-122.99999999999534,139.00000000000023,120.00000000000898,-117.999999999995,95.99999999999609,14.999999999998348,53.999999999998494,-17.999999999995797,-113.99999999999189,-78.00000000000028,-203.00000000000296,-143.00000000000068,-129.9999999999968,-84.99999999999064,,-1039.999999999953
2015.02.23,-127.99999999999478,-170.00000000000347,-224.99999999998633,-75.9999999999983,-32.0000000000098,-83.9999999999952,-230.00000000000398,39.00000000000014,-68.99999999999685,-40.00000000000669,20.0000000000089,-156.00000000000057,-147.00000000000824,-197.00000000000273,-102.99999999999443,-156.99999999999602,-134.0000000000008,,-1888.999999999989
2015.02.23,-271.9999999999945,-85.00000000000173,-245.99999999999068,-115.99999999999389,-270.00000000001467,-242.99999999999324,-471.00000000000364,-65.00000000000395,-151.9999999999966,-133.00000000000534,24.000000000001798,46.999999999997044,-4.000000000004,-246.00000000000932,-183.9999999999975,-125.99999999999278,-131.99999999999878,,-2674.0000000000014
