date,GBPUSD,EURUSD,USDJPY,AUDUSD,NZDUSD,GBPCHF,AUDCHF,NZDCHF,EURGBP,GBPJPY,GBPAUD,EURAUD,empty,sum
2016.08.08,-124.99999999999733,-26.999999999999247,-37.00000000000614,-87.00000000000374,-20.0000000000089,-482.00000000000466,-1.999999999990898,-39.999999999995595,-1.0000000000065512,-82.99999999999841,-364.00000000000875,-434.9999999999854,,-1703.0000000000057
2016.08.08,-83.00000000001084,29.999999999996696,-70.99999999999795,-123.00000000000644,-187.9999999999993,-373.00000000000114,20.0000000000089,-66.99999999999484,43.999999999999595,-85.00000000000796,-495.000000000001,-442.9999999999934,,-1834.000000000008
2016.08.08,-63.99999999999739,2.999999999997449,-124.00000000000944,-126.99999999999933,-177.00000000000495,-340.00000000000693,64.0000000000085,-34.000000000000696,56.99999999999594,-115.0000000000091,-450.00000000001705,-400.00000000000034,,-1707.0000000000432
2016.08.08,-39.00000000001125,39.00000000001125,-326.9999999999982,-96.00000000000719,-182.99999999999983,-293.0000000000099,74.00000000000739,-60.00000000000449,88.99999999999464,-405.00000000000114,-424.00000000000216,-456.9999999999963,,-2082.0000000000173
2016.08.08,-76.0000000000094,79.99999999999119,-293.99999999999693,-97.00000000000264,-197.00000000000273,-329.00000000000153,60.99999999999994,-87.00000000000374,85.99999999999719,-427.99999999999727,-452.00000000000796,-482.999999999989,,-2216.0000000000227
2016.08.08,-130.99999999999224,60.99999999999994,-320.99999999999795,-43.00000000000415,-175.00000000000293,-405.9999999999952,140.0000000000068,-31.999999999998696,42.999999999993044,-444.9999999999932,-411.0000000000058,-339.99999999998477,,-2059.9999999999754
2016.08.08,-178.99999999999582,35.00000000000725,-155.00000000000114,-28.000000000005798,-155.00000000000514,-419.0000000000138,152.00000000000767,-12.999999999996348,21.999999999999797,-325.9999999999934,-438.00000000000506,-293.99999999999426,,-1797.9999999999961
2016.08.08,-163.00000000000205,8.000000000008,-210.99999999999852,-137.00000000000932,-201.00000000000674,-443.99999999999994,47.00000000000814,-65.00000000000395,5.999999999994898,-365.0000000000091,-646.9999999999976,-465.99999999998863,,-2638.0000000000045
2016.08.08,-147.00000000000824,32.999999999994145,-207.00000000000784,-124.00000000000189,-242.00000000000887,-412.9999999999967,63.00000000000195,-122.99999999999534,14.999999999998348,-382.000000000005,-636.0000000000143,-448.000000000004,,-2611.0000000000477
2016.08.08,-191.00000000000784,89.99999999999008,-213.00000000000807,-157.00000000000713,-458.00000000000284,-356.00000000000074,-24.999999999997247,-370.00000000000364,41.000000000002146,-435.0000000000023,-728.0000000000175,-580.0000000000027,,-3382.000000000058
2016.08.08,-249.00000000001032,121.99999999999989,-216.99999999999875,-92.00000000000318,-287.0000000000039,-364.9999999999931,20.0000000000089,-221.99999999999997,31.000000000003247,-490.0000000000091,-666.000000000011,-497.99999999999847,,-2913.0000000000164
