date,USDCHF,USDJPY,GBPCHF,CHFJPY,AUDCHF,NZDCHF,EURGBP,GBPJPY,EURJPY,EURNZD,CADJPY,AUDJPY,NZDJPY,AUDCAD,empty,sum
2016.12.05,229.99999999999687,-3.0000000000001137,218.00000000000708,-102.00000000000387,92.00000000000318,151.00000000000114,212.99999999999653,144.00000000000546,-510.0000000000051,235.99999999999176,-3.9999999999906777,22.00000000000557,-28.000000000005798,-7.9999999999968985,,651.0000000000051
2016.12.05,541.9999999999981,-166.99999999998738,202.9999999999976,-597.999999999999,63.99999999999739,73.00000000000084,273.9999999999965,-503.9999999999907,-1161.9999999999918,147.99999999999258,-275.99999999999625,-385.0000000000051,-477.00000000000387,-121.99999999999989,,-2386.999999999991
2016.12.05,485.99999999998647,26.00000000001046,313.00000000000773,-358.0000000000041,134.99999999999625,275.99999999999847,338.00000000000495,-85.00000000000796,-890.0000000000006,506.0000000000064,-214.9999999999892,-125.0,-82.00000000000784,107.00000000000153,,432.0000000000027
2016.12.05,348.9999999999993,325.00000000000284,323.0000000000066,100.99999999999909,183.99999999999528,-92.99999999999864,222.99999999999542,504.99999999999545,-259.00000000000034,-417.0000000000007,143.00000000000068,266.9999999999959,-147.00000000000557,154.0000000000097,,1657.9999999999952
2016.12.05,432.9999999999945,473.0000000000132,575.0000000000144,168.99999999999693,81.9999999999932,-85.00000000000173,339.99999999999585,858.0000000000041,-134.00000000000034,-468.00000000000176,180.00000000000682,203.00000000000296,-100.99999999999909,38.0000000000047,,2563.0000000000236
2016.12.05,451.0000000000014,532.0000000000107,615.00000000001,215.99999999999397,183.99999999999528,-58.99999999999794,331.999999999999,949.0000000000123,-45.99999999999227,-493.0000000000101,215.0000000000034,343.0000000000035,-44.00000000001114,167.00000000000603,,3362.000000000024
2016.12.05,394.00000000000546,530.0000000000011,707.0000000000132,277.000000000001,193.99999999999417,-110.99999999999443,375.9999999999986,1133.9999999999861,34.000000000006025,-626.9999999999998,242.00000000000443,400.99999999999625,-58.000000000006935,202.0000000000022,,3695.000000000008
2016.12.05,499.9999999999893,579.0000000000077,697.0000000000143,207.9999999999984,149.99999999999457,-95.00000000000064,390.0000000000015,1031.000000000006,-67.99999999999784,-556.0000000000009,216.00000000000819,299.99999999999716,-88.99999999999864,115.00000000000954,,3378.000000000029
2016.12.05,512.0000000000014,443.00000000001205,529.0000000000017,57.00000000000216,188.9999999999947,-153.99999999999858,302.9999999999977,663.9999999999873,-256.0000000000002,-649.999999999995,106.99999999999932,230.00000000000398,-272.00000000000557,162.0000000000066,,1864.0000000000075
2016.12.05,544.9999999999955,467.00000000001296,602.999999999998,43.99999999999693,214.99999999999852,-0.999999999995449,326.9999999999995,709.0000000000032,-246.9999999999999,-357.00000000000733,128.0000000000001,251.00000000000477,-102.00000000000387,160.00000000000458,,2742.0000000000073
2016.12.05,615.9999999999943,363.00000000001376,817.000000000001,-129.99999999999545,398.9999999999938,160.00000000000458,495.9999999999964,731.9999999999993,-480.99999999999454,34.000000000000696,76.99999999999818,319.0000000000026,-49.000000000006594,298.0000000000094,,3651.0000000000177
2016.12.05,592.9999999999991,260.0000000000051,896.000000000008,-209.99999999999375,448.9999999999994,257.0000000000072,531.0000000000036,730.9999999999945,-531.9999999999965,194.0000000000053,61.99999999999761,319.0000000000026,1.9999999999953388,317.0000000000006,,3869.0000000000286
2016.12.05,590.999999999986,342.00000000001296,812.0000000000127,-126.00000000000477,492.999999999999,218.00000000000708,507.0000000000019,730.9999999999945,-489.0000000000043,167.9999999999904,118.00000000000921,429.9999999999926,21.99999999999136,383.0,,4199.999999999989
2016.12.05,549.9999999999839,363.00000000001376,788.0000000000109,-60.000000000002274,461.0000000000003,212.00000000000108,477.0000000000052,783.9999999999918,-393.0000000000007,136.00000000000279,174.99999999999716,441.99999999999307,60.000000000002274,326.9999999999995,,4321.999999999998
2016.12.05,444.9999999999843,330.0000000000125,689.0000000000063,21.000000000000796,327.99999999999494,157.00000000000713,427.99999999999505,794.0000000000111,-326.9999999999982,45.000000000006146,176.00000000000193,355.99999999999454,60.99999999999284,228.00000000000597,,3731.000000000016
2016.12.05,417.0000000000007,251.00000000000477,615.00000000001,-25.000000000005684,312.9999999999966,148.0000000000037,360.0000000000048,646.9999999999914,-349.00000000000375,-12.999999999996348,155.00000000000114,302.99999999999727,15.999999999991132,192.00000000000327,,3029.9999999999986
2016.12.05,475.0000000000032,330.0000000000125,734.9999999999968,-12.000000000000455,273.000000000001,143.9999999999997,448.000000000004,793.0000000000064,-352.00000000000387,-2.0000000000131024,147.00000000000557,271.0000000000008,18.999999999991246,163.00000000000205,,3432.0000000000055
2016.12.05,417.0000000000007,195.0000000000074,617.0000000000009,-81.00000000000307,203.99999999999307,165.00000000000404,343.9999999999999,579.0000000000077,-393.0000000000007,15.999999999993797,66.0000000000025,141.9999999999959,-5.000000000009663,103.00000000000864,,2369.0000000000014
2016.12.05,295.0000000000008,625.0,592.0000000000148,480.99999999999454,188.9999999999947,30.000000000007798,265.0000000000041,1272.9999999999961,304.00000000000205,-380.00000000000256,396.0000000000008,542.0000000000016,246.9999999999999,191.00000000000784,,5050.000000000023
2016.12.05,231.0000000000034,712.0000000000033,455.0000000000054,644.999999999996,58.000000000002494,-81.9999999999932,112.99999999999643,1326.9999999999982,564.9999999999977,-740.9999999999917,426.00000000000193,518.0000000000007,231.99999999999932,128.00000000000588,,4587.000000000025
