date,GBPUSD,EURUSD,USDJPY,NZDUSD,empty,sum
2015.07.20,-120.99999999999334,-34.000000000000696,-115.0000000000091,-21.999999999999797,,-292.0000000000029
2015.07.20,-96.00000000000719,-52.000000000007596,-103.9999999999992,2.000000000002,,-250.000000000012
2015.07.20,-35.00000000000725,-32.0000000000098,-103.00000000000864,9.999999999998899,,-160.0000000000268
2015.07.20,-14.999999999987246,21.999999999988695,-73.99999999999807,60.99999999999994,,-5.999999999996675
2015.07.20,36.0000000000138,-19.999999999997797,-97.00000000000841,31.000000000003247,,-49.999999999989164
2015.07.20,-24.999999999986144,-59.000000000009045,-130.00000000000966,-39.00000000000014,,-253.000000000005
2015.07.20,2.0000000000131024,-60.000000000015596,-118.99999999999977,-56.0000000000005,,-233.00000000000279
2015.07.20,46.999999999997044,-46.0000000000127,-96.00000000000364,-39.00000000000014,,-134.00000000001944
2015.07.20,-35.00000000000725,-77.00000000001594,-125.0,46.999999999997044,,-190.00000000002615
2015.07.20,-123.99999999999079,-116.00000000000499,-128.0000000000001,-43.00000000000415,,-411.00000000000006
2015.07.20,-113.99999999999189,-130.0000000000079,-135.00000000000512,-32.999999999994145,,-411.99999999999903
2015.07.20,-173.99999999998528,-111.00000000001664,-157.0000000000107,-95.00000000000064,,-537.0000000000133
2015.07.20,-180.0000000000024,-134.00000000001188,-152.00000000000102,-110.99999999999443,,-577.0000000000098
2015.07.20,-112.000000000001,-128.000000000017,-157.0000000000107,-104.00000000000409,,-501.00000000003274
2015.07.20,-123.99999999999079,-124.00000000001299,-158.00000000000125,-46.00000000000159,,-452.0000000000066
2015.07.20,-123.00000000000644,-99.00000000000463,-127.00000000000955,226.00000000000398,,-123.00000000001666
2015.07.20,-73.99999999999629,-97.00000000001374,-147.00000000000557,456.9999999999963,,138.99999999998073
2015.07.20,-103.99999999999298,-97.00000000001374,-149.0000000000009,472.00000000000574,,121.99999999999812
2015.07.20,-80.99999999999774,-90.99999999999665,-125.0,507.0000000000019,,210.0000000000075
2015.07.20,-29.999999999996696,-24.000000000001798,-114.00000000000432,600.0000000000006,,431.9999999999977
2015.07.20,90.99999999999665,75.00000000000284,-93.00000000000352,585.0000000000022,,657.9999999999982
