date,USDCAD,EURCHF,GBPJPY,EURJPY,EURNZD,AUDCAD,NZDCAD,AUDNZD,empty,sum
2019.07.01,-56.99999999999594,0.0,0.0,0.0,-377.9999999999894,-3.999999999992898,-134.99999999999625,-37.99999999998249,,-611.999999999957
2019.07.01,-55.99999999998939,195.9999999999962,289.0000000000157,275.0000000000057,-272.99999999998994,92.00000000000318,24.000000000001798,36.0000000000138,,583.000000000057
2019.07.01,-65.00000000000395,195.9999999999962,310.0000000000023,283.00000000000125,-191.99999999999218,33.000000000005244,-17.999999999995797,28.000000000005798,,575.0000000000189
2019.07.01,-90.99999999999665,279.99999999999136,558.0000000000211,502.00000000000955,-136.99999999998712,67.00000000000594,12.000000000000899,36.0000000000138,,1227.0000000000591
2019.07.01,-59.99999999999339,304.9999999999997,604.0000000000134,516.0000000000053,-217.0000000000005,63.99999999999739,54.999999999993946,-11.999999999989797,,1255.0000000000261
2019.07.01,-99.00000000000463,273.9999999999965,543.0000000000064,439.00000000000716,-266.999999999995,55.000000000005045,75.00000000000284,-42.999999999993044,,977.0000000000252
2019.07.01,-96.99999999999153,231.99999999998778,358.0000000000041,262.00000000000045,-275.9999999999874,-29.999999999996696,36.0000000000027,-121.99999999999989,,363.00000000001955
2019.07.01,-127.99999999999478,201.99999999999108,281.0000000000059,152.00000000000102,-236.99999999999832,-119.00000000000244,-29.999999999996696,-136.99999999998712,,-15.999999999981384
2019.07.01,-133.00000000000534,237.99999999998266,332.00000000002206,212.0000000000033,-116.99999999998934,-159.9999999999935,-134.99999999999625,-112.99999999998533,,124.00000000003831
2019.07.01,-173.99999999998528,239.99999999999577,181.0000000000116,4.0000000000048885,-4.999999999988347,-264.999999999993,-158.0000000000026,-143.99999999998857,,-320.99999999994554
2019.07.01,-177.99999999998929,285.99999999998624,298.0000000000018,88.00000000000807,25.00000000000835,-200.99999999999562,-138.00000000000477,-92.99999999998754,,87.00000000002719
2019.07.01,-184.99999999999073,319.999999999987,403.00000000002,140.00000000000057,-26.999999999999247,-156.99999999999602,-75.00000000000284,-98.99999999998244,,320.0000000000363
2019.07.01,-143.00000000000423,347.9999999999928,433.00000000002115,168.99999999999693,-75.99999999998718,-143.9999999999997,-75.00000000000284,-83.9999999999952,,428.0000000000217
2019.07.01,-168.99999999999693,370.999999999988,439.9999999999977,179.00000000000205,-60.99999999999994,-171.99999999999437,-99.00000000000463,-105.99999999998388,,383.0000000000081
2019.07.01,-175.99999999999838,461.99999999998465,463.99999999999864,209.00000000000318,-79.00000000000685,-166.99999999999494,-70.0000000000034,-134.99999999999625,,507.9999999999867
2019.07.01,-182.99999999999983,437.99999999998283,451.0000000000218,162.9999999999967,-96.99999999999153,-166.99999999999494,-53.00000000000304,-144.99999999999514,,407.0000000000168
2019.07.01,-261.0000000000001,282.9999999999888,338.0000000000223,-39.00000000000148,-232.99999999999432,-248.99999999999923,-139.99999999999568,-129.99999999998568,,-430.99999999996544
2019.07.01,-262.00000000000665,286.99999999999284,341.0000000000082,-31.999999999996476,-197.00000000000273,-251.99999999999667,-143.9999999999997,-129.99999999998568,,-388.99999999998687
2019.07.01,-224.99999999998633,394.9999999999898,406.0000000000059,48.00000000000182,-156.00000000000057,-265.99999999999955,-175.00000000000293,-117.99999999999588,,-90.99999999998766
2019.07.01,-222.99999999999542,387.99999999998835,426.00000000001614,142.00000000001012,-144.99999999999514,-280.9999999999979,-190.00000000000128,-104.99999999999955,,12.00000000002538
2019.07.01,-238.0000000000049,310.9999999999946,314.0000000000214,33.00000000000125,-343.99999999998875,-283.99999999999534,-204.99999999999963,-98.99999999998244,,-511.9999999999538
2019.07.01,-150.00000000000568,314.99999999999864,93.00000000001774,-57.00000000000216,-330.9999999999924,-269.9999999999925,-207.99999999999707,-109.99999999998789,,-717.9999999999613
2019.07.01,-174.99999999999181,326.0000000000041,-6.9999999999765805,-60.99999999999284,-292.9999999999877,-261.0000000000001,-197.99999999999818,-142.99999999998204,,-811.9999999999252
2019.07.01,-211.00000000000563,384.9999999999909,-173.99999999997817,-39.00000000000148,-363.9999999999866,-234.99999999999633,-121.00000000000443,-183.99999999998417,,-942.9999999999659
2019.07.01,-249.99999999999466,392.9999999999989,-244.99999999997613,-105.99999999999454,-384.00000000000654,-212.00000000000108,-89.00000000000574,-200.00000000000017,,-1092.99999999998
2019.07.01,-261.0000000000001,329.00000000000153,-177.99999999999727,-104.99999999998977,-290.9999999999968,-195.9999999999962,-111.00000000000554,-112.99999999998533,,-925.9999999999695
2019.07.01,-251.99999999998556,323.99999999999096,-109.99999999998522,-49.99999999999716,-234.99999999998522,-224.9999999999974,-136.00000000000279,-99.99999999998899,,-783.9999999999515
2019.07.01,-258.99999999998704,327.99999999999494,-216.99999999998454,-6.000000000000227,-163.00000000000205,-242.99999999999324,-156.99999999999602,-101.99999999997988,,-818.999999999948
2019.07.01,-197.00000000000273,343.99999999998875,-257.99999999998136,25.99999999999625,-35.00000000000725,-264.999999999993,-199.00000000000472,-110.99999999999443,,-694.9999999999985
2019.07.01,-146.99999999998602,363.0000000000022,-161.00000000000136,186.00000000000705,117.00000000001154,-286.99999999999284,-197.00000000000273,-108.99999999998133,,-234.99999999994347
2019.07.01,-207.99999999998596,385.99999999999744,-76.99999999999818,207.00000000000784,136.00000000000279,-298.9999999999937,-192.99999999999872,-112.99999999998533,,-160.99999999995381
2019.07.01,-177.00000000000495,468.00000000000176,84.00000000000318,222.0000000000084,171.00000000001003,-303.9999999999932,-231.99999999999886,-103.99999999999298,,128.0000000000334
