date,EURUSD,USDJPY,USDCAD,AUDUSD,GBPCHF,EURCHF,CHFJPY,CADCHF,AUDCHF,NZDCHF,GBPJPY,GBPCAD,GBPAUD,EURNZD,CADJPY,AUDJPY,NZDJPY,empty,sum
2017.12.18,-45.000000000006146,-415.9999999999968,-54.0000000000207,-12.000000000000899,-305.9999999999841,-31.999999999987594,-506.0000000000002,0.0,-10.999999999994348,-0.999999999995449,-165.00000000002046,-2.999999999997449,-232.99999999999432,-45.000000000006146,-343.0000000000035,-265.00000000000057,-284.9999999999966,,-2722.0000000000055
2017.12.18,-49.00000000001015,-177.0000000000067,-71.00000000002105,-49.99999999999449,-297.9999999999983,-46.999999999997044,-243.99999999999977,104.99999999999955,95.00000000000064,116.00000000000499,-31.00000000000591,112.000000000001,-165.9999999999995,-58.000000000002494,-129.0000000000049,-117.999999999995,-89.9999999999892,,-1100.0000000000182
2017.12.18,-72.99999999998974,-100.00000000000853,-60.000000000015596,-53.00000000000304,-365.99999999999966,-92.99999999998754,-169.00000000001114,136.99999999999824,145.00000000000622,121.00000000000443,-116.00000000001387,115.99999999998278,-143.00000000000423,-160.99999999998892,-49.000000000006594,-40.99999999999682,-37.9999999999967,,-943.0000000000308
2017.12.18,-42.999999999993044,-52.00000000000671,-97.00000000001374,-46.999999999997044,-380.9999999999869,-58.99999999998684,-75.00000000000284,143.9999999999997,148.0000000000037,158.0000000000026,-135.00000000001933,193.99999999998306,-180.0000000000024,-66.99999999999484,-18.000000000000682,2.0000000000095497,7.000000000005002,,-501.00000000000085
2017.12.18,-35.999999999991594,-10.000000000005116,-150.00000000000568,-43.999999999999595,-424.99999999998647,-129.00000000000134,-93.00000000000352,128.00000000000588,117.00000000000044,157.00000000000713,-165.99999999999682,183.99999999998417,-205.99999999999508,-109.00000000000354,-18.000000000000682,-22.999999999996135,16.000000000005343,,-806.9999999999825
2017.12.18,-110.00000000001009,-5.000000000009663,-118.00000000001809,-2.000000000002,-518.9999999999806,-153.9999999999875,-72.00000000000273,143.00000000000423,104.00000000000409,194.0000000000053,-338.0000000000223,214.99999999998744,-373.00000000000114,-116.99999999998934,-5.000000000009663,-33.999999999991815,65.00000000001194,,-1126.0000000000118
2017.12.18,-123.00000000000644,-52.99999999999727,-68.00000000000139,-39.00000000000014,-454.9999999999832,-126.99999999998823,-50.00000000001137,151.00000000000114,113.00000000000753,189.00000000000583,-257.000000000005,285.00000000000193,-327.00000000001063,-90.99999999999665,4.9999999999954525,-25.99999999999625,39.00000000000148,,-833.9999999999832
2017.12.18,-134.99999999999625,-85.99999999999852,-74.0000000000185,-73.00000000000084,-478.999999999985,-126.99999999998823,-73.99999999999807,153.99999999999858,135.00000000000733,194.0000000000053,-219.0000000000225,258.99999999998704,-299.00000000000483,-92.00000000000318,-12.000000000000455,-19.99999999999602,51.00000000000193,,-897.0000000000123
2017.12.18,-173.00000000000094,-118.00000000000921,3.999999999981796,-83.9999999999952,-461.0000000000003,-133.99999999998968,-78.00000000000296,175.99999999999838,146.99999999999713,216.0000000000051,-234.00000000000887,239.99999999999577,-266.0000000000107,-48.99999999998794,6.999999999990791,-22.999999999996135,67.00000000000728,,-763.0000000000255
2017.12.18,-192.99999999999872,-115.99999999999966,18.999999999991246,-112.000000000001,-495.99999999998533,-146.00000000000168,-73.0000000000075,180.99999999999784,185.00000000000182,257.0000000000072,-256.0000000000002,256.99999999999613,-209.9999999999991,38.0000000000047,12.999999999991019,21.000000000000796,106.99999999999932,,-524.0000000000033
2017.12.18,-209.9999999999991,-91.00000000000819,18.999999999991246,-163.00000000000205,-482.999999999989,-167.9999999999904,-76.00000000000762,206.00000000000617,204.99999999999963,231.99999999999886,-229.00000000001342,197.00000000000273,-205.00000000001074,-9.999999999998899,36.99999999999193,49.99999999999716,103.00000000000864,,-586.000000000023
2017.12.18,-217.0000000000005,-61.99999999999761,67.9999999999792,-163.00000000000205,-461.99999999998465,-153.9999999999875,-27.000000000001023,206.00000000000617,212.00000000000108,226.00000000000398,-307.00000000001637,167.9999999999904,-136.00000000000279,-34.000000000000696,72.99999999999329,103.9999999999992,104.00000000001342,,-401.0000000000066
2017.12.18,-208.99999999999253,-73.0000000000075,108.99999999998133,-168.00000000000148,-453.99999999999886,-143.99999999998857,-5.000000000009663,217.0000000000005,197.00000000000273,224.9999999999974,-292.0000000000016,163.00000000000205,-158.99999999999804,-29.999999999996696,100.99999999999909,85.99999999999852,118.00000000000921,,-318.000000000004
2017.12.18,-198.00000000000927,-78.00000000000296,95.00000000000064,-166.99999999999494,-447.99999999998175,-151.9999999999966,-15.000000000000568,195.00000000000074,209.00000000000364,248.99999999999923,-264.00000000001,158.99999999999804,-130.0000000000079,41.000000000002146,82.99999999999841,99.00000000000375,140.00000000000057,,-181.99999999999693
2017.12.18,-181.9999999999933,-78.00000000000296,105.99999999998388,-148.0000000000037,-451.0000000000014,-146.00000000000168,-31.00000000000591,226.00000000000398,209.00000000000364,270.99999999999903,-243.00000000002342,157.99999999999147,-117.00000000001154,78.00000000000028,91.99999999999875,81.00000000000307,150.00000000000568,,-25.000000000054172
2017.12.18,-191.00000000000784,-78.00000000000296,100.99999999999554,-158.0000000000026,-496.99999999999187,-131.99999999999878,-19.000000000005457,209.00000000000364,207.00000000000162,268.99999999999704,-320.0000000000216,185.99999999999727,-200.00000000000017,83.9999999999952,100.99999999999909,94.99999999999886,158.00000000000125,,-185.00000000004172
