date,USDJPY,EURCHF,CHFJPY,AUDCHF,EURGBP,GBPCAD,EURJPY,EURNZD,CADJPY,NZDJPY,AUDCAD,NZDCAD,empty,sum
2021.04.19,-64.99999999999773,-92.00000000000318,-201.00000000000762,-4.999999999999449,0.0,-307.00000000001285,-117.999999999995,-114.99999999999844,-102.99999999999443,-117.999999999995,-115.00000000000954,-194.99999999998963,,-1434.0000000000027
2021.04.19,-57.00000000000216,-132.99999999998312,-151.00000000001046,57.00000000000705,80.00000000000229,-289.0000000000059,-143.00000000000068,-32.0000000000098,-98.99999999998954,-128.99999999999068,-64.0000000000085,-185.99999999999727,,-1145.9999999999886
2021.04.19,-106.99999999999932,-181.9999999999933,-112.00000000000898,111.00000000000554,72.0000000000054,-336.00000000000296,-188.99999999999295,-75.00000000000284,-122.99999999999045,-173.00000000000182,-107.00000000000153,-232.99999999999432,,-1453.9999999999777
2021.04.19,-63.00000000000239,-188.9999999999947,-4.0000000000048885,217.0000000000005,63.00000000000195,-387.000000000004,-97.00000000000841,-102.00000000000209,-73.99999999999807,-155.00000000000114,-96.00000000000719,-238.99999999998923,,-1126.0000000000095
2021.04.19,-55.00000000000682,-185.99999999999727,1.9999999999953388,175.00000000000293,81.00000000000884,-382.0000000000157,-91.00000000000819,-18.0000000000069,-60.000000000002274,-122.99999999999045,-73.00000000000084,-227.99999999999488,,-958.0000000000161
2021.04.19,-6.000000000000227,-159.99999999998238,36.000000000001364,123.00000000000644,96.00000000000719,-310.0000000000103,-16.999999999995907,7.999999999985796,-16.999999999995907,-76.99999999999818,-55.000000000005045,-210.99999999999451,,-589.9999999999817
2021.04.19,-16.000000000005343,-147.99999999999258,10.99999999999568,113.00000000000753,104.00000000000409,-274.00000000001864,-14.000000000010004,-51.000000000001044,-45.000000000001705,-101.99999999998965,-7.0000000000014495,-216.99999999998943,,-646.0000000000025
2021.04.19,-40.99999999999682,-140.99999999999113,-18.000000000000682,127.00000000001043,95.00000000000064,-284.00000000001756,-52.99999999999727,-84.0000000000174,-63.00000000000239,-141.9999999999959,-74.00000000000739,-242.99999999999324,,-921.0000000000086
2021.04.19,-42.00000000000159,-93.99999999999409,52.99999999999727,126.0000000000039,38.0000000000047,-307.00000000001285,79.99999999998408,-154.0000000000097,-15.000000000000568,-81.00000000000307,-18.0000000000069,-221.99999999999997,,-636.0000000000388
2021.04.19,12.000000000000455,-61.99999999998429,149.0000000000009,112.000000000001,-56.99999999999594,-358.00000000001387,218.9999999999941,-450.00000000001705,64.99999999999773,-49.99999999999716,-99.00000000000463,-283.99999999999534,,-803.0000000000141
