date,USDCHF,GBPUSD,USDCAD,AUDUSD,NZDUSD,GBPCHF,CADCHF,AUDCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURCAD,EURAUD,EURNZD,AUDJPY,AUDCAD,NZDCAD,AUDNZD,empty,sum
2017.02.13,-102.00000000000209,-59.000000000009045,-87.99999999999919,-112.000000000001,-1.0000000000065512,-385.99999999999744,-48.99999999999905,-82.99999999999974,0.0,0.0,-320.99999999999795,-409.0000000000149,-116.00000000000499,-191.99999999999218,-302.9999999999866,0.0,-152.00000000000102,-39.00000000001125,-1.999999999990898,-131.99999999999878,,-2546.0000000000127
2017.02.13,-121.99999999999989,190.99999999998562,-175.99999999999838,-139.00000000000023,0.0,-398.9999999999938,-24.000000000001798,-86.99999999999264,53.999999999998494,58.000000000002494,-346.99999999998,-514.0000000000144,487.99999999999955,-218.99999999999142,-323.99999999999096,22.999999999995246,-89.00000000001285,-15.00000000000945,21.999999999999797,-124.99999999999733,,-1744.000000000002
2017.02.13,-182.99999999999983,156.00000000000057,-361.0000000000113,-134.99999999999625,-84.0000000000063,-434.000000000001,-29.000000000001247,-67.9999999999903,21.00000000000435,49.00000000001015,-572.0000000000027,-710.999999999995,482.999999999989,-329.00000000000153,-318.9999999999804,168.99999999999693,-72.00000000000273,-145.00000000001734,-14.999999999998348,-60.000000000015596,,-2639.000000000018
2017.02.13,-222.99999999999542,139.00000000000023,-392.00000000001455,-89.00000000000574,-124.00000000000189,-489.99999999999045,-17.999999999995797,53.00000000000304,19.00000000000235,30.000000000007798,-677.9999999999973,-746.0000000000023,458.9999999999872,-326.0000000000041,-127.99999999999478,182.99999999999983,156.99999999999648,-182.99999999999983,103.00000000000864,109.00000000000354,,-2144.999999999993
2017.02.13,-294.0000000000165,143.99999999998857,-400.00000000000034,-185.99999999999727,-212.00000000000108,-645.999999999991,-14.999999999998348,8.000000000008,-16.0000000000049,-67.9999999999903,-1009.9999999999909,-866.9999999999956,482.999999999989,-343.99999999998875,-231.99999999998778,225.99999999999287,172.9999999999876,-178.00000000001148,-39.00000000000014,114.99999999999844,,-3358.0000000000095
2017.02.13,-280.0000000000136,150.99999999999002,-362.00000000001785,-175.99999999999838,-174.00000000000747,-568.9999999999973,45.000000000006146,0.0,14.999999999998348,-13.999999999991797,-879.9999999999955,-730.0000000000084,550.9999999999903,-258.0000000000027,-248.99999999998812,190.99999999998562,99.99999999999432,-69.00000000000794,19.00000000000235,62.99999999999084,,-2626.000000000071
2017.02.13,-224.000000000002,165.9999999999995,-294.0000000000165,-145.00000000000622,-114.99999999999844,-485.99999999998647,23.00000000000635,5.000000000010552,32.999999999994145,49.00000000001015,-692.9999999999836,-619.9999999999983,510.99999999999477,-246.99999999999721,-224.99999999998633,182.99999999999983,111.99999999999477,-77.00000000001594,47.00000000000814,65.99999999998829,,-1930.999999999984
2017.02.13,-195.00000000001182,167.9999999999904,-294.0000000000165,-156.99999999999602,-116.00000000000499,-504.9999999999999,29.000000000001247,-19.999999999997797,7.0000000000014495,18.0000000000069,-733.9999999999804,-646.9999999999976,516.9999999999897,-248.00000000000378,-263.99999999999756,173.00000000000094,98.99999999998954,-68.00000000000139,21.999999999999797,62.99999999999084,,-2152.000000000037
2017.02.13,-233.00000000001654,188.9999999999947,-191.00000000000784,-58.99999999999794,-82.00000000000429,-534.9999999999966,96.00000000000719,92.00000000000318,70.99999999999883,-8.999999999992347,-715.9999999999798,-563.0000000000024,446.9999999999974,-123.99999999999079,-46.999999999997044,14.999999999987246,199.99999999998863,-67.00000000001705,6.0000000000060005,90.99999999999665,,-1419.000000000023
2017.02.13,-239.99999999999577,200.00000000000017,-188.00000000001037,-70.99999999999883,-56.0000000000005,-536.0000000000032,121.99999999999989,79.00000000000685,95.99999999999609,-2.999999999997449,-746.9999999999857,-527.0000000000108,431.99999999998795,-62.99999999999084,-79.99999999999119,-24.000000000001798,191.99999999999307,-49.00000000001015,26.999999999999247,32.999999999994145,,-1403.000000000019
