date,USDCHF,GBPUSD,EURUSD,USDJPY,AUDUSD,NZDUSD,CHFJPY,CADCHF,AUDCHF,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURCAD,EURAUD,CADJPY,NZDJPY,AUDCAD,NZDCAD,AUDNZD,empty,sum
2017.11.06,-59.99999999999339,-58.000000000002494,-39.999999999995595,0.0,-26.999999999999247,-21.999999999999797,-147.00000000000557,-2.000000000002,-91.00000000000774,-3.0000000000143245,-70.99999999999883,-29.999999999996696,-2.0000000000095497,-70.99999999999883,-48.99999999998794,-143.00000000000068,-7.000000000005002,0.0,0.0,-233.00000000001654,,-1056.0000000000343
2017.11.06,24.000000000001798,-85.99999999998609,-82.00000000000429,82.99999999999841,-61.999999999995396,56.0000000000005,-19.000000000005457,62.99999999999084,-113.00000000000753,135.99999999999568,149.9999999999835,-5.999999999994898,104.99999999998977,-127.99999999999478,-25.999999999992696,-177.0000000000067,100.99999999999909,58.99999999999794,112.000000000001,-218.00000000000708,,-28.000000000036437
2017.11.06,40.00000000000669,-112.99999999998533,-80.99999999999774,149.0000000000009,-46.999999999997044,28.000000000005798,19.99999999999602,81.9999999999932,-143.9999999999997,239.00000000000432,202.9999999999976,55.99999999998939,157.99999999998704,-112.99999999998533,-14.000000000002899,-230.00000000000398,120.00000000000455,80.00000000000229,80.99999999999774,-246.00000000001288,,268.0000000000007
2017.11.06,79.00000000000685,-110.99999999999443,-73.99999999999629,188.99999999999295,-32.999999999994145,7.9999999999968985,85.99999999999852,129.9999999999968,-131.00000000000333,331.99999999999363,218.99999999999142,131.99999999999878,185.00000000000227,-111.99999999997878,36.0000000000138,-227.00000000000387,120.99999999999511,54.999999999993946,68.00000000000139,-232.00000000000998,,720.0000000000015
2017.11.06,69.00000000000794,-109.00000000000354,-66.99999999999484,185.00000000000227,-49.99999999999449,-19.999999999997797,96.9999999999942,129.9999999999968,-153.00000000000313,322.9999999999791,174.99999999999181,80.99999999999774,198.0000000000075,-82.99999999998863,-17.000000000000348,-257.99999999999557,99.99999999999432,80.00000000000229,36.999999999998145,-299.00000000000483,,418.9999999999889
2017.11.06,96.00000000000719,-76.99999999999375,-38.99999999998904,222.99999999999898,-36.999999999998145,-32.999999999994145,109.99999999999943,146.99999999999713,-153.00000000000313,329.9999999999841,117.99999999999588,49.99999999999449,230.99999999999454,-65.99999999998829,-4.999999999988347,-367.999999999995,165.99999999999682,41.9999999999976,37.99999999999359,-229.00000000001253,,543.9999999999976
2017.11.06,158.99999999999804,4.000000000004,8.000000000008,381.9999999999908,26.999999999999247,-73.99999999999629,179.9999999999926,144.99999999999514,-175.00000000000293,437.9999999999882,102.99999999998644,63.99999999999739,349.9999999999943,-84.99999999997954,15.999999999993797,-561.000000000007,207.00000000000784,37.99999999999359,17.999999999995797,-269.00000000000813,,974.9999999999513
2017.11.06,134.00000000001188,5.000000000010552,-42.999999999993044,623.9999999999952,12.000000000000899,-39.00000000000014,412.9999999999967,141.99999999999767,-169.00000000000804,700.9999999999934,65.00000000000395,-9.999999999998899,629.9999999999955,-105.99999999998388,19.00000000001345,-558.0000000000069,368.9999999999998,46.999999999997044,34.99999999999615,-260.0000000000158,,2011.000000000006
2017.11.06,69.00000000000794,-75.99999999998718,-104.99999999999955,453.9999999999935,-19.00000000000235,-166.99999999999494,375.0,100.99999999999554,-148.99999999999915,620.0000000000045,114.99999999999844,48.000000000003595,566.0000000000025,-184.99999999999073,68.00000000000139,-522.9999999999961,144.99999999999602,46.999999999997044,-128.00000000000588,-465.0000000000043,,791.0000000000205
2017.11.06,13.00000000000745,-107.99999999999699,-143.99999999998857,331.00000000000307,-42.999999999993044,-170.00000000000347,247.99999999999045,74.99999999999174,-130.0000000000079,471.99999999998,205.99999999999508,62.99999999999084,413.0000000000109,-209.9999999999991,41.000000000002146,-424.0000000000066,34.99999999999659,83.9999999999952,-145.00000000000622,-524.9999999999977,,81.99999999996373
2017.11.06,55.000000000005045,-95.00000000000064,-75.99999999998718,335.9999999999985,-82.99999999999974,-168.00000000000148,257.99999999999557,86.99999999999264,-187.00000000000384,485.99999999999,221.99999999998886,1.999999999990898,405.00000000000114,-185.99999999999727,-48.99999999998794,-343.0000000000035,31.00000000000591,127.99999999999478,-124.99999999999733,-618.0000000000074,,79.99999999997692
2017.11.06,69.00000000000794,-109.00000000000354,-85.99999999998609,358.99999999999466,-119.00000000000244,-144.99999999999514,275.99999999999625,92.99999999999864,-223.00000000000654,532.999999999987,251.00000000000122,-82.00000000000429,441.0000000000025,-174.99999999999181,-117.99999999999588,-341.99999999999875,60.000000000002274,205.99999999999508,-111.00000000000554,-624.0000000000023,,153.99999999999307
2017.11.06,97.9999999999981,-102.99999999998644,-62.99999999999084,243.99999999999977,-114.00000000000298,-124.99999999999733,125.0,110.99999999999443,-248.99999999999923,389.99999999998636,241.99999999998667,-75.00000000000284,270.9999999999866,-144.99999999999514,-139.00000000000023,-340.999999999994,37.00000000000614,197.00000000000273,-84.0000000000063,-602.0000000000136,,-325.00000000002814
2017.11.06,121.00000000001555,-70.99999999999883,-44.99999999998394,248.99999999999523,-87.00000000000374,-107.00000000000153,73.99999999999807,126.99999999999933,-239.0000000000003,352.00000000000387,228.99999999999034,-59.99999999999339,247.99999999999045,-139.00000000000023,-110.99999999999443,-245.9999999999951,34.000000000006025,185.99999999999727,-43.00000000000415,-516.0000000000053,,-43.99999999998494
