date,USDCHF,GBPUSD,USDJPY,USDCAD,AUDUSD,GBPCHF,EURCHF,CHFJPY,CADCHF,AUDCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURCAD,EURAUD,EURNZD,CADJPY,AUDJPY,AUDCAD,NZDCAD,empty,sum
2019.04.08,34.99999999999615,44.99999999998394,69.00000000000261,36.999999999998145,7.9999999999968985,-5.999999999994898,-14.000000000002899,31.00000000000591,-14.999999999998348,7.9999999999968985,24.999999999997247,0.0,-96.99999999999153,36.999999999998145,-33.00000000000125,-15.999999999993797,5.999999999994898,87.00000000001484,45.99999999999227,18.999999999991246,-14.999999999998348,73.99999999999629,,330.9999999999845
2019.04.08,49.99999999999449,49.99999999999449,64.00000000000716,38.99999999998904,-19.00000000000235,38.0000000000047,18.999999999991246,64.00000000000716,25.00000000000835,37.99999999999359,41.9999999999976,12.999999999976808,-143.00000000000423,17.000000000000348,36.000000000001364,15.999999999993797,-22.0000000000109,-113.99999999999189,21.000000000000796,43.99999999999693,18.999999999991246,44.99999999999504,,341.9999999999348
2019.04.08,58.99999999999794,15.999999999993797,58.000000000006935,-9.000000000014552,-42.999999999993044,-34.000000000000696,64.99999999998174,108.00000000000409,92.00000000000318,68.99999999999685,119.00000000000244,-49.000000000006594,-131.99999999999878,42.999999999993044,68.00000000001205,26.999999999999247,-39.00000000001125,-72.99999999998974,95.99999999998943,75.9999999999934,37.99999999999359,97.00000000000264,,651.9999999999558
2019.04.08,52.99999999999194,-12.000000000012001,46.00000000000648,-41.000000000002146,-12.000000000000899,-52.99999999999194,59.99999999999339,104.00000000001342,107.00000000000153,36.999999999998145,100.00000000000009,-57.00000000001637,-139.00000000000023,-70.99999999999883,55.00000000000682,-8.999999999992347,-108.00000000001918,-187.99999999998818,107.99999999998988,33.00000000000125,-25.00000000000835,16.0000000000049,,3.999999999977309
2019.04.08,53.999999999998494,-13.000000000018552,43.00000000000637,-69.00000000000794,26.000000000003798,-55.000000000005045,49.99999999999449,101.0000000000133,124.00000000000189,-2.000000000002,94.00000000000519,-46.999999999997044,-168.99999999999693,-177.00000000000495,36.000000000001364,-60.99999999999994,-182.99999999999983,-217.99999999998488,126.99999999999534,-13.999999999995794,-98.0000000000092,-26.999999999999247,,-478.00000000000114
2019.04.08,74.00000000000739,-39.00000000001125,82.00000000000784,-80.00000000001339,35.00000000000725,-107.99999999999699,79.99999999999119,121.00000000000932,145.00000000000622,2.999999999997449,87.00000000000374,-123.99999999999523,-147.00000000000824,-234.00000000000088,94.0000000000083,-59.000000000009045,-217.0000000000005,-212.99999999999653,162.9999999999967,4.9999999999954525,-117.00000000000044,-26.000000000003798,,-475.00000000000546
2019.04.08,63.99999999999739,-4.000000000004,19.000000000005457,-8.000000000008,102.99999999999754,-59.99999999999339,79.99999999999119,69.00000000000261,97.00000000000264,-72.0000000000054,116.00000000000499,-6.000000000000227,-99.99999999998899,-364.00000000000875,31.00000000000591,35.999999999991594,-381.0000000000091,-366.999999999984,69.99999999999318,-117.999999999995,-157.00000000000713,-51.000000000001044,,-1003.0000000000125
2019.04.08,37.99999999999359,-133.00000000000534,-125.99999999999056,0.9999999999843467,80.00000000000229,-154.99999999999403,37.99999999998249,-44.999999999987494,73.00000000000084,-67.00000000000594,19.00000000000235,42.00000000000159,80.00000000001339,-482.00000000000466,-147.99999999999613,26.999999999999247,-309.0000000000037,-245.99999999999068,-43.00000000000637,-194.00000000000261,-120.00000000000898,9.999999999998899,,-1660.0000000000175
2019.04.08,8.999999999992347,-53.00000000001415,-153.99999999999636,-53.999999999998494,90.0000000000012,-36.999999999998145,8.999999999992347,-40.99999999999682,82.99999999999974,-97.9999999999981,78.00000000000028,168.99999999998272,-99.00000000000463,-401.00000000000693,-173.99999999999238,-29.00000000001235,-341.00000000001353,-285.99999999998624,-31.00000000000591,-225.00000000000853,-172.00000000000549,-46.999999999997044,,-1804.0000000000666
2019.04.08,-7.0000000000014495,-131.00000000001444,-128.0000000000001,-100.99999999999554,70.0000000000034,-92.00000000000318,12.999999999996348,3.0000000000001137,97.00000000000264,-90.0000000000012,41.9999999999976,43.99999999998272,-53.999999999998494,-456.00000000001194,-120.99999999999511,-53.999999999998494,-324.0000000000132,-227.99999999998377,18.999999999991246,-185.00000000000227,-180.0000000000024,-27.999999999994696,,-1891.0000000000425
2019.04.08,-21.999999999999797,-143.00000000000423,-197.9999999999933,-97.00000000001374,68.99999999999685,-86.0000000000083,15.999999999993797,-48.99999999999238,82.99999999999974,-99.00000000000463,48.99999999999905,122.99999999999045,-31.000000000003247,-473.99999999999665,-174.99999999999716,-18.999999999991246,-354.0000000000099,-289.9999999999903,-37.00000000000614,-233.0000000000041,-175.00000000000293,-41.9999999999976,,-2184.000000000036
2019.04.08,-45.000000000006146,-202.00000000001327,-239.99999999999488,-107.00000000001265,53.999999999998494,-116.00000000000499,17.000000000000348,-67.99999999999784,72.0000000000054,-101.00000000000664,31.000000000003247,110.99999999999,31.000000000003247,-517.9999999999962,-189.99999999999773,4.999999999988347,-360.0000000000048,-240.9999999999801,-61.99999999999761,-246.9999999999999,-161.00000000000003,-0.999999999995449,,-2338.000000000019
