date,USDCHF,EURUSD,EURCHF,CADCHF,EURGBP,EURJPY,EURCAD,empty,sum
2015.04.13,101.00000000000664,113.00000000000753,-15.999999999993797,-73.00000000000084,88.99999999999464,71.99999999998852,-17.000000000000348,,269.00000000000233
2015.04.13,38.0000000000047,76.99999999999375,43.00000000001525,-114.99999999999844,69.9999999999923,42.999999999992156,-45.000000000006146,,110.99999999999358
2015.04.13,68.00000000000139,-2.999999999997449,-45.99999999999049,-39.00000000000014,9.999999999998899,-91.00000000000819,-62.000000000006494,,-163.00000000000244
2015.04.13,14.999999999998348,-92.99999999998754,-84.99999999997954,-37.99999999999359,-3.0000000000085514,-130.00000000000966,-153.00000000000313,,-486.9999999999837
2015.04.13,11.00000000000545,-103.00000000000864,-88.99999999998354,-44.99999999999504,-8.000000000008,-105.00000000000398,-171.99999999999437,,-510.9999999999881
2015.04.13,51.000000000001044,-31.000000000003247,-65.99999999998829,-59.99999999999339,1.999999999990898,-32.00000000001069,-155.00000000001623,,-291.0000000000199
2015.04.13,-37.99999999999359,-96.00000000000719,-31.999999999987594,-91.99999999999208,-20.0000000000089,-66.0000000000025,-182.0000000000155,,-526.0000000000074
2015.04.13,-19.00000000000235,-52.000000000007596,-4.999999999988347,-175.99999999999838,2.999999999997449,-52.00000000000671,-290.00000000001245,,-591.0000000000184
2015.04.13,-73.99999999999629,-73.99999999999629,28.000000000005798,-203.99999999999307,-1.0000000000065512,-71.00000000001216,-290.00000000001245,,-686.000000000011
2015.04.13,-29.999999999996696,-56.99999999999594,5.000000000010552,-209.9999999999991,-2.000000000002,-70.00000000000739,-337.0000000000095,,-701.0
2015.04.13,128.00000000000588,150.00000000000568,37.00000000002035,-226.99999999999943,19.999999999997797,50.99999999998772,-321.0000000000157,,-161.99999999999767
2015.04.13,55.000000000005045,72.0000000000054,26.999999999999247,-268.0000000000016,-14.000000000002899,-49.000000000006594,-398.00000000000944,,-575.0000000000108
2015.04.13,58.99999999999794,45.000000000006146,8.000000000008,-293.99999999999426,-39.00000000000014,-81.00000000000307,-468.00000000000176,,-769.999999999987
2015.04.13,97.00000000000264,82.00000000000429,-1.999999999990898,-278.9999999999959,-41.000000000002146,-133.00000000000978,-463.0000000000134,,-739.0000000000052
2015.04.13,121.00000000000443,130.99999999999224,17.000000000000348,-269.9999999999925,-32.0000000000098,-105.00000000000398,-409.99999999999926,,-548.0000000000085
2015.04.13,158.0000000000026,154.99999999999403,-4.999999999988347,-258.0000000000027,-48.000000000003595,-125.0,-408.00000000000836,,-531.0000000000064
