date,USDCHF,GBPUSD,AUDUSD,CHFJPY,AUDCHF,EURGBP,GBPCAD,GBPAUD,EURJPY,EURAUD,EURNZD,CADJPY,AUDJPY,NZDCAD,AUDNZD,empty,sum
2021.09.13,-26.000000000003798,-207.00000000000162,-103.00000000000864,-161.00000000000136,-141.99999999999767,-160.00000000000458,0.0,0.0,-197.99999999997908,-24.000000000001798,-229.00000000001253,-60.000000000002274,-138.9999999999958,-9.999999999998899,-218.00000000000708,,-1677.000000000015
2021.09.13,26.999999999999247,-158.99999999999804,-59.000000000009045,-185.00000000000227,-80.99999999999774,-166.99999999999494,-60.99999999999994,338.0000000000161,-64.99999999999773,127.99999999999478,-280.9999999999979,-93.99999999999409,-76.99999999999818,-56.99999999999594,-106.00000000000608,,-898.9999999999818
2021.09.13,49.99999999999449,-135.00000000001845,-145.00000000000622,-262.00000000000045,-149.99999999999457,-168.99999999999693,66.99999999999484,224.000000000002,-85.99999999998431,-34.000000000000696,-253.99999999999866,-118.99999999999977,-222.99999999999898,-28.999999999990145,-211.99999999998997,,-1476.999999999988
2021.09.13,56.0000000000005,-134.00000000001188,-197.00000000000273,-245.00000000000455,-180.99999999999784,-161.99999999999548,177.99999999998929,96.00000000000719,-60.99999999997863,-103.00000000000864,-148.99999999999915,-114.00000000000432,-243.99999999999977,34.000000000000696,-228.99999999999034,,-1454.9999999999955
2021.09.13,49.99999999999449,-171.00000000001003,-194.0000000000053,-248.99999999999523,-205.99999999999508,-160.00000000000458,188.9999999999947,107.00000000001265,-54.9999999999784,-58.000000000002494,-168.99999999999693,-108.99999999999466,-241.99999999999022,77.00000000000485,-276.9999999999939,,-1466.9999999999602
2021.09.13,48.99999999999905,-186.0000000000195,-199.00000000000472,-260.0000000000051,-210.99999999999451,-139.99999999999568,167.00000000000603,175.99999999999838,-96.99999999997999,-74.0000000000185,-204.00000000000418,-144.99999999999602,-256.9999999999908,34.000000000000696,-297.9999999999983,,-1645.0000000000032
2021.09.13,68.99999999999685,-180.0000000000024,-201.00000000000674,-283.00000000000125,-223.99999999999088,-154.99999999999403,143.00000000000423,188.00000000001037,-126.00000000000477,-78.00000000000028,-388.9999999999949,-186.9999999999976,-292.0000000000016,-34.000000000000696,-364.9999999999931,,-2113.999999999977
2021.09.13,121.00000000000443,-150.00000000000568,-170.99999999999892,-251.00000000000477,-234.00000000000088,-149.99999999999457,178.99999999999582,219.00000000001364,-97.99999999998477,-83.00000000001084,-425.0000000000087,-170.99999999999227,-274.9999999999915,-42.999999999993044,-370.00000000000364,,-1901.9999999999757
2021.09.13,131.00000000000333,-128.000000000017,-150.00000000000568,-240.99999999999966,-218.99999999999142,-151.9999999999966,106.99999999999044,200.00000000000017,-87.99999999999386,-57.00000000001815,-483.99999999999557,-171.99999999999704,-253.99999999999068,-133.99999999998968,-445.99999999999085,,-2086.9999999999923
2021.09.13,117.99999999999588,-113.00000000000753,-158.0000000000026,-218.00000000000352,-212.00000000000108,-160.00000000000458,103.99999999999298,185.00000000001293,-54.000000000002046,-66.00000000001049,-442.00000000000904,-149.0000000000009,-236.99999999999477,-91.99999999999208,-397.0000000000029,,-1891.0000000000298
2021.09.13,124.00000000000189,-121.00000000001555,-126.0000000000039,-233.0000000000041,-187.9999999999993,-136.00000000000279,116.99999999998934,280.0000000000136,-66.0000000000025,-19.00000000001345,-397.0000000000029,-162.9999999999967,-209.00000000000318,-60.99999999999994,-347.0000000000084,,-1545.000000000048
2021.09.13,115.99999999999389,-158.99999999999804,-125.00000000000844,-240.0000000000091,-187.9999999999993,-127.99999999999478,114.99999999999844,295.0000000000008,-60.99999999997863,-34.000000000000696,-311.0000000000168,-191.99999999999307,-221.9999999999942,-86.99999999999264,-333.0000000000055,,-1553.9999999999982
