date,EURUSD,USDCAD,AUDUSD,CHFJPY,GBPCAD,GBPAUD,EURCAD,EURAUD,AUDJPY,empty,sum
2020.08.24,-39.999999999995595,-2.999999999997449,-76.99999999999375,-105.00000000000398,-83.9999999999952,42.999999999993044,60.99999999999994,-148.99999999999915,-218.00000000000352,,-571.9999999999957
2020.08.24,-19.999999999997797,29.999999999996696,-88.99999999999464,-108.00000000000409,-187.99999999998818,29.999999999996696,139.00000000000023,-177.99999999998929,-221.9999999999942,,-605.9999999999745
2020.08.24,-72.0000000000054,-18.999999999991246,-139.99999999999568,-260.9999999999957,-197.00000000000273,-28.000000000005798,115.99999999998278,-140.0000000000068,-322.9999999999933,,-1064.0000000000136
2020.08.24,-80.00000000001339,-39.999999999995595,-170.99999999999892,-290.9999999999968,-174.99999999999181,19.999999999997797,100.99999999999554,-184.00000000000637,-376.0000000000048,,-1196.0000000000143
2020.08.24,-129.00000000000134,-22.0000000000109,-164.99999999999292,-269.00000000000546,-231.99999999998778,-22.999999999995246,194.99999999998963,-99.99999999998899,-352.00000000000387,,-1096.9999999999968
2020.08.24,-51.000000000001044,31.999999999987594,-83.9999999999952,-221.00000000000364,-201.99999999999108,-119.99999999998678,157.99999999999147,-25.999999999992696,-278.0000000000058,,-791.9999999999973
2020.08.24,-48.000000000003595,38.0000000000047,-102.99999999999754,-115.99999999999966,-226.99999999999943,-93.99999999999409,157.99999999999147,-72.0000000000054,-253.0000000000001,,-717.0000000000036
2020.08.24,-18.0000000000069,34.000000000000696,-85.99999999999719,-52.00000000000671,-139.00000000000023,-42.999999999993044,115.99999999998278,-76.99999999999375,-209.00000000000318,,-474.00000000001756
2020.08.24,-107.00000000001265,-55.000000000005045,-234.00000000000088,-67.99999999999784,-119.00000000000244,235.99999999999176,126.99999999998823,-295.0000000000008,-325.00000000000284,,-840.0000000000425
2020.08.24,-92.00000000000318,-21.00000000000435,-224.9999999999974,-105.99999999999454,-157.00000000000713,208.00000000000819,148.99999999999915,-290.9999999999968,-343.9999999999941,,-878.9999999999902
2020.08.24,-87.99999999999919,-32.0000000000098,-236.00000000000287,-99.99999999999432,-121.99999999999989,258.0000000000027,129.99999999998568,-327.00000000001063,-361.99999999999477,,-879.0000000000231
2020.08.24,18.999999999991246,-32.999999999994145,-153.00000000000313,-118.99999999999977,-38.0000000000047,137.9999999999937,-8.000000000008,-282.0000000000045,-304.9999999999926,,-781.0000000000219
2020.08.24,2.999999999997449,-82.00000000000429,-182.99999999999983,-105.00000000000398,-18.0000000000069,167.00000000000603,-53.00000000001415,-329.00000000000153,-340.999999999994,,-941.0000000000213
