,Unnamed: 0,names,week,needed_features,accuracy,next_week_prediction_score,next_week_prediction
0,0,USDCHF,10,['EURCHF'],80.0,-1.0,S
1,1,GBPUSD,20,"['EURUSD', 'EURGBP', 'AUDUSD', 'GBPCAD', 'USDCAD', 'AUDNZD']",100.0,0.4590641269841277,B
2,2,EURUSD,10,['GBPCAD'],80.0,-0.20496956349206272,S
3,3,USDJPY,10,"['CADCHF', 'EURCHF', 'AUDJPY']",100.0,-0.4371,S
4,4,USDCAD,10,"['EURGBP', 'GBPCHF']",100.0,-0.8941,S
5,5,AUDUSD,10,"['GBPCAD', 'NZDCHF']",80.0,-0.49168218253969564,S
6,6,CHFJPY,30,"['EURGBP', 'GBPCHF', 'USDCHF', 'USDJPY', 'CADCHF', 'EURUSD', 'AUDUSD']",100.0,0.6214807142857232,B
7,7,CADCHF,10,['EURCHF'],100.0,-0.715856746031726,S
8,8,AUDCHF,30,"['GBPCHF', 'EURCHF']",80.0,-0.5701461503118174,S
9,9,NZDCHF,20,"['EURUSD', 'EURCHF']",100.0,-1.0,S
10,10,EURGBP,20,"['CHFJPY', 'NZDCHF']",80.0,-0.010605150241914942,S
11,11,GBPJPY,10,"['EURGBP', 'CADCHF']",100.0,1.0,B
12,12,EURJPY,10,"['EURGBP', 'GBPCHF']",100.0,0.8929,B
13,13,EURCAD,30,"['EURGBP', 'CHFJPY', 'EURCHF', 'USDCHF', 'AUDCHF']",100.0,0.6863,B
14,14,EURAUD,20,"['EURNZD', 'AUDNZD']",80.0,0.3035742677338981,B
15,15,CADJPY,10,['EURGBP'],100.0,0.6653678174603233,B
16,16,AUDJPY,10,"['GBPCHF', 'CADJPY', 'EURCAD']",80.0,0.5553619047619015,B
17,17,NZDJPY,30,"['CADCHF', 'EURJPY', 'USDCHF']",100.0,0.5068740709290804,B
18,18,NZDCAD,30,['EURGBP'],80.0,-0.625356446207391,S
19,19,AUDNZD,20,"['AUDUSD', 'USDCHF']",100.0,0.5035332758907681,B
