date,CHFJPY,GBPJPY,EURJPY,CADJPY,empty,sum
2016.06.20,75.9999999999934,-51.9999999999925,-1239.0000000000043,-21.000000000000796,,-1236.000000000004
2016.06.20,161.99999999999193,117.00000000001864,-1169.0000000000111,-27.000000000001023,,-917.0000000000016
2016.06.20,268.99999999999125,207.9999999999984,-990.0000000000091,120.99999999999511,,-392.00000000002433
2016.06.20,-49.000000000006594,-340.99999999997976,-1282.0000000000107,-97.99999999999898,,-1769.999999999996
2016.06.20,165.99999999999682,138.00000000000523,-1049.0000000000066,200.9999999999934,,-544.0000000000111
2016.06.20,-115.99999999999966,-1098.9999999999895,-1350.0000000000086,57.999999999992724,,-2507.000000000005
2016.06.20,-315.00000000001194,-964.999999999975,-1537.0000000000061,6.000000000000227,,-2810.9999999999927
2016.06.20,-276.00000000001046,-1161.9999999999777,-1483.000000000004,-37.00000000000614,,-2957.999999999998
2016.06.20,-332.00000000000784,-1155.9999999999775,-1565.0000000000118,-91.99999999999875,,-3144.999999999996
2016.06.20,-198.0000000000075,-885.9999999999957,-1371.0000000000093,22.00000000000557,,-2433.0000000000073
2016.06.20,-207.00000000000784,-1114.9999999999807,-1434.0000000000118,-16.000000000005343,,-2772.000000000006
2016.06.20,-264.00000000001,-1208.9999999999748,-1474.0000000000036,-16.000000000005343,,-2962.9999999999936
2016.06.20,-279.0000000000106,-1132.9999999999814,-1520.0000000000102,1.0000000000047748,,-2930.9999999999973
2016.06.20,-219.99999999999886,-1298.9999999999782,-1561.000000000007,39.00000000000148,,-3040.9999999999827
2016.06.20,-260.0000000000051,-1149.000000000001,-1591.9999999999986,-7.999999999995566,,-3009.0
2016.06.20,-350.9999999999991,-1233.9999999999804,-1715.0000000000034,-76.99999999999818,,-3376.999999999981
2016.06.20,-293.00000000000637,-1179.000000000002,-1644.0000000000055,-75.00000000000284,,-3191.0000000000164
2016.06.20,-248.00000000000466,-915.9999999999968,-1463.9999999999986,-64.00000000000716,,-2692.0000000000073
2016.06.20,-302.0000000000067,-1270.9999999999866,-1463.0000000000082,-67.00000000000728,,-3103.0000000000086
2016.06.20,-224.00000000000375,-1000.0,-1292.0000000000016,-40.99999999999682,,-2557.0000000000023
2016.06.20,-349.00000000000375,-1382.9999999999814,-1390.0000000000005,-52.00000000000671,,-3173.9999999999923
2016.06.20,-221.00000000000364,-1062.9999999999882,-1186.000000000007,45.99999999999227,,-2424.000000000007
2016.06.20,-282.0000000000107,-1860.99999999999,-1326.9999999999982,-69.00000000000261,,-3539.000000000002
