date,USDCHF,EURUSD,EURCAD,empty,sum
2018.11.05,5.999999999994898,29.999999999996696,-170.00000000000347,,-134.00000000001188
2018.11.05,-7.0000000000014495,51.000000000001044,-212.00000000001216,,-168.00000000001256
2018.11.05,9.000000000014552,123.99999999999079,-252.0000000000078,,-119.00000000000244
2018.11.05,18.0000000000069,119.00000000000244,-283.99999999999534,,-146.999999999986
2018.11.05,-60.99999999999994,96.99999999999153,-277.00000000001614,,-241.00000000002456
2018.11.05,-55.99999999998939,97.9999999999981,-269.00000000000813,,-226.99999999999943
2018.11.05,-92.99999999998754,45.99999999999049,-217.0000000000005,,-263.99999999999756
2018.11.05,-112.99999999998533,34.000000000000696,-239.99999999999577,,-318.9999999999804
2018.11.05,-129.99999999998568,31.999999999987594,-175.00000000001404,,-273.0000000000121
2018.11.05,-161.99999999999548,-15.00000000000945,-167.00000000000603,,-344.00000000001097
2018.11.05,-163.9999999999864,11.999999999989797,-231.0000000000034,,-383.0
2018.11.05,-190.99999999998562,-24.000000000001798,-194.0000000000053,,-408.9999999999927
2018.11.05,-180.0000000000024,2.999999999997449,-211.00000000000563,,-388.0000000000106
2018.11.05,-192.99999999999872,-9.999999999998899,-192.99999999999872,,-395.99999999999636
2018.11.05,-143.99999999998857,45.99999999999049,-275.000000000003,,-373.0000000000011
2018.11.05,-157.99999999999147,42.999999999993044,-263.00000000001324,,-378.0000000000117
2018.11.05,-150.00000000000568,80.99999999999774,-266.999999999995,,-336.00000000000296
2018.11.05,-167.9999999999904,28.000000000005798,-246.99999999999721,,-386.9999999999818
2018.11.05,-63.99999999999739,75.00000000000284,-307.00000000001285,,-296.0000000000074
2018.11.05,-150.99999999999002,-36.0000000000138,-147.00000000000824,,-334.00000000001205
2018.11.05,-137.9999999999937,43.999999999999595,-238.0000000000049,,-331.999999999999
2018.11.05,-212.99999999999653,-43.00000000001525,-168.0000000000126,,-424.00000000002433
2018.11.05,-217.0000000000005,-68.00000000000139,-107.00000000001265,,-392.00000000001455
2018.11.05,-234.00000000000088,-42.0000000000087,-87.00000000001484,,-363.0000000000244
2018.11.05,-235.99999999999176,-46.999999999997044,-97.9999999999981,,-380.9999999999869
2018.11.05,-197.99999999998707,-22.0000000000109,-109.00000000000354,,-329.0000000000015
2018.11.05,-285.00000000000193,-114.0000000000141,-12.999999999996348,,-412.0000000000124
2018.11.05,-360.0000000000048,-136.00000000000279,38.99999999998904,,-457.00000000001853
2018.11.05,-329.00000000000153,-127.00000000001043,69.9999999999923,,-386.00000000001967
2018.11.05,-395.99999999999636,-178.99999999999582,153.00000000000313,,-421.99999999998903
2018.11.05,-297.9999999999983,-127.99999999999478,48.000000000003595,,-377.9999999999895
2018.11.05,-249.99999999999466,-75.00000000000284,180.0000000000024,,-144.9999999999951
2018.11.05,-175.99999999999838,45.000000000006146,58.99999999998684,,-72.0000000000054
2018.11.05,-185.99999999999727,127.99999999999478,8.999999999992347,,-49.00000000001014
2018.11.05,-173.00000000000094,187.00000000000384,-114.99999999999844,,-100.99999999999554
2018.11.05,-262.999999999991,133.99999999998968,-154.0000000000097,,-283.000000000011
2018.11.05,-207.99999999998596,173.00000000000094,-333.0000000000055,,-367.99999999999056
