date,USDCHF,GBPUSD,USDJPY,USDCAD,GBPCHF,CHFJPY,CADCHF,AUDCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURAUD,EURNZD,CADJPY,AUDJPY,AUDNZD,empty,sum
2018.04.09,-104.99999999999955,-29.999999999996696,-24.00000000000091,-43.999999999999595,-7.999999999985796,-165.99999999999682,-5.999999999994898,-69.00000000000794,0.0,0.0,-40.99999999999682,-27.999999999983594,-174.00000000000747,-28.999999999996362,-119.00000000000244,-38.0000000000047,-21.000000000000796,-58.9999999999975,-51.000000000001044,,-1011.9999999999728
2018.04.09,-141.00000000000225,35.999999999991594,16.999999999995907,-218.00000000000708,5.999999999994898,-93.99999999999409,-36.999999999998145,-74.00000000000739,24.999999999997247,-7.0000000000014495,-39.00000000001569,-1.999999999990898,-319.0000000000026,-57.999999999992724,56.99999999999594,17.000000000000348,-101.99999999998965,-101.99999999998965,-50.0000000000167,,-1085.0000000000323
2018.04.09,-129.00000000000134,-2.0000000000131024,-103.9999999999992,-186.0000000000195,66.99999999999484,-42.00000000000159,0.0,-97.00000000000264,77.00000000000485,8.999999999992347,-75.00000000001705,67.00000000001705,-301.0000000000179,-87.99999999999386,2.999999999997449,87.99999999999919,-75.9999999999934,-99.99999999999432,4.999999999988347,,-884.0000000000598
2018.04.09,-134.99999999999625,48.99999999998794,-93.00000000000352,-133.00000000000534,184.00000000000637,-51.9999999999925,78.00000000000028,43.999999999999595,190.00000000000128,30.999999999992145,-2.0000000000095497,94.00000000001629,-195.00000000001182,-102.00000000000387,-32.0000000000098,49.00000000001015,-47.99999999998761,-35.99999999998715,35.999999999991594,,-73.00000000000176
2018.04.09,-141.00000000000225,31.999999999987594,10.000000000005116,-230.00000000001907,153.00000000000313,-106.99999999999932,39.00000000000014,29.000000000001247,139.99999999999568,51.99999999999649,-131.00000000000023,203.00000000001984,-196.0000000000184,-195.99999999999795,-92.00000000000318,22.999999999995246,-125.99999999999056,-91.99999999999875,20.999999999982144,,-609.0000000000431
2018.04.09,-144.99999999999514,32.999999999994145,-63.00000000000239,-232.00000000000998,184.00000000000637,-54.000000000002046,34.99999999999615,71.99999999999429,158.99999999999804,83.9999999999952,-6.000000000000227,251.00000000000122,-158.0000000000137,-149.0000000000009,-126.99999999998823,34.000000000000696,-83.99999999998897,-9.999999999990905,104.99999999999955,,-71.00000000000688
2018.04.09,-177.00000000000495,36.999999999998145,-81.00000000000307,-249.00000000001032,200.00000000000017,-64.99999999999773,21.00000000000435,63.99999999999739,163.00000000000205,71.99999999999429,22.999999999996135,213.00000000001873,-181.00000000000892,-110.99999999999,-180.0000000000024,-31.000000000003247,-85.99999999999852,8.000000000009777,102.99999999998644,,-257.0000000000117
2018.04.09,-166.99999999999494,49.99999999999449,-51.00000000000193,-148.00000000001478,232.99999999999432,-109.99999999999943,89.00000000000574,113.99999999999189,231.99999999999886,78.00000000000028,-33.00000000001546,149.00000000002134,-91.00000000001884,-168.00000000000637,-279.00000000000705,-231.0000000000034,-63.99999999999295,4.0000000000048885,0.9999999999843467,,-392.00000000005906
2018.04.09,-170.00000000000347,95.999999999985,-30.000000000001137,-121.99999999999989,266.0000000000107,-125.0,102.99999999999754,180.0000000000024,275.000000000003,78.00000000000028,-33.00000000001546,154.0000000000097,32.999999999994145,-162.00000000000614,-306.9999999999906,-276.00000000000955,-75.9999999999934,53.00000000001148,38.99999999998904,,-24.00000000001647
2018.04.09,-163.99999999999747,103.99999999999298,15.000000000000568,-135.00000000001845,282.0000000000045,-138.00000000000523,104.99999999999955,158.99999999999804,329.999999999997,85.99999999999719,-1.0000000000047748,199.00000000001583,-57.00000000001815,-177.99999999999727,-299.00000000000483,-266.0000000000107,-71.99999999998852,49.000000000006594,-16.000000000016,,2.999999999950745
2018.04.09,-207.99999999999707,58.000000000002494,0.0,-159.00000000002024,266.999999999995,-144.99999999999602,114.99999999999844,156.00000000000057,334.9999999999964,85.00000000000173,-8.000000000009777,201.00000000000674,-53.00000000001415,-174.0000000000066,-272.00000000000557,-385.99999999999744,-57.999999999992724,47.000000000011255,-55.000000000005045,,-254.00000000003195
2018.04.09,-207.00000000000162,66.99999999999484,-30.9999999999917,-174.00000000000747,296.0000000000074,-129.0000000000049,107.00000000000153,151.00000000000114,373.00000000000114,95.00000000000064,-4.9999999999954525,234.00000000000088,-94.00000000001629,-152.9999999999916,-239.99999999999577,-387.000000000004,-74.99999999998863,15.000000000000568,-97.00000000001374,,-254.00000000000296
2018.04.09,-212.99999999999653,82.99999999998863,-79.9999999999983,-142.0000000000199,300.00000000001137,-79.9999999999983,117.00000000000044,185.99999999999727,334.9999999999964,85.99999999999719,78.00000000000296,196.0000000000184,-11.00000000000545,-64.99999999999773,-347.9999999999928,-347.0000000000084,-15.000000000000568,103.00000000000864,-58.000000000002494,,125.00000000000085
2018.04.09,-199.00000000000472,99.00000000000463,-131.00000000000023,-146.00000000000168,320.00000000000915,-43.99999999999693,128.00000000000588,215.99999999999397,334.9999999999964,97.9999999999981,155.00000000000114,208.00000000000819,53.999999999998494,-27.999999999991587,-373.00000000000114,-330.0000000000081,24.00000000000091,171.00000000000648,37.99999999998249,,595.0000000000014
2018.04.09,-190.00000000000128,126.99999999998823,-112.99999999999955,-137.00000000000932,331.0000000000146,-15.000000000000568,124.99999999999733,234.99999999999633,375.0000000000031,93.99999999999409,195.99999999999795,252.0000000000078,75.99999999998718,19.000000000005457,-365.99999999999966,-375.9999999999986,34.000000000006025,192.00000000000728,-16.000000000016,,842.9999999999804
