date,GBPAUD,empty,sum
2015.11.02,-537.0000000000097,,-537.0000000000097
2015.11.02,-384.00000000002876,,-384.00000000002876
2015.11.02,-496.00000000000756,,-496.00000000000756
2015.11.02,-539.0000000000227,,-539.0000000000227
2015.11.02,-642.0000000000314,,-642.0000000000314
2015.11.02,-755.0000000000168,,-755.0000000000168
2015.11.02,-769.0000000000197,,-769.0000000000197
2015.11.02,-1051.0000000000018,,-1051.0000000000018
2015.11.02,-870.0000000000152,,-870.0000000000152
2015.11.02,-961.9999999999961,,-961.9999999999961
2015.11.02,-988.0000000000333,,-988.0000000000333
2015.11.02,-883.0000000000116,,-883.0000000000116
2015.11.02,-844.0000000000225,,-844.0000000000225
2015.11.02,-846.9999999999977,,-846.9999999999977
2015.11.02,-839.9999999999964,,-839.9999999999964
2015.11.02,-939.0000000000232,,-939.0000000000232
2015.11.02,-920.9999999999941,,-920.9999999999941
2015.11.02,-920.9999999999941,,-920.9999999999941
2015.11.02,-884.0000000000181,,-884.0000000000181
2015.11.02,-937.00000000001,,-937.00000000001
2015.11.02,-1018.0000000000077,,-1018.0000000000077
2015.11.02,-1192.9999999999995,,-1192.9999999999995
2015.11.02,-762.0000000000182,,-762.0000000000182
2015.11.02,-480.99999999999807,,-480.99999999999807
2015.11.02,-55.000000000005045,,-55.000000000005045
2015.11.02,-204.00000000000418,,-204.00000000000418
2015.11.02,-330.00000000003024,,-330.00000000003024
2015.11.02,-337.0000000000317,,-337.0000000000317
2015.11.02,-315.0000000000208,,-315.0000000000208
2015.11.02,-270.99999999999903,,-270.99999999999903
2015.11.02,-330.00000000003024,,-330.00000000003024
2015.11.02,-398.9999999999938,,-398.9999999999938
2015.11.02,-458.00000000002507,,-458.00000000002507
2015.11.02,-529.0000000000017,,-529.0000000000017
2015.11.02,-600.0000000000227,,-600.0000000000227
2015.11.02,-988.0000000000333,,-988.0000000000333
2015.11.02,-1055.9999999999902,,-1055.9999999999902
2015.11.02,-836.0000000000146,,-836.0000000000146
2015.11.02,-858.0000000000255,,-858.0000000000255
2015.11.02,-899.9999999999897,,-899.9999999999897
2015.11.02,-916.0000000000057,,-916.0000000000057
2015.11.02,-913.9999999999926,,-913.9999999999926
2015.11.02,-929.000000000002,,-929.000000000002
2015.11.02,-987.0000000000267,,-987.0000000000267
2015.11.02,-984.000000000007,,-984.000000000007
2015.11.02,-1143.0000000000273,,-1143.0000000000273
2015.11.02,-1204.9999999999893,,-1204.9999999999893
2015.11.02,-1306.0000000000293,,-1306.0000000000293
2015.11.03,-1322.000000000001,,-1322.000000000001
2015.11.03,-1192.9999999999995,,-1192.9999999999995
2015.11.03,-1326.9999999999893,,-1326.9999999999893
2015.11.03,-1690.0000000000136,,-1690.0000000000136
2015.11.03,-1506.0000000000073,,-1506.0000000000073
2015.11.03,-1712.0000000000246,,-1712.0000000000246
2015.11.03,-1835.0000000000312,,-1835.0000000000312
2015.11.03,-1862.9999999999925,,-1862.9999999999925
2015.11.03,-1841.000000000026,,-1841.000000000026
2015.11.03,-1869.0000000000318,,-1869.0000000000318
2015.11.03,-2645.0000000000086,,-2645.0000000000086
2015.11.03,-3835.0000000000327,,-3835.0000000000327
2015.11.03,-3024.0000000000045,,-3024.0000000000045
2015.11.03,-2899.9999999999914,,-2899.9999999999914
2015.11.03,-2805.9999999999973,,-2805.9999999999973
2015.11.03,-2703.9999999999955,,-2703.9999999999955
2015.11.03,-2640.00000000002,,-2640.00000000002
2015.11.03,-2846.9999999999995,,-2846.9999999999995
2015.11.03,-3090.999999999999,,-3090.999999999999
2015.11.03,-2827.000000000002,,-2827.000000000002
2015.11.03,-2815.000000000012,,-2815.000000000012
2015.11.03,-2811.00000000003,,-2811.00000000003
2015.11.03,-2383.000000000024,,-2383.000000000024
2015.11.03,-2459.9999999999955,,-2459.9999999999955
2015.11.03,-2507.999999999999,,-2507.999999999999
2015.11.03,-2382.0000000000173,,-2382.0000000000173
2015.11.03,-2235.0000000000314,,-2235.0000000000314
2015.11.03,-2293.000000000012,,-2293.000000000012
2015.11.03,-2580.000000000027,,-2580.000000000027
2015.11.03,-2551.0000000000146,,-2551.0000000000146
2015.11.03,-2448.000000000006,,-2448.000000000006
2015.11.03,-2510.0000000000123,,-2510.0000000000123
2015.11.03,-2427.0000000000014,,-2427.0000000000014
2015.11.03,-2384.0000000000305,,-2384.0000000000305
2015.11.03,-2222.9999999999973,,-2222.9999999999973
2015.11.03,-2289.999999999992,,-2289.999999999992
2015.11.03,-2258.0000000000045,,-2258.0000000000045
2015.11.03,-2294.000000000018,,-2294.000000000018
2015.11.03,-2414.000000000005,,-2414.000000000005
2015.11.03,-2601.000000000031,,-2601.000000000031
2015.11.03,-2579.00000000002,,-2579.00000000002
2015.11.03,-2591.00000000001,,-2591.00000000001
2015.11.03,-2576.0000000000005,,-2576.0000000000005
2015.11.03,-2620.0000000000223,,-2620.0000000000223
2015.11.03,-2573.0000000000255,,-2573.0000000000255
2015.11.03,-2599.000000000018,,-2599.000000000018
2015.11.03,-2556.0000000000027,,-2556.0000000000027
2015.11.03,-2567.0000000000305,,-2567.0000000000305
2015.11.04,-2491.000000000021,,-2491.000000000021
2015.11.04,-2366.0000000000014,,-2366.0000000000014
2015.11.04,-2328.000000000019,,-2328.000000000019
2015.11.04,-2448.000000000006,,-2448.000000000006
2015.11.04,-2526.000000000028,,-2526.000000000028
2015.11.04,-2592.0000000000164,,-2592.0000000000164
2015.11.04,-2666.0000000000127,,-2666.0000000000127
2015.11.04,-2979.0000000000205,,-2979.0000000000205
2015.11.04,-3143.000000000029,,-3143.000000000029
2015.11.04,-3290.000000000015,,-3290.000000000015
