date,USDCHF,NZDUSD,GBPCHF,EURCHF,CHFJPY,NZDCHF,GBPJPY,GBPCAD,GBPAUD,EURAUD,EURNZD,CADJPY,empty,sum
2018.04.30,-18.999999999991246,-71.00000000000995,-28.000000000005798,1.0000000000065512,-121.99999999999989,-16.0000000000049,-80.0000000000125,-79.99999999999119,-29.999999999996696,28.000000000005798,77.00000000001594,26.999999999986812,,-312.99999999999704
2018.04.30,19.00000000000235,-67.00000000000594,-100.99999999999554,51.000000000001044,-67.00000000000728,-46.999999999997044,-86.00000000001273,-97.9999999999981,-90.99999999999665,69.00000000000794,68.00000000000139,21.99999999999136,,-328.0000000000091
2018.04.30,12.000000000000899,-73.00000000000084,-119.00000000000244,5.999999999994898,-141.9999999999959,-61.999999999995396,-176.00000000001614,-119.00000000000244,-68.00000000000139,-18.0000000000069,12.000000000012001,59.99999999998806,,-687.0000000000257
2018.04.30,73.00000000000084,-29.000000000001247,-163.00000000000205,51.000000000001044,-106.00000000000875,-43.999999999999595,-170.00000000001592,-150.00000000000568,-131.99999999999878,32.0000000000098,106.00000000000608,56.99999999998795,,-475.0000000000264
2018.04.30,82.99999999999974,8.999999999992347,-147.00000000000824,58.000000000002494,-112.99999999999955,-12.000000000000899,-159.9999999999966,-171.99999999999437,-167.9999999999904,90.99999999999665,184.00000000000637,40.99999999999682,,-305.9999999999957
2018.04.30,62.000000000006494,-47.00000000000814,-93.00000000000975,49.00000000001015,-64.99999999999773,-51.99999999999649,-38.000000000010914,-100.99999999999554,-113.99999999999189,97.9999999999981,83.00000000001084,9.999999999990905,,-207.99999999999392
2018.04.30,21.00000000000435,-65.99999999999939,-75.00000000000284,48.000000000003595,-82.99999999999841,-41.9999999999976,-40.000000000020464,-89.00000000000574,-36.999999999998145,48.000000000003595,104.00000000001519,14.999999999986358,,-196.0000000000095
2018.04.30,25.00000000000835,-103.00000000000864,-90.99999999999665,65.00000000000395,-88.00000000000807,-80.00000000000229,-70.0000000000216,-66.99999999999484,-107.99999999999699,112.000000000001,34.000000000000696,36.99999999999193,,-334.0000000000232
2018.04.30,47.00000000000814,-23.00000000000635,-112.000000000001,49.00000000001015,-73.99999999999807,-16.0000000000049,-70.99999999999795,-110.00000000001009,-48.000000000003595,12.000000000012001,163.00000000000205,19.99999999999602,,-162.99999999999358
2018.04.30,4.000000000004,-21.999999999999797,-116.00000000000499,87.99999999999919,-131.00000000000023,14.000000000002899,-145.00000000001023,-188.9999999999947,-212.99999999999653,211.00000000000563,302.0000000000023,26.999999999986812,,-170.00000000000574
2018.04.30,33.000000000005244,17.999999999995797,-136.00000000000279,90.00000000001229,-105.00000000000398,38.0000000000047,-133.00000000000978,-207.00000000000162,-304.9999999999997,266.999999999995,357.00000000000733,9.999999999990905,,-73.00000000000654
2018.04.30,73.00000000000084,131.99999999999878,-185.99999999999727,112.000000000001,-85.00000000000796,117.99999999999588,-159.9999999999966,-296.0000000000074,-507.9999999999973,421.0000000000047,588.0000000000107,-16.000000000005343,,193.00000000000006
2018.04.30,67.00000000000594,54.999999999993946,-172.0000000000166,96.00000000000719,-82.99999999999841,46.00000000000159,-147.00000000001978,-251.00000000000122,-426.9999999999996,344.99999999999534,387.000000000004,-2.0000000000095497,,-86.00000000003718
2018.04.30,79.00000000000685,39.999999999995595,-219.00000000001364,92.00000000000318,-91.00000000000819,19.00000000000235,-207.9999999999984,-310.0000000000103,-480.99999999999807,327.00000000001063,324.9999999999975,3.9999999999906777,,-423.0000000000216
2018.04.30,52.000000000007596,13.999999999991797,-217.0000000000005,80.00000000001339,-137.00000000000045,14.999999999998348,-266.00000000001955,-334.9999999999964,-502.9999999999868,329.00000000000153,289.0000000000059,26.999999999986812,,-651.9999999999984
2018.04.30,25.00000000000835,-29.000000000001247,-185.99999999999727,68.00000000000139,-156.99999999999648,-5.999999999994898,-260.9999999999957,-307.99999999999716,-458.00000000000284,312.00000000000114,215.00000000000963,32.99999999998704,,-751.9999999999781
2018.04.30,7.0000000000014495,-73.00000000000084,-175.00000000001404,83.9999999999952,-195.99999999999795,-38.0000000000047,-299.0000000000066,-278.00000000000045,-415.99999999999415,313.99999999999204,165.00000000001512,71.99999999998852,,-833.0000000000264
2018.04.30,-17.000000000000348,-26.000000000003798,-204.00000000000418,87.00000000001484,-212.0000000000033,26.000000000003798,-349.9999999999943,-340.9999999999913,-461.0000000000003,323.0000000000066,323.0000000000066,69.99999999999318,,-781.9999999999725
2018.04.30,2.000000000002,8.999999999992347,-63.99999999999739,83.9999999999952,-200.00000000000284,44.99999999999504,-177.00000000002092,-177.99999999998929,-421.0000000000047,449.9999999999948,370.00000000000364,50.99999999998772,,-29.00000000004428
2018.04.30,-1.999999999990898,27.999999999994696,63.99999999999739,97.9999999999981,-231.00000000000875,73.00000000000084,-105.99999999999454,-89.99999999999008,-380.9999999999869,577.0000000000052,443.0000000000156,50.99999999998772,,524.0000000000283
2018.04.30,111.00000000000554,112.99999999999643,25.999999999992696,26.0000000000149,-168.99999999999693,71.99999999999429,-32.00000000001069,22.0000000000109,-279.99999999999136,353.0000000000033,348.9999999999993,64.99999999999773,,656.0000000000161
2018.04.30,99.00000000000463,107.99999999999699,9.999999999998899,53.999999999998494,-186.9999999999976,78.00000000000028,-81.00000000001728,0.0,-319.999999999987,407.0000000000018,404.0000000000044,80.99999999998886,,652.9999999999925
