date,EURUSD,USDCAD,AUDCHF,EURJPY,EURAUD,empty,sum
2019.11.11,-21.00000000000435,0.0,-105.99999999999498,-111.99999999999477,-99.00000000000463,,-337.99999999999875
2019.11.11,7.0000000000014495,12.000000000012001,-26.000000000003798,-65.99999999998829,-140.0000000000068,,-212.99999999998545
2019.11.11,15.00000000000945,-38.99999999998904,-12.000000000000899,-21.99999999999136,-133.99999999998968,,-191.99999999996152
2019.11.11,28.999999999990145,-29.999999999996696,1.0000000000065512,-9.999999999990905,-133.00000000000534,,-142.99999999999625
2019.11.11,28.000000000005798,-28.999999999990145,12.000000000000899,-24.00000000000091,-140.0000000000068,,-152.99999999999116
2019.11.11,-19.999999999997797,-51.99999999998539,0.0,-149.99999999999147,-164.99999999999292,,-386.9999999999676
2019.11.11,-8.999999999992347,-70.99999999999883,-26.999999999999247,-176.9999999999925,-200.00000000000017,,-483.9999999999831
2019.11.11,-7.0000000000014495,-66.99999999999484,-41.9999999999976,-146.0000000000008,-197.00000000000273,,-458.9999999999974
2019.11.11,-15.00000000000945,-81.9999999999821,-70.99999999999883,-198.99999999999807,-282.9999999999888,,-649.9999999999773
2019.11.11,1.0000000000065512,-65.99999999998829,-95.00000000000064,-213.99999999999864,-299.99999999998914,,-673.9999999999702
2019.11.11,28.000000000005798,-73.99999999999629,-97.00000000000264,-214.9999999999892,-276.00000000000955,,-633.9999999999918
2019.11.11,32.0000000000098,-60.99999999999994,-56.0000000000005,-188.99999999999295,-208.00000000000819,,-481.9999999999918
2019.11.11,35.00000000000725,-62.99999999999084,-65.00000000000395,-220.99999999998943,-238.0000000000049,,-551.9999999999818
2019.11.11,31.000000000003247,-71.99999999998319,-97.00000000000264,-205.99999999998886,-307.99999999999716,,-651.9999999999686
2019.11.11,49.99999999999449,-71.99999999998319,-83.9999999999952,-193.9999999999884,-282.0000000000045,,-581.9999999999768
2019.11.11,49.00000000001015,-66.99999999999484,-63.00000000000195,-185.99999999999284,-228.00000000000597,,-494.99999999998545
2019.11.11,32.0000000000098,-92.99999999998754,-144.99999999999514,-305.9999999999974,-340.00000000000693,,-851.9999999999773
2019.11.11,31.000000000003247,-78.99999999998464,-151.9999999999966,-304.9999999999926,-357.99999999999164,,-862.9999999999623
2019.11.11,59.000000000009045,-60.99999999999994,-119.00000000000244,-260.9999999999957,-310.9999999999946,,-692.9999999999836
2019.11.11,70.99999999999883,-31.999999999987594,-110.99999999999443,-274.9999999999915,-286.99999999999284,,-633.9999999999675
