date,EURUSD,USDCAD,GBPCHF,EURCHF,GBPJPY,EURJPY,AUDCAD,empty,sum
2019.09.16,-18.0000000000069,453.99999999999886,-290.00000000001245,-257.99999999998045,-532.999999999987,-480.000000000004,-431.99999999999903,,-1556.999999999991
2019.09.16,0.0,493.0000000000101,-310.0000000000103,-244.9999999999841,-498.9999999999952,-429.00000000000205,-461.99999999999574,,-1451.9999999999773
2019.09.16,59.99999999999339,651.0000000000016,-273.0000000000121,-168.99999999999693,-293.9999999999827,-222.99999999999898,-405.9999999999952,,-653.9999999999909
2019.09.16,68.00000000000139,729.0000000000018,-316.0000000000052,-185.99999999999727,-335.9999999999843,-231.99999999999932,-420.9999999999936,,-693.9999999999765
2019.09.16,131.99999999999878,685.0000000000023,-331.999999999999,-196.99999999998053,-322.00000000000273,-219.99999999999886,-363.99999999999767,,-617.9999999999777
2019.09.16,110.00000000001009,696.0000000000077,-390.0000000000015,-211.99999999998997,-397.99999999999613,-253.0000000000001,-434.000000000001,,-880.9999999999709
2019.09.16,48.000000000003595,558.9999999999984,-524.0000000000133,-313.99999999999204,-723.9999999999895,-522.0000000000056,-474.9999999999921,,-1951.9999999999905
2019.09.16,35.00000000000725,601.9999999999915,-433.0000000000167,-252.99999999999213,-596.99999999998,-427.0000000000067,-434.000000000001,,-1506.9999999999977
2019.09.16,56.99999999999594,614.0000000000034,-515.000000000021,-249.99999999999466,-667.0000000000016,-405.00000000000114,-473.0000000000012,,-1639.0000000000202
2019.09.16,68.00000000000139,584.9999999999911,-439.0000000000116,-197.99999999998707,-538.9999999999873,-304.00000000000205,-378.00000000000057,,-1204.999999999996
2019.09.16,41.000000000002146,557.9999999999918,-497.0000000000141,-208.99999999999253,-639.9999999999864,-356.9999999999993,-431.99999999999903,,-1535.9999999999973
2019.09.16,28.000000000005798,509.00000000000387,-431.0000000000036,-161.99999999999548,-567.9999999999836,-305.9999999999974,-408.9999999999927,,-1338.9999999999632
2019.09.16,5.000000000010552,531.9999999999991,-429.00000000001273,-158.99999999999804,-564.9999999999977,-302.0000000000067,-412.9999999999967,,-1331.0000000000023
2019.09.16,-14.000000000002899,547.0000000000086,-409.99999999999926,-128.99999999997914,-556.999999999988,-281.9999999999965,-329.999999999997,,-1174.999999999954
2019.09.16,11.00000000000545,506.9999999999908,-491.0000000000192,-139.00000000000023,-673.0000000000018,-320.99999999999795,-301.9999999999912,,-1408.000000000014
