date,EURUSD,USDCAD,GBPCHF,EURCHF,GBPJPY,EURJPY,AUDCAD,empty,sum
2019.09.16,-24.999999999986144,0.0,-574.0000000000078,-263.99999999999756,-1010.9999999999957,-706.0000000000031,-607.0000000000019,,-3186.9999999999923
2019.09.16,-19.999999999997797,417.0000000000007,-362.00000000001785,-274.9999999999808,-606.9999999999993,-519.999999999996,-530.9999999999926,,-1897.9999999999836
2019.09.16,-24.999999999986144,367.0000000000062,-371.00000000001023,-248.99999999998812,-530.0000000000011,-442.99999999999784,-464.9999999999932,,-1715.9999999999704
2019.09.16,39.999999999995595,571.0000000000103,-333.0000000000055,-196.99999999998053,-356.9999999999993,-257.000000000005,-453.99999999999886,,-986.9999999999833
2019.09.16,68.00000000000139,652.9999999999925,-357.00000000000733,-211.99999999998997,-395.9999999999866,-299.0000000000066,-435.9999999999919,,-978.9999999999885
2019.09.16,100.99999999999554,635.0000000000077,-402.0000000000135,-219.99999999999798,-402.9999999999916,-269.00000000000546,-448.9999999999994,,-1007.0000000000045
2019.09.16,36.999999999998145,558.9999999999984,-531.9999999999991,-318.9999999999804,-772.9999999999961,-558.9999999999975,-485.99999999999756,,-2072.999999999974
2019.09.16,9.000000000014552,550.9999999999903,-528.0000000000174,-313.99999999999204,-822.9999999999791,-599.0000000000038,-527.9999999999951,,-2231.9999999999823
2019.09.16,31.000000000003247,580.0000000000027,-554.00000000001,-269.9999999999925,-727.0000000000039,-463.0000000000081,-515.9999999999942,,-1919.0000000000027
2019.09.16,39.00000000001125,527.9999999999951,-533.0000000000057,-251.99999999998556,-710.9999999999843,-430.0000000000068,-487.99999999999955,,-1846.9999999999754
2019.09.16,12.000000000012001,541.9999999999981,-504.9999999999999,-234.00000000000088,-646.9999999999914,-400.99999999999625,-485.0000000000021,,-1717.9999999999802
2019.09.16,22.0000000000109,493.0000000000101,-535.0000000000188,-212.99999999999653,-680.9999999999832,-373.00000000000466,-451.9999999999969,,-1738.999999999979
2019.09.16,-5.999999999994898,507.9999999999973,-476.0000000000098,-188.9999999999947,-629.9999999999955,-337.0000000000033,-417.0000000000007,,-1547.0000000000016
2019.09.16,-19.999999999997797,520.9999999999936,-441.0000000000025,-158.99999999999804,-580.9999999999889,-307.00000000000216,-415.99999999999415,,-1402.9999999999898
2019.09.16,-18.0000000000069,502.00000000000244,-539.0000000000006,-164.99999999999292,-703.9999999999793,-332.00000000000784,-348.9999999999993,,-1604.9999999999843
2019.09.16,9.000000000014552,493.0000000000101,-533.0000000000057,-158.99999999999804,-703.000000000003,-320.99999999999795,-339.99999999999585,,-1553.999999999976
2019.09.16,-22.999999999995246,485.0000000000021,-504.0000000000156,-173.00000000000094,-652.9999999999916,-320.99999999999795,-385.99999999999744,,-1574.9999999999966
2019.09.16,-42.999999999993044,489.0000000000061,-495.000000000001,-176.99999999998272,-632.000000000005,-316.0000000000025,-368.00000000000165,,-1541.9999999999798
2019.09.16,-38.99999999998904,455.0000000000054,-553.0000000000035,-178.99999999999582,-675.9999999999877,-301.00000000000193,-398.9999999999938,,-1691.9999999999666
